WN18RR, _synset_domain_topic_of_WN18_generic_PPO_simple_embedding_100
([('03464757', 'NO_OP', '03464757'), ('03464757', '_hypernym', '03504420'), ('03504420', '_synset_domain_topic_of', '08199025')], '08199025')
([('08014202', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08011266'), ('08011266', '_synset_domain_topic_of', '00759694')], '00759694')
([('08047032', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08025835'), ('08025835', '_synset_domain_topic_of', '00759694')], '00759694')
([('05957238', '_hypernym', '05956651'), ('05956651', '¬_hypernym', '05957428'), ('05957428', '_synset_domain_topic_of', '08441203')], '08441203')
([('01481027', '_hypernym', '01480770'), ('01480770', '_synset_domain_topic_of', '00452293'), ('00452293', '¬_derivationally_related_form', '01143838')], '00452293')
([('06805128', '_hypernym', '06791372'), ('06791372', '¬_hypernym', '06804988'), ('06804988', '_synset_domain_topic_of', '08199025')], '08199025')
([('08017257', '¬_member_of_domain_region', '08957381'), ('08957381', '_member_of_domain_region', '08038995'), ('08038995', '_synset_domain_topic_of', '00759694')], '00759694')
([('10786270', '_derivationally_related_form', '01014821'), ('01014821', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '09916788')], '08441203')
([('08198137', 'NO_OP', '08198137'), ('08198137', '¬_hypernym', '08192361'), ('08192361', '_synset_domain_topic_of', '08199025')], '08199025')
([('06749729', '¬_derivationally_related_form', '10312287'), ('10312287', '¬_derivationally_related_form', '06118563'), ('06118563', '¬_synset_domain_topic_of', '11524662')], '06118563')
([('08034299', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08012028'), ('08012028', '_synset_domain_topic_of', '00759694')], '00759694')
([('10155222', '_derivationally_related_form', '00763630'), ('00763630', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08030711')], '00759694')
([('09544876', '_hypernym', '09544433'), ('09544433', '_synset_domain_topic_of', '06234825'), ('06234825', '¬_synset_domain_topic_of', '00774506')], '06234825')
([('07986381', 'NO_OP', '07986381'), ('07986381', '_hypernym', '08198398'), ('08198398', '_synset_domain_topic_of', '08199025')], '08199025')
([('04932561', 'NO_OP', '04932561'), ('04932561', '_hypernym', '04932278'), ('04932278', '_synset_domain_topic_of', '06128570')], '06128570')
([('06543246', '_hypernym', '06542830'), ('06542830', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13403643')], '08441203')
([('09835506', '¬_hypernym', '09843956'), ('09843956', '¬_hypernym', '10434160'), ('10434160', '_synset_domain_topic_of', '00471613')], '00471613')
([('03763133', '¬_hypernym', '03812119'), ('03812119', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03646809')], '08199025')
([('13964879', '_hypernym', '13963970'), ('13963970', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06540284')], '08441203')
([('11073061', '_instance_hypernym', '10547145'), ('10547145', '¬_instance_hypernym', '11071177'), ('11071177', '_synset_domain_topic_of', '08083599')], '08083599')
([('03464757', '_hypernym', '03504420'), ('03504420', '¬_hypernym', '03076104'), ('03076104', '_synset_domain_topic_of', '08199025')], '08199025')
([('01959482', '_hypernym', '01957529'), ('01957529', '¬_hypernym', '01958615'), ('01958615', '_synset_domain_topic_of', '00450335')], '00450335')
([('10087434', '_hypernym', '09939827'), ('09939827', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '06496624')], '08199025')
([('03919096', '_hypernym', '04170037'), ('04170037', '¬_hypernym', '04566561'), ('04566561', '_synset_domain_topic_of', '08199025')], '08199025')
([('10259527', '_hypernym', '09943541'), ('09943541', '¬_hypernym', '09945021'), ('09945021', '_synset_domain_topic_of', '08199025')], '08199025')
([('08454191', '_hypernym', '08454003'), ('08454003', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13964466')], '08441203')
([('02284096', '¬_hypernym', '02284803'), ('02284803', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '02246166')], '00766234')
([('08397856', '_hypernym', '08397255'), ('08397255', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08195797')], '08199025')
([('06667792', 'NO_OP', '06667792'), ('06667792', '¬_hypernym', '06539178'), ('06539178', '_synset_domain_topic_of', '08441203')], '08441203')
([('01187810', 'NO_OP', '01187810'), ('01187810', '¬_hypernym', '01185981'), ('01185981', '_synset_domain_topic_of', '08441203')], '08441203')
([('02653159', '¬_derivationally_related_form', '04031884'), ('04031884', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08279665')], '08199025')
([('10225787', '_hypernym', '10644839'), ('10644839', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08481832')], '08199025')
([('01182654', '_hypernym', '01184814'), ('01184814', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '01194331')], '08441203')
([('10435988', '_hypernym', '09835506'), ('09835506', '_synset_domain_topic_of', '00471613'), ('00471613', '¬_synset_domain_topic_of', '06486405')], '00471613')
([('02911485', '¬_hypernym', '02935017'), ('02935017', '_synset_domain_topic_of', '06128570'), ('06128570', '_synset_domain_topic_of', '03082979')], '06128570')
([('09240621', '¬_has_part', '14682133'), ('14682133', '_synset_domain_topic_of', '06084469'), ('06084469', 'NO_OP', '06084469')], '06084469')
([('09616722', '_hypernym', '09943541'), ('09943541', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08404895')], '08199025')
([('06540527', '_hypernym', '06539770'), ('06539770', 'NO_OP', '06539770'), ('06539770', '_synset_domain_topic_of', '08441203')], '08441203')
([('13262913', '_has_part', '13264794'), ('13264794', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06728726')], '08441203')
([('00953559', '¬_hypernym', '00964343'), ('00964343', 'NO_OP', '00964343'), ('00964343', '_synset_domain_topic_of', '08199025')], '08199025')
([('13458268', '_hypernym', '13447361'), ('13447361', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00570003')], '06084469')
([('00266391', 'NO_OP', '00266391'), ('00266391', '_hypernym', '00266197'), ('00266197', '_synset_domain_topic_of', '06084469')], '06084469')
([('06548498', '_hypernym', '06547059'), ('06547059', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '13291614')], '08441203')
([('02192225', '_derivationally_related_form', '07823951'), ('07823951', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_synset_domain_topic_of', '00114291')], '00243918')
([('09894143', 'NO_OP', '09894143'), ('09894143', '¬_member_meronym', '08085824'), ('08085824', '_synset_domain_topic_of', '08083599')], '08083599')
([('06012726', '_hypernym', '06003682'), ('06003682', '¬_hypernym', '06004067'), ('06004067', '_synset_domain_topic_of', '06000644')], '06000644')
([('14376188', '_hypernym', '14375890'), ('14375890', '_synset_domain_topic_of', '06136258'), ('06136258', '¬_synset_domain_topic_of', '13554343')], '06136258')
([('02248808', 'NO_OP', '02248808'), ('02248808', '_derivationally_related_form', '02671224'), ('02671224', '_synset_domain_topic_of', '06128570')], '06128570')
([('08020785', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08021129'), ('08021129', '_synset_domain_topic_of', '00759694')], '00759694')
([('01408297', '¬_derivationally_related_form', '00128477'), ('00128477', 'NO_OP', '00128477'), ('00128477', '_synset_domain_topic_of', '00471613')], '00471613')
([('06088995', '_hypernym', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00501534'), ('00501534', 'NO_OP', '00501534')], '06084469')
([('01194125', '_hypernym', '01189282'), ('01189282', '_synset_domain_topic_of', '06539178'), ('06539178', '_synset_domain_topic_of', '08441203')], '08441203')
([('01740969', '¬_derivationally_related_form', '03417749'), ('03417749', '¬_derivationally_related_form', '01740969'), ('01740969', '¬_derivationally_related_form', '00918383')], '00918383')
([('02260085', '¬_derivationally_related_form', '01110274'), ('01110274', '_derivationally_related_form', '02728784'), ('02728784', '_synset_domain_topic_of', '01090446')], '01090446')
([('03035089', '¬_member_of_domain_region', '08806897'), ('08806897', '_member_of_domain_region', '02981024'), ('02981024', '_synset_domain_topic_of', '15253139')], '15253139')
([('08396990', '_hypernym', '08391387'), ('08391387', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '00896348')], '08199025')
([('02278061', '¬_hypernym', '02278470'), ('02278470', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_synset_domain_topic_of', '02277303')], '00766234')
([('08014615', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08028999'), ('08028999', '_synset_domain_topic_of', '00759694')], '00759694')
([('01941704', '_hypernym', '01941093'), ('01941093', '¬_hypernym', '01942137'), ('01942137', '_synset_domain_topic_of', '00300441')], '00300441')
([('13458268', '_derivationally_related_form', '00209174'), ('00209174', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00396513')], '06084469')
([('01698271', '¬_hypernym', '01705257'), ('01705257', 'NO_OP', '01705257'), ('01705257', '_synset_domain_topic_of', '00929718')], '00929718')
([('02260959', '_hypernym', '02260362'), ('02260362', '¬_hypernym', '02346409'), ('02346409', '_synset_domain_topic_of', '01090446')], '01090446')
([('09917214', '_hypernym', '10317007'), ('10317007', '¬_hypernym', '10008123'), ('10008123', '_synset_domain_topic_of', '08199025')], '08199025')
([('08037118', '¬_member_of_domain_region', '08798771'), ('08798771', '_member_of_domain_region', '08037861'), ('08037861', '_synset_domain_topic_of', '00759694')], '00759694')
([('08454191', 'NO_OP', '08454191'), ('08454191', '_hypernym', '08454003'), ('08454003', '_synset_domain_topic_of', '08441203')], '08441203')
([('06554981', '_hypernym', '06552984'), ('06552984', '¬_hypernym', '06556692'), ('06556692', '_synset_domain_topic_of', '08441203')], '08441203')
([('10551576', '_hypernym', '09809538'), ('09809538', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '08395682')], '08199025')
([('05862721', '_hypernym', '05861855'), ('05861855', '_synset_domain_topic_of', '06000644'), ('06000644', '¬_synset_domain_topic_of', '00553407')], '06000644')
([('01967923', '_hypernym', '01967373'), ('01967373', '¬_hypernym', '01963655'), ('01963655', '_synset_domain_topic_of', '00300441')], '00300441')
([('01701858', '¬_derivationally_related_form', '10528493'), ('10528493', '_derivationally_related_form', '01702514'), ('01702514', '_synset_domain_topic_of', '07092592')], '07092592')
([('08098346', '¬_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '05977340'), ('05977340', 'NO_OP', '05977340')], '05977340')
([('00324560', 'NO_OP', '00324560'), ('00324560', '_derivationally_related_form', '00247442'), ('00247442', '_hypernym', '00243918')], '00243918')
([('01472417', '_hypernym', '01471825'), ('01471825', '_synset_domain_topic_of', '00766234'), ('00766234', '¬_hypernym', '00770270')], '00766234')
([('08454003', 'NO_OP', '08454003'), ('08454003', '_hypernym', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05190106')], '08441203')
([('00229026', '¬_verb_group', '00229280'), ('00229280', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '00229280')], '06084469')
([('08390157', '¬_hypernym', '08390374'), ('08390374', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '03763968')], '08199025')
([('01740969', '¬_hypernym', '01741221'), ('01741221', '_verb_group', '01751836'), ('01751836', '_synset_domain_topic_of', '00918383')], '00918383')
([('01705494', 'NO_OP', '01705494'), ('01705494', '¬_hypernym', '01706756'), ('01706756', '_synset_domain_topic_of', '07020895')], '07020895')
([('13262913', '_has_part', '13264794'), ('13264794', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05187446')], '08441203')
([('00471437', '¬_hypernym', '00471613'), ('00471613', 'NO_OP', '00471613'), ('00471613', '¬_synset_domain_topic_of', '00140264')], '00471613')
([('01188537', 'NO_OP', '01188537'), ('01188537', '_hypernym', '01187810'), ('01187810', '_synset_domain_topic_of', '08441203')], '08441203')
([('15297069', 'NO_OP', '15297069'), ('15297069', '¬_has_part', '15171857'), ('15171857', '_synset_domain_topic_of', '06128570')], '06128570')
([('06024230', '_hypernym', '06023969'), ('06023969', '_synset_domain_topic_of', '06018465'), ('06018465', '¬_synset_domain_topic_of', '06021499')], '06018465')
([('11409059', '¬_hypernym', '11492833'), ('11492833', '_synset_domain_topic_of', '06084469'), ('06084469', '¬_synset_domain_topic_of', '02451679')], '06084469')
([('05279026', '¬_has_part', '01471682'), ('01471682', '_has_part', '05552607'), ('05552607', '¬_has_part', '05549830')], '01471682')
([('01863158', '¬_verb_group', '01863410'), ('01863410', 'NO_OP', '01863410'), ('01863410', '_synset_domain_topic_of', '00298497')], '00298497')
([('02113622', '¬_hypernym', '02113850'), ('02113850', '_synset_domain_topic_of', '00903559'), ('00903559', '¬_synset_domain_topic_of', '02113430')], '00903559')
([('00684507', '_hypernym', '00684273'), ('00684273', '_synset_domain_topic_of', '05946687'), ('05946687', '¬_hypernym', '06223669')], '05946687')
([('03846234', '_hypernym', '03763968'), ('03763968', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '14431471')], '08199025')
([('05279026', 'NO_OP', '05279026'), ('05279026', 'NO_OP', '05279026'), ('05279026', '¬_has_part', '01471682')], '01471682')
([('08196024', '_hypernym', '08198137'), ('08198137', 'NO_OP', '08198137'), ('08198137', '_synset_domain_topic_of', '08199025')], '08199025')
([('01707128', '_hypernym', '01707306'), ('01707306', 'NO_OP', '01707306'), ('01707306', '_synset_domain_topic_of', '05718556')], '05718556')
([('01754576', '¬_also_see', '01698271'), ('01698271', '¬_hypernym', '01701634'), ('01701634', '_synset_domain_topic_of', '00929718')], '00929718')
([('01501347', '_derivationally_related_form', '10629020'), ('10629020', '¬_derivationally_related_form', '01500873'), ('01500873', '_synset_domain_topic_of', '00916464')], '00916464')
([('05279026', '¬_has_part', '01471682'), ('01471682', 'NO_OP', '01471682'), ('01471682', '¬_hypernym', '01459791')], '01471682')
([('05957428', '_hypernym', '05956651'), ('05956651', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '08334693')], '08441203')
([('01164081', 'NO_OP', '01164081'), ('01164081', '_hypernym', '01163620'), ('01163620', '_derivationally_related_form', '00922327')], '00922327')
([('08390157', '_hypernym', '08190754'), ('08190754', '¬_hypernym', '08214470'), ('08214470', '_synset_domain_topic_of', '08199025')], '08199025')
([('08044676', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08011266'), ('08011266', '_synset_domain_topic_of', '00759694')], '00759694')
([('06562802', '_hypernym', '06559365'), ('06559365', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '05795957')], '08441203')
([('00506377', '¬_derivationally_related_form', '03299929'), ('03299929', '¬_derivationally_related_form', '02871060'), ('02871060', '_synset_domain_topic_of', '06084469')], '06084469')
([('01683957', 'NO_OP', '01683957'), ('01683957', '_hypernym', '01683758'), ('01683758', '_synset_domain_topic_of', '00933420')], '00933420')
([('01741692', '_hypernym', '01741446'), ('01741446', '_synset_domain_topic_of', '00916464'), ('00916464', '_derivationally_related_form', '09779790')], '00916464')
([('00326773', '_derivationally_related_form', '00246754'), ('00246754', '¬_derivationally_related_form', '00328370'), ('00328370', '_synset_domain_topic_of', '00243918')], '00243918')
([('01708676', '¬_hypernym', '01708542'), ('01708542', '_synset_domain_topic_of', '00428270'), ('00428270', '¬_hypernym', '00528397')], '00428270')
([('10301261', '_derivationally_related_form', '06000644'), ('06000644', '¬_synset_domain_topic_of', '10301261'), ('10301261', '¬_derivationally_related_form', '06000644')], '06000644')
([('06547059', 'NO_OP', '06547059'), ('06547059', '¬_hypernym', '06548498'), ('06548498', '_synset_domain_topic_of', '08441203')], '08441203')
