WN18RR, _hypernym_WN18_generic_PPO_simple_embedding_100
([('02851099', '¬_derivationally_related_form', '01130169'), ('01130169', '_derivationally_related_form', '04192858'), ('04192858', '_hypernym', '04014297')], '04014297')
([('12242287', '¬_member_meronym', '12226322'), ('12226322', '_member_meronym', '12245472'), ('12245472', '_hypernym', '11575425')], '11575425')
([('02207890', '¬_derivationally_related_form', '00079212'), ('00079212', '_hypernym', '00079018'), ('00079018', '¬_derivationally_related_form', '02207206')], '02207206')
([('01984317', '¬_verb_group', '01984119'), ('01984119', 'NO_OP', '01984119'), ('01984119', '_hypernym', '01983771')], '01983771')
([('12669157', '¬_member_meronym', '12660009'), ('12660009', '_member_meronym', '12661873'), ('12661873', '_hypernym', '11579418')], '11579418')
([('00563100', '_hypernym', '00562882'), ('00562882', '_hypernym', '00126264'), ('00126264', '¬_hypernym', '01207527')], '00126264')
([('11635152', '¬_member_meronym', '11634970'), ('11634970', '¬_member_meronym', '11629501'), ('11629501', '_member_meronym', '11630017')], '11630017')
([('11870212', '¬_member_meronym', '11867525'), ('11867525', '_member_meronym', '11895980'), ('11895980', '_hypernym', '11575425')], '11575425')
([('15254550', '_has_part', '15231964'), ('15231964', '_has_part', '15233411'), ('15233411', '_instance_hypernym', '15113229')], '15113229')
([('01801753', '¬_member_meronym', '01800759'), ('01800759', '_member_meronym', '01801371'), ('01801371', '_hypernym', '01507175')], '01507175')
([('15214840', '¬_has_part', '15177866'), ('15177866', '_has_part', '15214068'), ('15214068', '_hypernym', '15209413')], '15214068')
([('01756508', '¬_member_meronym', '01755274'), ('01755274', '_member_meronym', '01755740'), ('01755740', '_hypernym', '01754876')], '01754876')
([('00437788', '¬_derivationally_related_form', '00100235'), ('00100235', '_derivationally_related_form', '00434075'), ('00434075', '_has_part', '00438065')], '00438065')
([('05169813', '_derivationally_related_form', '02161432'), ('02161432', '_derivationally_related_form', '05168261'), ('05168261', '_derivationally_related_form', '01275562')], '05168261')
([('08155765', '_hypernym', '07971582'), ('07971582', '¬_hypernym', '08157672'), ('08157672', '_hypernym', '08153437')], '08153437')
([('11731861', '¬_member_meronym', '11719468'), ('11719468', '_member_meronym', '11739199'), ('11739199', '_hypernym', '11571907')], '11571907')
([('09145217', '¬_has_part', '09141526'), ('09141526', '_has_part', '09146813'), ('09146813', '_instance_hypernym', '08524735')], '08524735')
([('10757193', '_derivationally_related_form', '01843689'), ('01843689', '_hypernym', '01843055'), ('01843055', '¬_derivationally_related_form', '09629752')], '09629752')
([('12133332', '¬_member_meronym', '12100538'), ('12100538', '_member_meronym', '12112488'), ('12112488', '_hypernym', '11556857')], '11556857')
([('07291794', '¬_derivationally_related_form', '01620854'), ('01620854', '¬_derivationally_related_form', '07291312'), ('07291312', '_derivationally_related_form', '02609764')], '07291312')
([('11714618', '_member_meronym', '11717007'), ('11717007', '_hypernym', '11564258'), ('11564258', '¬_hypernym', '11739530')], '11564258')
([('00294522', '_derivationally_related_form', '13439570'), ('13439570', '¬_derivationally_related_form', '00294245'), ('00294245', '_derivationally_related_form', '13439570')], '00294245')
([('12916025', '¬_member_meronym', '12914433'), ('12914433', '_member_meronym', '12914731'), ('12914731', '_hypernym', '11579418')], '11579418')
([('02480673', '¬_member_meronym', '02479896'), ('02479896', '_member_meronym', '02480346'), ('02480346', '_hypernym', '01864707')], '01864707')
([('02432511', '¬_member_meronym', '02432139'), ('02432139', '_member_meronym', '02432291'), ('02432291', '_hypernym', '02430045')], '02430045')
([('02158066', 'NO_OP', '02158066'), ('02158066', '¬_derivationally_related_form', '01556178'), ('01556178', '_derivationally_related_form', '02157557')], '02157557')
([('05796750', '_has_part', '05796937'), ('05796937', '_hypernym', '05770926'), ('05770926', '¬_hypernym', '05784699')], '05770926')
([('00932624', '¬_derivationally_related_form', '00532607'), ('00532607', '_derivationally_related_form', '00932088'), ('00932088', '_hypernym', '00931847')], '00932088')
([('08228665', '¬_member_meronym', '08229467'), ('08229467', '_hypernym', '08227214'), ('08227214', '¬_hypernym', '08230009')], '08227214')
([('03879705', '¬_has_part', '02862048'), ('02862048', '_has_part', '02950632'), ('02950632', '_hypernym', '02740764')], '02740764')
([('13065902', '¬_member_meronym', '12996225'), ('12996225', '_member_meronym', '13049285'), ('13049285', '_hypernym', '11594676')], '11594676')
([('04043411', 'NO_OP', '04043411'), ('04043411', '¬_has_part', '02757462'), ('02757462', '_hypernym', '03278248')], '03278248')
([('00414174', '¬_derivationally_related_form', '01252280'), ('01252280', '_derivationally_related_form', '00413876'), ('00413876', '¬_derivationally_related_form', '00027167')], '00413876')
([('08454003', '¬_hypernym', '08454191'), ('08454191', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '09775663')], '08441203')
([('09863936', '_derivationally_related_form', '08368308'), ('08368308', '_hypernym', '08365855'), ('08365855', '¬_derivationally_related_form', '09945319')], '09945319')
([('02549581', '¬_derivationally_related_form', '00654885'), ('00654885', '¬_derivationally_related_form', '02550296'), ('02550296', '¬_hypernym', '02549581')], '02550296')
([('02247226', '_synset_domain_topic_of', '01090446'), ('01090446', '¬_synset_domain_topic_of', '02243967'), ('02243967', '_hypernym', '02242464')], '02242464')
([('01552192', '¬_member_meronym', '01550429'), ('01550429', '_member_meronym', '01550953'), ('01550953', '_hypernym', '01507175')], '01507175')
([('11717007', '¬_member_meronym', '11714618'), ('11714618', '_hypernym', '11564258'), ('11564258', '¬_hypernym', '11719468')], '11564258')
([('08908509', '¬_has_part', '08907606'), ('08907606', '_has_part', '08908954'), ('08908954', '_instance_hypernym', '09316454')], '09316454')
([('00669481', '¬_has_part', '00670250'), ('00670250', '_hypernym', '00671351'), ('00671351', '¬_hypernym', '00690501')], '00671351')
([('11658104', '¬_member_meronym', '11651259'), ('11651259', '_member_meronym', '11655407'), ('11655407', '_hypernym', '11554175')], '11554175')
([('11841061', '¬_member_meronym', '11835806'), ('11835806', '_member_meronym', '11836556'), ('11836556', '_hypernym', '11573660')], '11573660')
([('00593219', '_derivationally_related_form', '10474645'), ('10474645', '_derivationally_related_form', '00597629'), ('00597629', '_hypernym', '00586262')], '00586262')
([('01380489', '¬_member_meronym', '01379636'), ('01379636', '_member_meronym', '01380902'), ('01380902', '_hypernym', '01352574')], '01352574')
([('00294522', '_derivationally_related_form', '13439570'), ('13439570', '_derivationally_related_form', '00294245'), ('00294245', '_derivationally_related_form', '11669335')], '00294245')
([('06804847', '_synset_domain_topic_of', '08199025'), ('08199025', '¬_synset_domain_topic_of', '06804483'), ('06804483', '_hypernym', '06804199')], '06804199')
([('12745160', '¬_member_meronym', '12740514'), ('12740514', '_member_meronym', '12743232'), ('12743232', '_hypernym', '11567411')], '11567411')
([('02693070', '_has_part', '04120842'), ('04120842', '¬_has_part', '02687992'), ('02687992', '¬_hypernym', '02692232')], '02687992')
([('02113622', '_synset_domain_topic_of', '00903559'), ('00903559', '¬_synset_domain_topic_of', '02113430'), ('02113430', 'NO_OP', '02113430')], '02113430')
([('02464342', '¬_derivationally_related_form', '00741478'), ('00741478', '_derivationally_related_form', '02463704'), ('02463704', '_derivationally_related_form', '00741478')], '02463704')
([('08109624', '¬_member_meronym', '08108972'), ('08108972', '_hypernym', '07992450'), ('07992450', '¬_hypernym', '11605147')], '07992450')
([('02083038', '¬_member_meronym', '02074915'), ('02074915', '_member_meronym', '02440705'), ('02440705', '_hypernym', '01862557')], '01862557')
([('13212751', '¬_member_meronym', '13205482'), ('13205482', '_member_meronym', '13213768'), ('13213768', '_hypernym', '13167078')], '13167078')
([('12904720', '¬_member_meronym', '12892226'), ('12892226', '_member_meronym', '12909252'), ('12909252', '_hypernym', '11579418')], '11579418')
([('02861022', '_derivationally_related_form', '01939811'), ('01939811', '¬_derivationally_related_form', '02860847'), ('02860847', '_hypernym', '04235291')], '04235291')
([('05484355', '_has_part', '05484573'), ('05484573', '_hypernym', '05329735'), ('05329735', '¬_hypernym', '05485314')], '05329735')
([('00244416', 'NO_OP', '00244416'), ('00244416', '¬_derivationally_related_form', '06468123'), ('06468123', '_derivationally_related_form', '00244625')], '00244625')
([('00999270', '_synset_domain_topic_of', '00910203'), ('00910203', '_derivationally_related_form', '00998399'), ('00998399', '¬_hypernym', '00998886')], '00998399')
([('12727729', 'NO_OP', '12727729'), ('12727729', '¬_member_meronym', '12724201'), ('12724201', '_member_meronym', '12724942')], '12724942')
([('07307477', '¬_has_part', '07289956'), ('07289956', 'NO_OP', '07289956'), ('07289956', '_hypernym', '07283608')], '07283608')
([('04954683', '¬_derivationally_related_form', '01119421'), ('01119421', '_derivationally_related_form', '04953954'), ('04953954', '¬_derivationally_related_form', '02763740')], '04953954')
([('11667562', '_member_meronym', '11668952'), ('11668952', '_hypernym', '08103777'), ('08103777', '¬_hypernym', '01394901')], '08103777')
([('07332148', '¬_derivationally_related_form', '02028994'), ('02028994', '¬_derivationally_related_form', '07331759'), ('07331759', '_derivationally_related_form', '02028994')], '07331759')
([('02006827', '_member_meronym', '02007161'), ('02007161', '_hypernym', '01507175'), ('01507175', '¬_hypernym', '01532664')], '01507175')
([('02210728', '¬_member_meronym', '02206624'), ('02206624', '_hypernym', '01759182'), ('01759182', '¬_hypernym', '01989097')], '01759182')
([('13005568', '¬_member_meronym', '13000372'), ('13000372', '_member_meronym', '13002433'), ('13002433', '_hypernym', '11592146')], '11592146')
([('08288753', '¬_has_part', '08287844'), ('08287844', '_hypernym', '07966140'), ('07966140', '_hypernym', '07950920')], '07950920')
([('12080199', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12070950'), ('12070950', '_hypernym', '11556857')], '11556857')
([('00540701', '¬_has_part', '00539951'), ('00539951', '_hypernym', '00539121'), ('00539121', '¬_hypernym', '00541178')], '00539121')
([('12282235', '¬_member_meronym', '12280886'), ('12280886', '_member_meronym', '12281974'), ('12281974', '_hypernym', '12281241')], '12281241')
([('01080064', '¬_derivationally_related_form', '00557588'), ('00557588', '_derivationally_related_form', '01079873'), ('01079873', '_hypernym', '01158872')], '01158872')
([('02679530', '¬_derivationally_related_form', '10740219'), ('10740219', '_derivationally_related_form', '02679899'), ('02679899', '_verb_group', '02684924')], '02679899')
([('02030442', '¬_member_meronym', '02025530'), ('02025530', '_member_meronym', '02026798'), ('02026798', '_hypernym', '01507175')], '01507175')
([('02027411', '_derivationally_related_form', '07959943'), ('07959943', 'NO_OP', '07959943'), ('07959943', '¬_derivationally_related_form', '02025009')], '02025009')
([('12532008', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12555720'), ('12555720', '_hypernym', '11585340')], '11585340')
([('07044917', '¬_hypernym', '07047804'), ('07047804', 'NO_OP', '07047804'), ('07047804', '_hypernym', '07037465')], '07037465')
([('07398276', '_derivationally_related_form', '02183175'), ('02183175', '_hypernym', '02176268'), ('02176268', '¬_derivationally_related_form', '07371293')], '07371293')
([('05532944', '¬_has_part', '05329215'), ('05329215', '_has_part', '05387167'), ('05387167', '_hypernym', '05328867')], '05328867')
([('02458747', '¬_derivationally_related_form', '10623354'), ('10623354', '¬_derivationally_related_form', '00782057'), ('00782057', '¬_derivationally_related_form', '07187773')], '00782057')
([('05509146', '¬_has_part', '05509452'), ('05509452', '_hypernym', '05237227'), ('05237227', '¬_hypernym', '05461816')], '05237227')
([('11770526', '¬_member_meronym', '11766609'), ('11766609', '_member_meronym', '11772154'), ('11772154', '_hypernym', '11567411')], '11567411')
([('01443126', '¬_member_meronym', '01438720'), ('01438720', '_member_meronym', '01443398'), ('01443398', '_hypernym', '01432517')], '01432517')
([('12393269', '¬_member_meronym', '12392943'), ('12392943', '_member_meronym', '12393086'), ('12393086', '¬_hypernym', '12393269')], '12393086')
([('12711817', 'NO_OP', '12711817'), ('12711817', '_hypernym', '12711596'), ('12711596', '¬_member_meronym', '12707432')], '12707432')
([('12034828', '¬_member_meronym', '12359026'), ('12359026', '_member_meronym', '12382484'), ('12382484', '_hypernym', '11565385')], '11565385')
([('07491038', '¬_derivationally_related_form', '01815628'), ('01815628', '_derivationally_related_form', '07490713'), ('07490713', '_derivationally_related_form', '01800349')], '07490713')
([('12844220', '¬_member_meronym', '12838027'), ('12838027', '_member_meronym', '12842105'), ('12842105', '_hypernym', '11579418')], '11579418')
([('08750822', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08773336'), ('08773336', '_instance_hypernym', '08524735')], '08524735')
([('01586791', '¬_member_meronym', '01586541'), ('01586541', '_member_meronym', '01587713'), ('01587713', '_hypernym', '01507175')], '01507175')
([('05273684', '¬_has_part', '05284333'), ('05284333', '_hypernym', '05269901'), ('05269901', '¬_hypernym', '05280998')], '05269901')
([('07174877', '¬_derivationally_related_form', '00619869'), ('00619869', '¬_derivationally_related_form', '07174433'), ('07174433', '¬_derivationally_related_form', '00619869')], '07174433')
([('00002573', '_verb_group', '00001740'), ('00001740', 'NO_OP', '00001740'), ('00001740', '¬_hypernym', '00002942')], '00001740')
([('12842765', '¬_member_meronym', '12838027'), ('12838027', '_member_meronym', '12846143'), ('12846143', '_hypernym', '11579418')], '11579418')
([('15225797', '¬_has_part', '15203565'), ('15203565', 'NO_OP', '15203565'), ('15203565', '_has_part', '15225249')], '15225249')
([('01947613', '¬_member_meronym', '01941670'), ('01941670', '_member_meronym', '01948788'), ('01948788', '_hypernym', '01938850')], '01938850')
([('08987262', '_instance_hypernym', '08691669'), ('08691669', '¬_instance_hypernym', '08706058'), ('08706058', '_instance_hypernym', '08633957')], '08633957')
([('02032222', '¬_member_meronym', '02031752'), ('02031752', '_member_meronym', '02032480'), ('02032480', '_hypernym', '02031934')], '02031934')
([('12082357', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12045352'), ('12045352', '_hypernym', '11556857')], '11556857')
([('12320627', '¬_member_meronym', '12319687'), ('12319687', '_member_meronym', '12322099'), ('12322099', '_hypernym', '12320010')], '12320010')
([('12533992', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12518305'), ('12518305', '_hypernym', '11585340')], '11585340')
([('13118569', 'NO_OP', '13118569'), ('13118569', '_derivationally_related_form', '13112664'), ('13112664', '¬_hypernym', '11800565')], '13112664')
([('01802070', '_derivationally_related_form', '01069311'), ('01069311', 'NO_OP', '01069311'), ('01069311', '¬_derivationally_related_form', '01801847')], '01801847')
([('11802212', '¬_member_meronym', '11802076'), ('11802076', '_member_meronym', '11802800'), ('11802800', '_hypernym', '12205694')], '12205694')
([('05113462', '¬_derivationally_related_form', '00106456'), ('00106456', '_also_see', '02336449'), ('02336449', '¬_derivationally_related_form', '05113133')], '05113133')
([('02323186', '¬_member_meronym', '01886220'), ('01886220', '_member_meronym', '02073041'), ('02073041', '_hypernym', '01342529')], '01342529')
([('04465933', '¬_has_part', '04096066'), ('04096066', '_has_part', '03581125'), ('03581125', '_hypernym', '03605722')], '03605722')
([('02535909', '¬_member_meronym', '02534352'), ('02534352', '_member_meronym', '02537847'), ('02537847', '_hypernym', '01432517')], '01432517')
([('02048242', '¬_member_meronym', '02045024'), ('02045024', '_member_meronym', '02045705'), ('02045705', '_hypernym', '01507175')], '01507175')
([('12408466', '¬_member_meronym', '12405209'), ('12405209', '_member_meronym', '12405714'), ('12405714', '¬_hypernym', '12408466')], '12405714')
([('08130292', '¬_has_part', '08129883'), ('08129883', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08136767')], '08337324')
([('12530208', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12549976'), ('12549976', '_hypernym', '11585340')], '11585340')
([('13811184', '¬_derivationally_related_form', '02637592'), ('02637592', '¬_derivationally_related_form', '13810818'), ('13810818', '_derivationally_related_form', '02835654')], '13810818')
([('11667562', '_member_meronym', '12410381'), ('12410381', '_hypernym', '08103777'), ('08103777', '¬_hypernym', '01394901')], '08103777')
([('12003407', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '12030265'), ('12030265', '_hypernym', '11579418')], '11579418')
([('11816336', '¬_member_meronym', '11815194'), ('11815194', '_member_meronym', '11815491'), ('11815491', '_hypernym', '11669921')], '11815491')
([('01201574', '¬_derivationally_related_form', '07579399'), ('07579399', '_derivationally_related_form', '01201089'), ('01201089', '_derivationally_related_form', '00278810')], '01201089')
([('07432337', 'NO_OP', '07432337'), ('07432337', '_derivationally_related_form', '00067999'), ('00067999', '¬_derivationally_related_form', '07432119')], '07432119')
([('12560420', '¬_member_meronym', '12559842'), ('12559842', '_member_meronym', '12560016'), ('12560016', '¬_member_meronym', '12559842')], '12560016')
([('05491308', '¬_has_part', '05331171'), ('05331171', '_hypernym', '05329735'), ('05329735', '¬_hypernym', '05485098')], '05329735')
([('09339810', 'NO_OP', '09339810'), ('09339810', '_has_part', '09260010'), ('09260010', '_hypernym', '08591680')], '08591680')
([('01542316', '¬_member_meronym', '01529036'), ('01529036', '_member_meronym', '01540697'), ('01540697', '_hypernym', '01507175')], '01507175')
([('02472495', '_derivationally_related_form', '01011425'), ('01011425', '_hypernym', '01011166'), ('01011166', '¬_derivationally_related_form', '02472223')], '02472223')
([('02283324', '¬_also_see', '02202384'), ('02202384', '_also_see', '02283324'), ('02283324', '¬_also_see', '02202384')], '02202384')
([('02775483', 'NO_OP', '02775483'), ('02775483', '_has_part', '03006626'), ('03006626', '_hypernym', '03945615')], '03945615')
([('12803517', '¬_member_meronym', '12792041'), ('12792041', '_member_meronym', '12800327'), ('12800327', '_hypernym', '11585340')], '11585340')
([('00288000', '¬_has_part', '07461050'), ('07461050', '_hypernym', '00450700'), ('00450700', '¬_hypernym', '07461050')], '00450700')
([('11830570', '¬_member_meronym', '11827775'), ('11827775', '¬_hypernym', '11832108'), ('11832108', '_hypernym', '11573660')], '11573660')
([('14040310', '¬_derivationally_related_form', '01188144'), ('01188144', 'NO_OP', '01188144'), ('01188144', '_derivationally_related_form', '14039534')], '14039534')
([('12077062', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12083339'), ('12083339', '_hypernym', '11556857')], '11556857')
([('12301917', '¬_member_meronym', '12299988'), ('12299988', '_member_meronym', '12306519'), ('12306519', '_hypernym', '11567411')], '11567411')
([('05484573', 'NO_OP', '05484573'), ('05484573', '¬_has_part', '05484355'), ('05484355', '_hypernym', '05329735')], '05329735')
([('02026798', '¬_member_meronym', '02025530'), ('02025530', '_member_meronym', '02032646'), ('02032646', '_hypernym', '01507175')], '01507175')
([('08157672', '_hypernym', '08153437'), ('08153437', '¬_hypernym', '08155518'), ('08155518', '_hypernym', '07971582')], '07971582')
([('00620379', '_derivationally_related_form', '06785367'), ('06785367', '¬_derivationally_related_form', '00622384'), ('00622384', '_hypernym', '00621734')], '00622384')
([('00567291', '¬_derivationally_related_form', '04689198'), ('04689198', '_derivationally_related_form', '01356750'), ('01356750', '_derivationally_related_form', '14704465')], '01356750')
([('02315696', '¬_member_meronym', '01313093'), ('01313093', '_member_meronym', '01928360'), ('01928360', '_hypernym', '08102555')], '08102555')
([('12524518', '¬_member_meronym', '12501745'), ('12501745', '_member_meronym', '12564381'), ('12564381', '_hypernym', '11585340')], '11585340')
([('02277897', '_derivationally_related_form', '00750405'), ('00750405', '_derivationally_related_form', '02278061'), ('02278061', '_hypernym', '02321757')], '02321757')
([('01740283', '¬_member_meronym', '01726390'), ('01726390', '_member_meronym', '01740393'), ('01740393', '_hypernym', '01656813')], '01656813')
([('10754281', '_derivationally_related_form', '02579447'), ('02579447', '¬_derivationally_related_form', '10257647'), ('10257647', '_hypernym', '09831962')], '10257647')
([('01928737', '¬_member_meronym', '01313093'), ('01313093', '_member_meronym', '02313195'), ('02313195', '_hypernym', '08102555')], '08102555')
([('10498816', '_derivationally_related_form', '01076370'), ('01076370', '_synset_domain_topic_of', '00468480'), ('00468480', '¬_synset_domain_topic_of', '09830194')], '09830194')
([('11899432', '¬_member_meronym', '11867525'), ('11867525', '_member_meronym', '11893004'), ('11893004', '_hypernym', '11575425')], '11575425')
([('12651465', '¬_member_meronym', '12619306'), ('12619306', '_member_meronym', '12651062'), ('12651062', '_hypernym', '11585340')], '11585340')
([('13623455', '¬_has_part', '13623636'), ('13623636', '_hypernym', '13616054'), ('13616054', '_hypernym', '13600822')], '13616054')
([('13726947', 'NO_OP', '13726947'), ('13726947', '¬_has_part', '13727209'), ('13727209', '_hypernym', '13609507')], '13609507')
([('01604586', '¬_derivationally_related_form', '03229244'), ('03229244', '_hypernym', '03323703'), ('03323703', '¬_derivationally_related_form', '01340439')], '01340439')
([('09813219', '_derivationally_related_form', '02142775'), ('02142775', '¬_derivationally_related_form', '10324560'), ('10324560', '¬_hypernym', '09813219')], '10324560')
([('10022111', '¬_instance_hypernym', '10827155'), ('10827155', '_instance_hypernym', '10705615'), ('10705615', '¬_instance_hypernym', '11248997')], '10705615')
([('00005815', '_also_see', '00006238'), ('00006238', '¬_hypernym', '00005815'), ('00005815', '¬_derivationally_related_form', '14359174')], '00006238')
([('08125420', '¬_has_part', '08124971'), ('08124971', '_has_part', '08125722'), ('08125722', '_hypernym', '08337324')], '08337324')
([('07009538', '_derivationally_related_form', '07007945'), ('07007945', '_derivationally_related_form', '10030277'), ('10030277', '¬_instance_hypernym', '11402463')], '07007945')
([('00499812', '_verb_group', '00500055'), ('00500055', '_hypernym', '00126264'), ('00126264', '¬_derivationally_related_form', '07296428')], '00126264')
([('12029326', '¬_member_meronym', '11911591'), ('11911591', '_member_meronym', '11981817'), ('11981817', '_hypernym', '11579418')], '11579418')
([('02418341', '¬_member_meronym', '02400139'), ('02400139', '_member_meronym', '02409702'), ('02409702', '_hypernym', '01864707')], '01864707')
([('06908159', '_derivationally_related_form', '02611442'), ('02611442', '¬_derivationally_related_form', '06906971'), ('06906971', '¬_derivationally_related_form', '02611442')], '06906971')
([('12082980', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12085117'), ('12085117', '_hypernym', '11556857')], '11556857')
([('15218551', '¬_has_part', '15178841'), ('15178841', '_has_part', '15217674'), ('15217674', '_hypernym', '15216966')], '15216966')
([('12685214', '¬_member_meronym', '12684640'), ('12684640', '_member_meronym', '12694707'), ('12694707', '_hypernym', '11566682')], '11566682')
([('00247442', '_derivationally_related_form', '00324560'), ('00324560', 'NO_OP', '00324560'), ('00324560', '_synset_domain_topic_of', '00243918')], '00243918')
([('09145083', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09065328'), ('09065328', '_instance_hypernym', '08524735')], '08524735')
([('06501918', '_synset_domain_topic_of', '08441203'), ('08441203', '¬_synset_domain_topic_of', '06501748'), ('06501748', '_hypernym', '06479665')], '06479665')
([('00030647', '_derivationally_related_form', '14066492'), ('14066492', '_derivationally_related_form', '01785579'), ('01785579', '_hypernym', '00065639')], '00065639')
([('02466670', '¬_derivationally_related_form', '01126856'), ('01126856', '_derivationally_related_form', '02427916'), ('02427916', '¬_derivationally_related_form', '01126856')], '02427916')
([('11319570', '_instance_hypernym', '10672908'), ('10672908', '¬_instance_hypernym', '11194062'), ('11194062', '_instance_hypernym', '10084635')], '10084635')
([('02290153', '¬_member_meronym', '02288473'), ('02288473', '_member_meronym', '02289177'), ('02289177', '_hypernym', '01762525')], '01762525')
([('02651412', '¬_member_meronym', '02649689'), ('02649689', '_member_meronym', '02650928'), ('02650928', '_hypernym', '01432517')], '01432517')
([('01535842', '¬_member_meronym', '01529036'), ('01529036', '_member_meronym', '01535005'), ('01535005', '_hypernym', '01507175')], '01507175')
([('01316401', '_derivationally_related_form', '00945401'), ('00945401', '_derivationally_related_form', '01315613'), ('01315613', '_derivationally_related_form', '10575787')], '01315613')
([('12672843', '¬_member_meronym', '12671157'), ('12671157', '_member_meronym', '12679712'), ('12679712', '_hypernym', '11579418')], '11579418')
([('12077505', '¬_member_meronym', '12039743'), ('12039743', '_member_meronym', '12047173'), ('12047173', '_hypernym', '11556857')], '11556857')
([('02290153', '¬_member_meronym', '02288473'), ('02288473', '_member_meronym', '02290521'), ('02290521', '_hypernym', '01762525')], '01762525')
([('09994119', '_derivationally_related_form', '01637633'), ('01637633', '_derivationally_related_form', '09993901'), ('09993901', '_derivationally_related_form', '01637633')], '09993901')
([('12309403', '¬_member_meronym', '12299988'), ('12299988', '_member_meronym', '12301917'), ('12301917', '_hypernym', '11567411')], '11567411')
([('02356381', '¬_member_meronym', '02356108'), ('02356108', '_member_meronym', '02355477'), ('02355477', '¬_hypernym', '02356381')], '02355477')
([('11810559', '¬_member_meronym', '11804604'), ('11804604', '_member_meronym', '11811308'), ('11811308', '_hypernym', '11573660')], '11573660')
([('09340452', '¬_has_part', '09340024'), ('09340024', '_instance_hypernym', '09252970'), ('09252970', '_member_meronym', '09208496')], '09208496')
([('00907657', '¬_derivationally_related_form', '07209965'), ('07209965', '_derivationally_related_form', '00907147'), ('00907147', '¬_derivationally_related_form', '07208708')], '00907147')
