WN18RR, _verb_group_WN18_generic_PPO_simple_embedding_100
([('01496630', '¬_verb_group', '01496843'), ('01496843', '¬_verb_group', '01496630'), ('01496630', '¬_verb_group', '01496843')], '01496843')
([('01731353', '¬_derivationally_related_form', '01255935'), ('01255935', '_derivationally_related_form', '01730384'), ('01730384', '¬_verb_group', '01731353')], '01730384')
([('00506952', '¬_verb_group', '01308681'), ('01308681', '¬_verb_group', '00506952'), ('00506952', '¬_verb_group', '01308681')], '01308681')
([('00565279', '¬_verb_group', '00565081'), ('00565081', '¬_verb_group', '00565279'), ('00565279', '¬_verb_group', '00565081')], '00565081')
([('02734800', '¬_verb_group', '00212414'), ('00212414', '¬_verb_group', '02734800'), ('02734800', '¬_verb_group', '00212414')], '00212414')
([('00239321', '¬_hypernym', '00239614'), ('00239614', '_verb_group', '00238867'), ('00238867', '¬_verb_group', '00239321')], '00238867')
([('01710481', '¬_verb_group', '02385813'), ('02385813', '¬_verb_group', '01710481'), ('01710481', '¬_verb_group', '02385813')], '02385813')
([('01930874', '¬_verb_group', '02408281'), ('02408281', '¬_verb_group', '01930874'), ('01930874', '¬_verb_group', '02742232')], '02408281')
([('00719231', '¬_verb_group', '00686447'), ('00686447', '_derivationally_related_form', '14412725'), ('14412725', '¬_derivationally_related_form', '00797697')], '00686447')
([('01138911', '¬_verb_group', '01156115'), ('01156115', '¬_derivationally_related_form', '00430140'), ('00430140', '¬_derivationally_related_form', '01156115')], '01156115')
([('02114056', '¬_verb_group', '02114433'), ('02114433', '¬_verb_group', '02114056'), ('02114056', '¬_verb_group', '02113850')], '02114433')
([('00683771', '¬_verb_group', '00693780'), ('00693780', '¬_verb_group', '00683771'), ('00683771', '¬_verb_group', '00693780')], '00693780')
([('01080064', '¬_verb_group', '01149470'), ('01149470', '¬_verb_group', '01079873'), ('01079873', '¬_verb_group', '01079480')], '01149470')
([('01469770', '¬_verb_group', '02384686'), ('02384686', '¬_verb_group', '01469770'), ('01469770', 'NO_OP', '01469770')], '02384686')
([('02734800', 'NO_OP', '02734800'), ('02734800', 'NO_OP', '02734800'), ('02734800', '¬_verb_group', '00212414')], '00212414')
([('01482075', '¬_verb_group', '01481360'), ('01481360', '¬_derivationally_related_form', '03491178'), ('03491178', '_derivationally_related_form', '01482075')], '01481360')
([('02505358', '¬_verb_group', '01646300'), ('01646300', '_verb_group', '01516534'), ('01516534', '_derivationally_related_form', '04050410')], '01646300')
([('01904293', '¬_verb_group', '01874568'), ('01874568', '_hypernym', '01953810'), ('01953810', '¬_derivationally_related_form', '04473432')], '01874568')
([('00752764', '¬_verb_group', '01063695'), ('01063695', '¬_verb_group', '00752764'), ('00752764', '¬_hypernym', '00745499')], '01063695')
([('01030397', 'NO_OP', '01030397'), ('01030397', '¬_verb_group', '02402112'), ('02402112', '_verb_group', '01030397')], '02402112')
([('01629589', '¬_verb_group', '02525447'), ('02525447', '¬_verb_group', '01629589'), ('01629589', '¬_verb_group', '02525447')], '02525447')
([('02616713', '¬_verb_group', '02618149'), ('02618149', '¬_verb_group', '02616713'), ('02616713', '¬_derivationally_related_form', '13962166')], '02618149')
([('00753881', '¬_verb_group', '00792471'), ('00792471', 'NO_OP', '00792471'), ('00792471', '¬_hypernym', '00791134')], '00792471')
([('00597385', '¬_verb_group', '01224744'), ('01224744', '¬_verb_group', '00597385'), ('00597385', '¬_verb_group', '01224744')], '01224744')
([('01716619', '¬_verb_group', '01719921'), ('01719921', '¬_verb_group', '01719302'), ('01719302', '¬_derivationally_related_form', '00795785')], '01719921')
([('01871979', '¬_verb_group', '01872645'), ('01872645', '¬_verb_group', '01871979'), ('01871979', '¬_verb_group', '01872645')], '01872645')
([('01751836', '¬_verb_group', '01741221'), ('01741221', '¬_derivationally_related_form', '10245863'), ('10245863', '¬_derivationally_related_form', '01741221')], '01741221')
([('00603298', 'NO_OP', '00603298'), ('00603298', '¬_verb_group', '02387034'), ('02387034', '¬_verb_group', '00603298')], '02387034')
([('01144657', '¬_derivationally_related_form', '10193026'), ('10193026', 'NO_OP', '10193026'), ('10193026', '¬_derivationally_related_form', '01143838')], '01143838')
([('02261642', '¬_verb_group', '01176232'), ('01176232', '_hypernym', '01182709'), ('01182709', '¬_hypernym', '01178565')], '01176232')
([('01955984', '¬_verb_group', '02102398'), ('02102398', '¬_verb_group', '01955984'), ('01955984', '¬_verb_group', '02102398')], '02102398')
([('00645939', '¬_verb_group', '00646271'), ('00646271', '¬_verb_group', '00645939'), ('00645939', '_hypernym', '00645771')], '00646271')
([('01999423', '¬_verb_group', '02729023'), ('02729023', '_derivationally_related_form', '08482271'), ('08482271', 'NO_OP', '08482271')], '02729023')
([('00365647', '¬_verb_group', '00365188'), ('00365188', '_derivationally_related_form', '00375071'), ('00375071', '_derivationally_related_form', '00237259')], '00365188')
([('02728142', '¬_verb_group', '00959827'), ('00959827', '¬_derivationally_related_form', '06536389'), ('06536389', '¬_derivationally_related_form', '00959827')], '00959827')
([('01817574', '¬_verb_group', '02116980'), ('02116980', '¬_verb_group', '01817574'), ('01817574', '¬_verb_group', '02116980')], '02116980')
([('02093390', '¬_verb_group', '02093610'), ('02093610', 'NO_OP', '02093610'), ('02093610', '_verb_group', '02093390')], '02093610')
([('02203362', '¬_verb_group', '02630189'), ('02630189', '¬_hypernym', '02636132'), ('02636132', '_derivationally_related_form', '13793504')], '02630189')
([('02213074', '¬_verb_group', '02212825'), ('02212825', '¬_verb_group', '02213074'), ('02213074', '¬_verb_group', '02212825')], '02212825')
([('02002720', '¬_verb_group', '02056466'), ('02056466', '¬_verb_group', '02002720'), ('02002720', '¬_also_see', '02056971')], '02056466')
([('01853696', '¬_verb_group', '01915365'), ('01915365', '¬_verb_group', '01853696'), ('01853696', '¬_derivationally_related_form', '04473432')], '01915365')
([('02071142', '¬_verb_group', '01611516'), ('01611516', '¬_verb_group', '02071142'), ('02071142', '_hypernym', '01970826')], '01611516')
([('01433294', '¬_verb_group', '02077656'), ('02077656', '¬_derivationally_related_form', '00315986'), ('00315986', '¬_derivationally_related_form', '01449974')], '02077656')
([('02449847', '¬_derivationally_related_form', '05176188'), ('05176188', '¬_derivationally_related_form', '02449847'), ('02449847', '¬_verb_group', '02236624')], '02236624')
([('01255355', '¬_verb_group', '01255222'), ('01255222', '¬_verb_group', '01255355'), ('01255355', '¬_verb_group', '01255222')], '01255222')
([('00092690', '¬_verb_group', '00093163'), ('00093163', '¬_verb_group', '00092690'), ('00092690', '¬_verb_group', '00093163')], '00093163')
([('02343595', '¬_verb_group', '00732224'), ('00732224', '¬_verb_group', '02343595'), ('02343595', '¬_verb_group', '00887463')], '00732224')
([('01168468', '_derivationally_related_form', '10042300'), ('10042300', '¬_derivationally_related_form', '01179865'), ('01179865', '¬_derivationally_related_form', '07800091')], '01179865')
([('02455407', '¬_verb_group', '00729109'), ('00729109', 'NO_OP', '00729109'), ('00729109', '¬_verb_group', '02455407')], '00729109')
([('01430952', '¬_verb_group', '01430633'), ('01430633', '_derivationally_related_form', '00855674'), ('00855674', '_derivationally_related_form', '01430952')], '01430633')
([('02630189', '¬_verb_group', '02204692'), ('02204692', '¬_verb_group', '02630189'), ('02630189', '¬_verb_group', '02203362')], '02204692')
([('01915365', '¬_verb_group', '01853696'), ('01853696', '¬_verb_group', '01915365'), ('01915365', '¬_derivationally_related_form', '00309115')], '01853696')
([('00583991', 'NO_OP', '00583991'), ('00583991', '¬_verb_group', '00584220'), ('00584220', '¬_verb_group', '00583991')], '00584220')
([('00572788', '¬_verb_group', '02280869'), ('02280869', '_derivationally_related_form', '00356621'), ('00356621', '¬_derivationally_related_form', '01157517')], '02280869')
([('02601996', '¬_verb_group', '02601808'), ('02601808', '¬_verb_group', '02601996'), ('02601996', '¬_verb_group', '02601808')], '02601808')
([('00601378', '¬_verb_group', '00601043'), ('00601043', '¬_verb_group', '00601378'), ('00601378', '_derivationally_related_form', '00277569')], '00601043')
([('00190180', '_derivationally_related_form', '00146443'), ('00146443', '_derivationally_related_form', '00190180'), ('00190180', '¬_verb_group', '01465054')], '01465054')
([('00100044', '_derivationally_related_form', '00893955'), ('00893955', '_derivationally_related_form', '00833702'), ('00833702', '_derivationally_related_form', '09931640')], '00833702')
([('01629000', '¬_verb_group', '01647672'), ('01647672', '¬_verb_group', '01629000'), ('01629000', '¬_verb_group', '01647672')], '01647672')
([('02109045', '¬_verb_group', '00669762'), ('00669762', '_derivationally_related_form', '01166926'), ('01166926', '_derivationally_related_form', '00878348')], '00669762')
([('00767334', 'NO_OP', '00767334'), ('00767334', '¬_verb_group', '01808218'), ('01808218', '_hypernym', '01505254')], '01808218')
([('00951206', 'NO_OP', '00951206'), ('00951206', '_derivationally_related_form', '07118002'), ('07118002', '¬_derivationally_related_form', '00951399')], '00951399')
([('02202928', '¬_verb_group', '02733122'), ('02733122', 'NO_OP', '02733122'), ('02733122', '¬_derivationally_related_form', '00819024')], '02733122')
([('01726172', '¬_verb_group', '01725051'), ('01725051', 'NO_OP', '01725051'), ('01725051', '¬_derivationally_related_form', '00101191')], '01725051')
([('02285629', '¬_verb_group', '02247977'), ('02247977', '_derivationally_related_form', '00045907'), ('00045907', '_derivationally_related_form', '02247977')], '02247977')
([('00874175', '¬_verb_group', '00901103'), ('00901103', '¬_verb_group', '00874175'), ('00874175', '¬_verb_group', '00901103')], '00901103')
([('00720063', '¬_verb_group', '00719734'), ('00719734', '¬_verb_group', '00720063'), ('00720063', '¬_verb_group', '00719734')], '00719734')
([('01023574', '¬_verb_group', '01023259'), ('01023259', '¬_verb_group', '01023574'), ('01023574', '¬_verb_group', '01023259')], '01023259')
([('00574996', '¬_verb_group', '00575169'), ('00575169', '¬_verb_group', '00574996'), ('00574996', 'NO_OP', '00574996')], '00575169')
([('01079873', '¬_verb_group', '01079480'), ('01079480', '¬_verb_group', '01080691'), ('01080691', '¬_derivationally_related_form', '00556313')], '01079480')
([('01019472', 'NO_OP', '01019472'), ('01019472', '¬_verb_group', '01018928'), ('01018928', '¬_derivationally_related_form', '06755568')], '01018928')
([('00691516', 'NO_OP', '00691516'), ('00691516', '¬_verb_group', '00971015'), ('00971015', '¬_verb_group', '00691516')], '00971015')
([('02627934', '_derivationally_related_form', '14450691'), ('14450691', '_derivationally_related_form', '02627934'), ('02627934', '¬_verb_group', '00756076')], '00756076')
([('00669762', '¬_verb_group', '02109045'), ('02109045', '_verb_group', '00669762'), ('00669762', '¬_verb_group', '02109045')], '02109045')
([('00874175', '¬_verb_group', '00901103'), ('00901103', 'NO_OP', '00901103'), ('00901103', '¬_verb_group', '00874175')], '00901103')
([('01168468', '¬_verb_group', '01179865'), ('01179865', '¬_verb_group', '01168468'), ('01168468', '¬_verb_group', '01179865')], '01179865')
([('00970215', '¬_verb_group', '00578508'), ('00578508', '¬_verb_group', '00970215'), ('00970215', '¬_verb_group', '00578508')], '00578508')
([('00443384', '¬_verb_group', '00443116'), ('00443116', '¬_verb_group', '00443384'), ('00443384', '¬_verb_group', '00443116')], '00443116')
([('00044797', '¬_verb_group', '00044149'), ('00044149', '¬_also_see', '00046534'), ('00046534', 'NO_OP', '00046534')], '00046534')
([('01209678', '¬_verb_group', '02127613'), ('02127613', '¬_verb_group', '01209678'), ('01209678', '¬_verb_group', '02127613')], '02127613')
([('01726879', '_derivationally_related_form', '07086518'), ('07086518', '¬_derivationally_related_form', '01726879'), ('01726879', '¬_verb_group', '01880673')], '01880673')
([('01850315', '¬_verb_group', '01835496'), ('01835496', '¬_hypernym', '02102002'), ('02102002', '_hypernym', '01835496')], '01835496')
([('02767760', '¬_verb_group', '02764765'), ('02764765', '¬_verb_group', '02767760'), ('02767760', '_hypernym', '02767308')], '02764765')
([('02673134', '¬_verb_group', '02743020'), ('02743020', '¬_verb_group', '02673134'), ('02673134', '_derivationally_related_form', '13934900')], '02743020')
([('00411020', '¬_verb_group', '00171852'), ('00171852', '¬_verb_group', '00253761'), ('00253761', '¬_verb_group', '00171852')], '00171852')
([('02383440', '¬_verb_group', '02009433'), ('02009433', '¬_hypernym', '02075049'), ('02075049', 'NO_OP', '02075049')], '02009433')
([('01984317', '¬_verb_group', '01984119'), ('01984119', 'NO_OP', '01984119'), ('01984119', '_verb_group', '01984317')], '01984119')
([('00053159', '¬_verb_group', '00053341'), ('00053341', '¬_verb_group', '00053159'), ('00053159', 'NO_OP', '00053159')], '00053341')
([('00374135', '¬_verb_group', '00445711'), ('00445711', 'NO_OP', '00445711'), ('00445711', '¬_derivationally_related_form', '13484644')], '00445711')
([('02728142', 'NO_OP', '02728142'), ('02728142', '¬_verb_group', '00959827'), ('00959827', '¬_verb_group', '02728142')], '00959827')
([('00583991', '¬_verb_group', '00584220'), ('00584220', '¬_verb_group', '00583991'), ('00583991', '¬_verb_group', '00584220')], '00584220')
([('02261642', '¬_verb_group', '01176232'), ('01176232', '_hypernym', '01182709'), ('01182709', '¬_hypernym', '01176232')], '01176232')
([('00365446', '¬_verb_group', '00364868'), ('00364868', '¬_verb_group', '00366547'), ('00366547', '_verb_group', '00364868')], '00364868')
([('01904930', '¬_verb_group', '01906823'), ('01906823', '¬_verb_group', '01904930'), ('01904930', '¬_verb_group', '01882170')], '01906823')
([('00332672', '_hypernym', '00397576'), ('00397576', '¬_hypernym', '00332672'), ('00332672', '¬_verb_group', '00334803')], '00334803')
([('02321046', '¬_verb_group', '02320374'), ('02320374', '¬_verb_group', '02321046'), ('02321046', '¬_verb_group', '02320374')], '02320374')
([('01925694', '¬_verb_group', '01881180'), ('01881180', '¬_verb_group', '02102840'), ('02102840', '_hypernym', '01995549')], '01881180')
([('02077656', '¬_verb_group', '01433294'), ('01433294', '¬_derivationally_related_form', '00315986'), ('00315986', '_derivationally_related_form', '01433294')], '01433294')
([('00506952', 'NO_OP', '00506952'), ('00506952', '¬_verb_group', '01308681'), ('01308681', '_verb_group', '00506952')], '01308681')
([('00177243', '¬_verb_group', '00049900'), ('00049900', '¬_derivationally_related_form', '00531490'), ('00531490', '¬_derivationally_related_form', '10664340')], '00049900')
([('00205046', '_derivationally_related_form', '05143690'), ('05143690', '_derivationally_related_form', '00205885'), ('00205885', '¬_verb_group', '00205046')], '00205885')
([('00201722', '¬_verb_group', '00243900'), ('00243900', '¬_derivationally_related_form', '09433952'), ('09433952', '¬_derivationally_related_form', '00243900')], '00243900')
([('02015598', '¬_verb_group', '02009433'), ('02009433', '_verb_group', '02015598'), ('02015598', 'NO_OP', '02015598')], '02009433')
([('02267989', '¬_verb_group', '01157517'), ('01157517', '_derivationally_related_form', '00356621'), ('00356621', '_derivationally_related_form', '01157517')], '01157517')
([('00461493', '¬_verb_group', '02190188'), ('02190188', '¬_derivationally_related_form', '04982478'), ('04982478', 'NO_OP', '04982478')], '02190188')
([('00575720', '¬_verb_group', '00575970'), ('00575970', '¬_verb_group', '00575720'), ('00575720', '¬_verb_group', '00575970')], '00575970')
([('00597385', '¬_verb_group', '01224744'), ('01224744', '¬_derivationally_related_form', '00830448'), ('00830448', '_synset_domain_topic_of', '06080522')], '01224744')
([('00874002', '¬_verb_group', '02359061'), ('02359061', '¬_verb_group', '00874002'), ('00874002', 'NO_OP', '00874002')], '02359061')
([('01465365', '¬_verb_group', '01465218'), ('01465218', 'NO_OP', '01465218'), ('01465218', '¬_verb_group', '01465365')], '01465218')
([('00334996', '¬_verb_group', '00334186'), ('00334186', '¬_verb_group', '00334996'), ('00334996', '¬_verb_group', '00334186')], '00334186')
([('02582450', '¬_verb_group', '02582042'), ('02582042', 'NO_OP', '02582042'), ('02582042', '_verb_group', '02582450')], '02582042')
([('00032778', '¬_verb_group', '00032539'), ('00032539', '_hypernym', '00028565'), ('00028565', '_hypernym', '00034288')], '00032539')
([('00758333', '¬_verb_group', '02275365'), ('02275365', '¬_hypernym', '02275799'), ('02275799', 'NO_OP', '02275799')], '02275365')
([('01611516', 'NO_OP', '01611516'), ('01611516', '¬_verb_group', '02071142'), ('02071142', '¬_verb_group', '01611516')], '02071142')
([('02273922', '¬_verb_group', '02273293'), ('02273293', '¬_derivationally_related_form', '00085219'), ('00085219', '_hypernym', '00083975')], '02273293')
([('01853696', '¬_verb_group', '01915365'), ('01915365', '_hypernym', '02050132'), ('02050132', '¬_hypernym', '02019431')], '01915365')
([('00783523', '¬_verb_group', '00975036'), ('00975036', '¬_derivationally_related_form', '06796642'), ('06796642', '_derivationally_related_form', '01526521')], '00975036')
([('01168468', 'NO_OP', '01168468'), ('01168468', '¬_verb_group', '01166351'), ('01166351', '¬_hypernym', '01168468')], '01166351')
([('00444629', '¬_verb_group', '02060792'), ('02060792', '¬_verb_group', '00444629'), ('00444629', '¬_derivationally_related_form', '13566535')], '02060792')
([('01788733', '¬_verb_group', '01787955'), ('01787955', '¬_verb_group', '01788733'), ('01788733', '¬_verb_group', '01787955')], '01787955')
([('02747922', 'NO_OP', '02747922'), ('02747922', '¬_verb_group', '02410175'), ('02410175', '_verb_group', '02747922')], '02410175')
([('01984317', '¬_verb_group', '01984119'), ('01984119', '¬_verb_group', '01984317'), ('01984317', '¬_verb_group', '01984119')], '01984119')
([('00136991', '¬_verb_group', '02730135'), ('02730135', '¬_verb_group', '02635659'), ('02635659', '¬_hypernym', '02635956')], '02730135')
([('00833702', '¬_verb_group', '00100044'), ('00100044', '_derivationally_related_form', '00893955'), ('00893955', '¬_derivationally_related_form', '02387034')], '00100044')
([('00783042', '¬_verb_group', '00781652'), ('00781652', '¬_verb_group', '00783042'), ('00783042', '¬_verb_group', '00781652')], '00781652')
([('01930482', '¬_verb_group', '02056971'), ('02056971', '¬_derivationally_related_form', '00307631'), ('00307631', '¬_derivationally_related_form', '01930117')], '01930117')
([('02210119', '¬_verb_group', '02236124'), ('02236124', '¬_verb_group', '02210119'), ('02210119', '¬_verb_group', '02236124')], '02236124')
([('01079480', '¬_hypernym', '01078783'), ('01078783', '_hypernym', '01079480'), ('01079480', '¬_verb_group', '01072949')], '01072949')
([('01690294', '¬_verb_group', '01582645'), ('01582645', '¬_verb_group', '01690294'), ('01690294', 'NO_OP', '01690294')], '01582645')
([('02635659', '¬_verb_group', '02730135'), ('02730135', '¬_verb_group', '02635659'), ('02635659', '¬_derivationally_related_form', '11410625')], '02730135')
([('01506583', '¬_verb_group', '01505254'), ('01505254', '¬_hypernym', '01505958'), ('01505958', '_hypernym', '01505254')], '01505254')
([('00205046', '¬_verb_group', '00205885'), ('00205885', '¬_verb_group', '00205046'), ('00205046', '¬_verb_group', '00205885')], '00205885')
([('01019472', '¬_verb_group', '01018928'), ('01018928', '¬_derivationally_related_form', '06755568'), ('06755568', 'NO_OP', '06755568')], '01018928')
([('00698256', '¬_verb_group', '00698104'), ('00698104', '¬_verb_group', '00698256'), ('00698256', 'NO_OP', '00698256')], '00698104')
([('01535742', '¬_verb_group', '00557686'), ('00557686', '_verb_group', '01535742'), ('01535742', '¬_verb_group', '00557686')], '00557686')
([('00286605', '¬_verb_group', '01531998'), ('01531998', '¬_verb_group', '00286605'), ('00286605', '¬_verb_group', '01531998')], '01531998')
([('00613393', '¬_verb_group', '01989053'), ('01989053', '¬_verb_group', '01989562'), ('01989562', 'NO_OP', '01989562')], '01989053')
([('01302183', '¬_verb_group', '01302365'), ('01302365', '¬_verb_group', '01302183'), ('01302183', '¬_verb_group', '01302365')], '01302365')
([('01985029', '¬_verb_group', '01547001'), ('01547001', '¬_verb_group', '01985029'), ('01985029', '¬_verb_group', '01547001')], '01547001')
([('02467203', '¬_derivationally_related_form', '00355691'), ('00355691', 'NO_OP', '00355691'), ('00355691', '¬_derivationally_related_form', '02467003')], '02467003')
([('00796976', '_derivationally_related_form', '00205349'), ('00205349', '_derivationally_related_form', '02237338'), ('02237338', '¬_derivationally_related_form', '00203342')], '02237338')
([('01592774', '¬_verb_group', '01592456'), ('01592456', 'NO_OP', '01592456'), ('01592456', '¬_verb_group', '01592774')], '01592456')
([('02296153', '¬_verb_group', '02229055'), ('02229055', '_hypernym', '02200686'), ('02200686', '_derivationally_related_form', '01086081')], '02229055')
([('01546768', '¬_verb_group', '01546111'), ('01546111', 'NO_OP', '01546111'), ('01546111', '_derivationally_related_form', '08653706')], '01546111')
([('00661824', '¬_verb_group', '00662182'), ('00662182', 'NO_OP', '00662182'), ('00662182', '¬_verb_group', '00662589')], '00662182')
([('00169458', 'NO_OP', '00169458'), ('00169458', '¬_verb_group', '00550117'), ('00550117', '¬_verb_group', '00161225')], '00550117')
([('01879579', '¬_verb_group', '01879251'), ('01879251', '_derivationally_related_form', '15280695'), ('15280695', '_hypernym', '14302005')], '01879251')
([('00342980', '¬_verb_group', '02624263'), ('02624263', '_derivationally_related_form', '07324673'), ('07324673', '¬_derivationally_related_form', '00125841')], '02624263')
([('01724459', '¬_verb_group', '01725051'), ('01725051', '¬_verb_group', '01724459'), ('01724459', '¬_verb_group', '01725051')], '01725051')
([('02749247', '_hypernym', '02748927'), ('02748927', '¬_derivationally_related_form', '00261604'), ('00261604', '¬_derivationally_related_form', '01675963')], '01675963')
([('01716619', '¬_verb_group', '01719921'), ('01719921', '¬_verb_group', '02744977'), ('02744977', '¬_derivationally_related_form', '00548326')], '01719921')
([('01654628', '¬_verb_group', '01685601'), ('01685601', '¬_verb_group', '01654628'), ('01654628', '¬_verb_group', '01685601')], '01685601')
([('00870213', '¬_verb_group', '00870577'), ('00870577', '¬_verb_group', '00870213'), ('00870213', '¬_hypernym', '00871195')], '00870577')
([('00890590', '¬_verb_group', '00890100'), ('00890100', '¬_verb_group', '00890590'), ('00890590', '¬_verb_group', '00890100')], '00890100')
([('01082454', '¬_verb_group', '01439190'), ('01439190', '_derivationally_related_form', '09901143'), ('09901143', '_derivationally_related_form', '01082454')], '01439190')
([('00602805', '¬_verb_group', '00603298'), ('00603298', '¬_verb_group', '00602805'), ('00602805', '¬_verb_group', '02387034')], '00603298')
([('01518047', '¬_verb_group', '01517662'), ('01517662', '¬_verb_group', '01518047'), ('01518047', '¬_verb_group', '01517662')], '01517662')
([('00321148', '¬_verb_group', '00320681'), ('00320681', '_derivationally_related_form', '07678729'), ('07678729', '¬_derivationally_related_form', '00542809')], '00320681')
([('00709205', '¬_verb_group', '01317064'), ('01317064', '¬_derivationally_related_form', '10766025'), ('10766025', 'NO_OP', '10766025')], '01317064')
([('02627934', '¬_derivationally_related_form', '09367991'), ('09367991', '_derivationally_related_form', '02627934'), ('02627934', '¬_verb_group', '00756076')], '00756076')
([('00195342', '¬_verb_group', '00181664'), ('00181664', '¬_verb_group', '00195342'), ('00195342', '¬_verb_group', '00181664')], '00181664')
([('02609203', '¬_verb_group', '00348746'), ('00348746', '¬_verb_group', '02609203'), ('02609203', '¬_verb_group', '02608347')], '00348746')
([('01835496', '¬_derivationally_related_form', '02994448'), ('02994448', '_derivationally_related_form', '01835496'), ('01835496', '¬_verb_group', '01850315')], '01850315')
([('00097179', '_derivationally_related_form', '13479889'), ('13479889', 'NO_OP', '13479889'), ('13479889', '¬_derivationally_related_form', '00096766')], '00096766')
([('01389007', 'NO_OP', '01389007'), ('01389007', '¬_verb_group', '01388813'), ('01388813', '¬_verb_group', '01389007')], '01388813')
([('00167934', '¬_verb_group', '00384620'), ('00384620', 'NO_OP', '00384620'), ('00384620', '¬_verb_group', '00167934')], '00384620')
([('01551871', '¬_derivationally_related_form', '10566072'), ('10566072', '_derivationally_related_form', '01684337'), ('01684337', 'NO_OP', '01684337')], '01684337')
([('02177976', '¬_verb_group', '02187922'), ('02187922', '¬_verb_group', '02177976'), ('02177976', 'NO_OP', '02177976')], '02187922')
([('01719302', '¬_verb_group', '00013615'), ('00013615', '¬_verb_group', '01719302'), ('01719302', '_derivationally_related_form', '00548326')], '00013615')
([('00339464', '¬_verb_group', '00342980'), ('00342980', '¬_verb_group', '00339464'), ('00339464', 'NO_OP', '00339464')], '00342980')
([('02418421', '¬_verb_group', '02418686'), ('02418686', '¬_verb_group', '02418421'), ('02418421', 'NO_OP', '02418421')], '02418686')
([('02742842', '¬_verb_group', '01535246'), ('01535246', '_hypernym', '01532589'), ('01532589', '¬_hypernym', '01392080')], '01535246')
([('01724459', 'NO_OP', '01724459'), ('01724459', '¬_verb_group', '01725051'), ('01725051', '¬_verb_group', '01724459')], '01725051')
([('01019472', '¬_verb_group', '01018928'), ('01018928', 'NO_OP', '01018928'), ('01018928', '_derivationally_related_form', '06755568')], '01018928')
([('00136991', '¬_verb_group', '02730135'), ('02730135', 'NO_OP', '02730135'), ('02730135', '¬_verb_group', '00136991')], '02730135')
([('00594621', '_derivationally_related_form', '01374582'), ('01374582', '¬_derivationally_related_form', '00595630'), ('00595630', '¬_verb_group', '00594621')], '00595630')
([('00051761', '¬_verb_group', '00044149'), ('00044149', '_derivationally_related_form', '02756098'), ('02756098', '_hypernym', '03051540')], '00044149')
([('01484027', '¬_verb_group', '01483779'), ('01483779', '_verb_group', '01484027'), ('01484027', 'NO_OP', '01484027')], '01483779')
([('00652900', '¬_verb_group', '02729632'), ('02729632', '¬_derivationally_related_form', '04746842'), ('04746842', '¬_derivationally_related_form', '02729632')], '02729632')
