WN18RR, _instance_hypernym_WN18_generic_PPO_simple_embedding_100
([('09087450', '¬_has_part', '09086173'), ('09086173', '_has_part', '09086635'), ('09086635', '_instance_hypernym', '08524735')], '08524735')
([('08699426', '_has_part', '09034550'), ('09034550', '_has_part', '09035305'), ('09035305', '_instance_hypernym', '08574314')], '08574314')
([('09222880', '¬_has_part', '09159003'), ('09159003', '_has_part', '09456860'), ('09456860', '_instance_hypernym', '09403734')], '09403734')
([('11070644', '_instance_hypernym', '10444194'), ('10444194', '¬_instance_hypernym', '11402463'), ('11402463', '_instance_hypernym', '10030277')], '10030277')
([('08729283', '¬_has_part', '08723006'), ('08723006', '_has_part', '08725161'), ('08725161', '_instance_hypernym', '08524735')], '08524735')
([('10812800', '¬_member_of_domain_region', '09002814'), ('09002814', '_member_of_domain_region', '09987239'), ('09987239', '_derivationally_related_form', '02710043')], '09987239')
([('15129220', '¬_has_part', '15128711'), ('15128711', '_instance_hypernym', '15243730'), ('15243730', '¬_instance_hypernym', '15128997')], '15243730')
([('08033454', '_synset_domain_topic_of', '00759694'), ('00759694', '¬_synset_domain_topic_of', '08029908'), ('08029908', '_instance_hypernym', '08392137')], '08392137')
([('08746475', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08750822'), ('08750822', '_instance_hypernym', '08524735')], '08524735')
([('09100394', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09164903'), ('09164903', '_instance_hypernym', '08524735')], '08524735')
([('06434368', '¬_has_part', '06453324'), ('06453324', '_has_part', '06435651'), ('06435651', '_instance_hypernym', '06394865')], '06394865')
([('08751494', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08987423'), ('08987423', '_instance_hypernym', '08544813')], '08544813')
([('09048127', '¬_has_part', '08563180'), ('08563180', '_has_part', '08563990'), ('08563990', '_instance_hypernym', '08574314')], '08574314')
([('09083659', '¬_has_part', '09082540'), ('09082540', '_has_part', '09084196'), ('09084196', '_instance_hypernym', '08524735')], '08524735')
([('06431496', '_has_part', '06431156'), ('06431156', '_instance_hypernym', '06429590'), ('06429590', '¬_hypernym', '06455138')], '06429590')
([('09449773', '¬_has_part', '05629381'), ('05629381', '_has_part', '09186709'), ('09186709', '_instance_hypernym', '09411430')], '09411430')
([('09084750', '¬_has_part', '09044862'), ('09044862', '_has_part', '09147964'), ('09147964', '_instance_hypernym', '08655464')], '08655464')
([('08743945', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09083390'), ('09083390', '_instance_hypernym', '08524735')], '08524735')
([('08857099', '¬_has_part', '08853741'), ('08853741', '_has_part', '08855126'), ('08855126', '_instance_hypernym', '08524735')], '08524735')
([('09430416', '¬_has_part', '09384921'), ('09384921', '_has_part', '09467765'), ('09467765', '_instance_hypernym', '09475292')], '09475292')
([('09419281', '¬_has_part', '09059274'), ('09059274', '_has_part', '09380817'), ('09380817', '_instance_hypernym', '09411430')], '09411430')
([('09012898', '¬_has_part', '09013074'), ('09013074', '_instance_hypernym', '09012101'), ('09012101', '_hypernym', '08574314')], '08574314')
([('09144730', '¬_has_part', '09141526'), ('09141526', '_has_part', '09146111'), ('09146111', '_instance_hypernym', '08524735')], '08524735')
([('08912012', '¬_has_part', '08910668'), ('08910668', '_has_part', '08912279'), ('08912279', '_instance_hypernym', '08524735')], '08524735')
([('09075007', '¬_has_part', '09071690'), ('09071690', '_has_part', '09073938'), ('09073938', '_instance_hypernym', '08524735')], '08524735')
([('09083390', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09017005'), ('09017005', '_instance_hypernym', '08524735')], '08524735')
([('15233239', '¬_has_part', '15231964'), ('15231964', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15118228')], '15113229')
([('08855909', '¬_has_part', '08853741'), ('08853741', '_has_part', '08857529'), ('08857529', '_instance_hypernym', '08524735')], '08524735')
([('11302062', '_instance_hypernym', '09980090'), ('09980090', '¬_instance_hypernym', '10916731'), ('10916731', '_instance_hypernym', '09765278')], '09765278')
([('09135993', '¬_has_part', '09134386'), ('09134386', '_has_part', '09136582'), ('09136582', '_instance_hypernym', '08524735')], '08524735')
([('08935212', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '08856037'), ('08856037', '_instance_hypernym', '08524735')], '08524735')
([('11189829', '_instance_hypernym', '09940146'), ('09940146', '¬_instance_hypernym', '11159920'), ('11159920', '_instance_hypernym', '09765278')], '09765278')
([('08541454', '¬_has_part', '09198106'), ('09198106', '_has_part', '08628414'), ('08628414', '_instance_hypernym', '08574314')], '08574314')
([('08912012', '¬_has_part', '08910668'), ('08910668', '_has_part', '08911726'), ('08911726', '_instance_hypernym', '08524735')], '08524735')
([('09405949', '¬_has_part', '09131654'), ('09131654', '_has_part', '09206375'), ('09206375', '_instance_hypernym', '09411430')], '09411430')
([('09150863', '¬_has_part', '09148970'), ('09148970', '_has_part', '09150662'), ('09150662', '_instance_hypernym', '08633957')], '08633957')
([('08889657', '_instance_hypernym', '08633957'), ('08633957', '¬_instance_hypernym', '09165146'), ('09165146', '_instance_hypernym', '08524735')], '08524735')
([('11402463', '_instance_hypernym', '10444194'), ('10444194', '¬_instance_hypernym', '11327744'), ('11327744', '_instance_hypernym', '10030277')], '10030277')
([('09064594', '¬_has_part', '09060768'), ('09060768', '_has_part', '09063477'), ('09063477', '_instance_hypernym', '08524735')], '08524735')
([('09272927', '¬_has_part', '09196611'), ('09196611', '_has_part', '09463721'), ('09463721', '_instance_hypernym', '09360122')], '09360122')
([('08910230', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08925957'), ('08925957', '_instance_hypernym', '08633957')], '08633957')
([('09077821', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08889521'), ('08889521', '_instance_hypernym', '08633957')], '08633957')
([('11073061', '_instance_hypernym', '09921792'), ('09921792', '¬_instance_hypernym', '11083064'), ('11083064', '_instance_hypernym', '10547145')], '10547145')
([('08987423', '¬_member_meronym', '08176077'), ('08176077', '_member_meronym', '08763193'), ('08763193', '_instance_hypernym', '08544813')], '08544813')
([('09065557', '_instance_hypernym', '08638442'), ('08638442', '¬_instance_hypernym', '09065328'), ('09065328', '_instance_hypernym', '08524735')], '08524735')
([('08818835', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '09150662'), ('09150662', '_instance_hypernym', '08633957')], '08633957')
([('09069415', '¬_has_part', '09068444'), ('09068444', '_has_part', '09068921'), ('09068921', '_instance_hypernym', '08524735')], '08524735')
([('09077556', '¬_has_part', '09075842'), ('09075842', '_has_part', '09077821'), ('09077821', '_instance_hypernym', '08524735')], '08524735')
([('08773336', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08889657'), ('08889657', '_instance_hypernym', '08633957')], '08633957')
([('15232712', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_instance_hypernym', '15233411')], '15113229')
([('09030382', '¬_has_part', '09029457'), ('09029457', '_has_part', '09030467'), ('09030467', '_instance_hypernym', '08524735')], '08524735')
([('10893830', '_instance_hypernym', '10650162'), ('10650162', '¬_instance_hypernym', '11190183'), ('11190183', '_instance_hypernym', '10794014')], '10794014')
([('08040257', '¬_has_part', '08022259'), ('08022259', '_instance_hypernym', '08392137'), ('08392137', '¬_instance_hypernym', '08013453')], '08392137')
([('09145217', '¬_has_part', '09141526'), ('09141526', '_has_part', '09143205'), ('09143205', '_instance_hypernym', '08524735')], '08524735')
([('15233047', '¬_has_part', '15232406'), ('15232406', '_instance_hypernym', '15113229'), ('15113229', '¬_hypernym', '15209413')], '15113229')
([('11086774', '_instance_hypernym', '09921792'), ('09921792', '¬_instance_hypernym', '11083064'), ('11083064', '_instance_hypernym', '10547145')], '10547145')
([('11231157', '_instance_hypernym', '09798811'), ('09798811', '¬_instance_hypernym', '11301414'), ('11301414', '_instance_hypernym', '10547145')], '10547145')
