WN18RR, _derivationally_related_form_WN18_generic_PPO_simple_embedding_100
([('02294436', '¬_derivationally_related_form', '01083504'), ('01083504', '_derivationally_related_form', '00081072'), ('00081072', '_derivationally_related_form', '13285714')], '13285714')
([('00135013', '_derivationally_related_form', '06372680'), ('06372680', '¬_member_meronym', '07978423'), ('07978423', '¬_synset_domain_topic_of', '06147873')], '07978423')
([('01009871', 'NO_OP', '01009871'), ('01009871', '¬_derivationally_related_form', '00276883'), ('00276883', '¬_derivationally_related_form', '01009871')], '00276883')
([('07009538', '¬_derivationally_related_form', '07007945'), ('07007945', '_derivationally_related_form', '01716619'), ('01716619', '_hypernym', '01714208')], '07007945')
([('01129977', '¬_derivationally_related_form', '04849241'), ('04849241', '¬_derivationally_related_form', '01129977'), ('01129977', '¬_also_see', '02584981')], '04849241')
([('01110661', '¬_derivationally_related_form', '10226556'), ('10226556', '_hypernym', '10461424'), ('10461424', '_derivationally_related_form', '02504562')], '10226556')
([('06741099', '¬_derivationally_related_form', '00893741'), ('00893741', '¬_derivationally_related_form', '06741099'), ('06741099', '¬_derivationally_related_form', '00893741')], '00893741')
([('05782884', '¬_derivationally_related_form', '02193612'), ('02193612', '_hypernym', '02193194'), ('02193194', '¬_also_see', '00954422')], '02193612')
([('10079893', '¬_derivationally_related_form', '06217944'), ('06217944', '_hypernym', '06212839'), ('06212839', '_hypernym', '06208021')], '06217944')
([('01951276', '¬_derivationally_related_form', '13326198'), ('13326198', '_derivationally_related_form', '01489161'), ('01489161', '¬_derivationally_related_form', '01106272')], '13326198')
([('10699752', '¬_derivationally_related_form', '01807529'), ('01807529', '¬_derivationally_related_form', '04689048'), ('04689048', '¬_derivationally_related_form', '01760143')], '01807529')
([('00931555', '¬_derivationally_related_form', '04835488'), ('04835488', 'NO_OP', '04835488'), ('04835488', '¬_derivationally_related_form', '00931555')], '04835488')
([('13555599', '¬_derivationally_related_form', '00009147'), ('00009147', '_hypernym', '01513430'), ('01513430', 'NO_OP', '01513430')], '00009147')
([('02568392', '¬_derivationally_related_form', '10621514'), ('10621514', '_derivationally_related_form', '00849294'), ('00849294', '¬_derivationally_related_form', '10621514')], '10621514')
([('01549420', '¬_derivationally_related_form', '00397760'), ('00397760', '¬_derivationally_related_form', '00479391'), ('00479391', '_derivationally_related_form', '00397760')], '00397760')
([('05143690', '¬_derivationally_related_form', '00205885'), ('00205885', '¬_hypernym', '00230033'), ('00230033', '¬_hypernym', '00230276')], '00205885')
([('00595146', '¬_derivationally_related_form', '10298912'), ('10298912', '¬_derivationally_related_form', '00589769'), ('00589769', '¬_derivationally_related_form', '09892693')], '10298912')
([('10611361', '¬_derivationally_related_form', '01916960'), ('01916960', '_derivationally_related_form', '00285141'), ('00285141', '_derivationally_related_form', '10611361')], '00285141')
([('06816935', 'NO_OP', '06816935'), ('06816935', '¬_derivationally_related_form', '00981083'), ('00981083', '_derivationally_related_form', '06732013')], '00981083')
([('07194499', '¬_derivationally_related_form', '01013040'), ('01013040', 'NO_OP', '01013040'), ('01013040', '_derivationally_related_form', '10703905')], '01013040')
([('00080705', '_derivationally_related_form', '00665079'), ('00665079', '¬_derivationally_related_form', '00080705'), ('00080705', '¬_derivationally_related_form', '10366966')], '10366966')
([('00475647', '¬_derivationally_related_form', '00252662'), ('00252662', '¬_derivationally_related_form', '00475819'), ('00475819', '_derivationally_related_form', '10325243')], '00252662')
([('02561888', '¬_derivationally_related_form', '09365863'), ('09365863', '_derivationally_related_form', '02561888'), ('02561888', '¬_also_see', '02412164')], '09365863')
([('00753093', '¬_derivationally_related_form', '10650162'), ('10650162', '¬_instance_hypernym', '10916105'), ('10916105', 'NO_OP', '10916105')], '10650162')
([('05021535', '¬_derivationally_related_form', '00303056'), ('00303056', '¬_derivationally_related_form', '00381567'), ('00381567', '¬_derivationally_related_form', '00302875')], '00303056')
([('07275078', '¬_derivationally_related_form', '02040709'), ('02040709', '_derivationally_related_form', '07275275'), ('07275275', '_hypernym', '07274425')], '02040709')
([('01089878', '¬_derivationally_related_form', '01012360'), ('01012360', '¬_hypernym', '01014066'), ('01014066', '¬_hypernym', '01015689')], '01012360')
([('10231087', '¬_derivationally_related_form', '02482425'), ('02482425', 'NO_OP', '02482425'), ('02482425', 'NO_OP', '02482425')], '02482425')
([('01415807', '¬_derivationally_related_form', '01160729'), ('01160729', '¬_hypernym', '01163316'), ('01163316', 'NO_OP', '01163316')], '01160729')
([('01123095', 'NO_OP', '01123095'), ('01123095', '¬_derivationally_related_form', '01856626'), ('01856626', '_derivationally_related_form', '01123095')], '01856626')
([('03054551', '_derivationally_related_form', '14545045'), ('14545045', 'NO_OP', '14545045'), ('14545045', '¬_has_part', '14399116')], '14399116')
([('02148788', '¬_derivationally_related_form', '00520257'), ('00520257', '¬_hypernym', '00521209'), ('00521209', '_derivationally_related_form', '02148788')], '00520257')
([('01498498', '¬_derivationally_related_form', '08523483'), ('08523483', 'NO_OP', '08523483'), ('08523483', '¬_hypernym', '08571139')], '08523483')
([('02444662', '¬_derivationally_related_form', '01139830'), ('01139830', '_derivationally_related_form', '02447793'), ('02447793', '¬_derivationally_related_form', '01139830')], '01139830')
([('00241038', '¬_derivationally_related_form', '00351638'), ('00351638', '_derivationally_related_form', '00241038'), ('00241038', '¬_hypernym', '00240131')], '00351638')
([('05110185', '¬_derivationally_related_form', '00158503'), ('00158503', 'NO_OP', '00158503'), ('00158503', '_derivationally_related_form', '05110185')], '00158503')
([('02420991', '¬_derivationally_related_form', '10745332'), ('10745332', '¬_derivationally_related_form', '01088547'), ('01088547', '_hypernym', '01088749')], '10745332')
([('02402409', 'NO_OP', '02402409'), ('02402409', 'NO_OP', '02402409'), ('02402409', '¬_derivationally_related_form', '00215683')], '00215683')
([('05520699', 'NO_OP', '05520699'), ('05520699', '¬_derivationally_related_form', '01830946'), ('01830946', '¬_derivationally_related_form', '01886756')], '01830946')
([('10011074', '¬_derivationally_related_form', '14204950'), ('14204950', '¬_hypernym', '14107374'), ('14107374', 'NO_OP', '14107374')], '14204950')
([('13556377', '¬_derivationally_related_form', '00204391'), ('00204391', '¬_derivationally_related_form', '13556377'), ('13556377', '_hypernym', '13457378')], '00204391')
([('00867983', '¬_derivationally_related_form', '00014034'), ('00014034', '_derivationally_related_form', '00867983'), ('00867983', 'NO_OP', '00867983')], '00014034')
([('04454240', 'NO_OP', '04454240'), ('04454240', '¬_derivationally_related_form', '02047148'), ('02047148', 'NO_OP', '02047148')], '02047148')
([('01540232', 'NO_OP', '01540232'), ('01540232', '¬_derivationally_related_form', '14598525'), ('14598525', '_hypernym', '14597158')], '14598525')
([('05176477', '¬_derivationally_related_form', '02255268'), ('02255268', '_derivationally_related_form', '05176477'), ('05176477', 'NO_OP', '05176477')], '02255268')
([('07883980', '¬_derivationally_related_form', '01172114'), ('01172114', '_derivationally_related_form', '07883980'), ('07883980', '¬_derivationally_related_form', '01172114')], '01172114')
([('01929254', '¬_derivationally_related_form', '13757249'), ('13757249', '_derivationally_related_form', '01928838'), ('01928838', '_derivationally_related_form', '13757249')], '13757249')
([('00737884', '¬_derivationally_related_form', '10409752'), ('10409752', 'NO_OP', '10409752'), ('10409752', '¬_derivationally_related_form', '00737884')], '10409752')
([('07947958', '¬_derivationally_related_form', '02421374'), ('02421374', '_derivationally_related_form', '10257221'), ('10257221', '_derivationally_related_form', '02421374')], '02421374')
([('07206302', '¬_derivationally_related_form', '00799076'), ('00799076', 'NO_OP', '00799076'), ('00799076', 'NO_OP', '00799076')], '00799076')
([('10689564', '¬_derivationally_related_form', '01666717'), ('01666717', 'NO_OP', '01666717'), ('01666717', '_hypernym', '01640550')], '01666717')
([('05711915', '¬_derivationally_related_form', '01502195'), ('01502195', 'NO_OP', '01502195'), ('01502195', '¬_derivationally_related_form', '05711915')], '01502195')
([('00126236', 'NO_OP', '00126236'), ('00126236', '¬_derivationally_related_form', '01561819'), ('01561819', 'NO_OP', '01561819')], '01561819')
([('15197042', 'NO_OP', '15197042'), ('15197042', '¬_derivationally_related_form', '03098491'), ('03098491', 'NO_OP', '03098491')], '03098491')
([('14490110', '¬_derivationally_related_form', '00885217'), ('00885217', '¬_derivationally_related_form', '06773150'), ('06773150', 'NO_OP', '06773150')], '00885217')
([('02608347', '_verb_group', '02608823'), ('02608823', '_derivationally_related_form', '00235435'), ('00235435', '¬_hypernym', '00237078')], '00235435')
([('02743112', 'NO_OP', '02743112'), ('02743112', '¬_derivationally_related_form', '15227846'), ('15227846', '¬_derivationally_related_form', '02743112')], '15227846')
([('02464725', '_derivationally_related_form', '01226941'), ('01226941', '¬_derivationally_related_form', '02464725'), ('02464725', '¬_derivationally_related_form', '07500414')], '07500414')
([('00029836', '¬_derivationally_related_form', '07121361'), ('07121361', '¬_derivationally_related_form', '00913795'), ('00913795', '¬_derivationally_related_form', '07121361')], '07121361')
([('00940437', '¬_derivationally_related_form', '04822032'), ('04822032', '_hypernym', '04820258'), ('04820258', '_derivationally_related_form', '00939857')], '04822032')
([('00795785', '¬_derivationally_related_form', '01719302'), ('01719302', 'NO_OP', '01719302'), ('01719302', '¬_derivationally_related_form', '06892016')], '01719302')
([('02209261', '¬_derivationally_related_form', '13248928'), ('13248928', '_derivationally_related_form', '02209261'), ('02209261', '_hypernym', '02208903')], '13248928')
([('09682291', '¬_derivationally_related_form', '02923510'), ('02923510', 'NO_OP', '02923510'), ('02923510', '_derivationally_related_form', '06234825')], '02923510')
([('07365849', 'NO_OP', '07365849'), ('07365849', '¬_derivationally_related_form', '01860795'), ('01860795', '¬_hypernym', '01862776')], '01860795')
([('05524615', '¬_derivationally_related_form', '02933304'), ('02933304', '_derivationally_related_form', '05524615'), ('05524615', '_has_part', '05525628')], '02933304')
([('00728393', 'NO_OP', '00728393'), ('00728393', 'NO_OP', '00728393'), ('00728393', '¬_derivationally_related_form', '00889082')], '00889082')
([('13971561', '_derivationally_related_form', '01765392'), ('01765392', '_derivationally_related_form', '00759551'), ('00759551', '¬_derivationally_related_form', '00764902')], '00764902')
([('00330160', '_derivationally_related_form', '02055649'), ('02055649', '_derivationally_related_form', '15282696'), ('15282696', '_derivationally_related_form', '00438178')], '00438178')
([('07222823', '¬_derivationally_related_form', '00953216'), ('00953216', '¬_derivationally_related_form', '07222823'), ('07222823', 'NO_OP', '07222823')], '00953216')
([('03933529', '¬_derivationally_related_form', '01305731'), ('01305731', '_derivationally_related_form', '10655169'), ('10655169', '¬_derivationally_related_form', '01612084')], '01305731')
([('03561657', '¬_derivationally_related_form', '02688794'), ('02688794', '¬_derivationally_related_form', '03561657'), ('03561657', '¬_derivationally_related_form', '02689146')], '02689146')
([('02613275', '¬_derivationally_related_form', '09847727'), ('09847727', '¬_hypernym', '09848110'), ('09848110', '_hypernym', '09847727')], '09847727')
([('00322847', '¬_hypernym', '00327145'), ('00327145', '_synset_domain_topic_of', '00243918'), ('00243918', '¬_synset_domain_topic_of', '00444975')], '00243918')
([('10261041', '¬_derivationally_related_form', '13961642'), ('13961642', '_derivationally_related_form', '02614181'), ('02614181', 'NO_OP', '02614181')], '13961642')
([('01636008', '¬_derivationally_related_form', '05936381'), ('05936381', '_derivationally_related_form', '01636008'), ('01636008', 'NO_OP', '01636008')], '05936381')
([('02482425', '_derivationally_related_form', '01250335'), ('01250335', 'NO_OP', '01250335'), ('01250335', '_hypernym', '00220522')], '00220522')
([('13505987', '¬_derivationally_related_form', '01186428'), ('01186428', '_derivationally_related_form', '10345100'), ('10345100', '¬_hypernym', '10287082')], '01186428')
([('00353782', 'NO_OP', '00353782'), ('00353782', 'NO_OP', '00353782'), ('00353782', '¬_derivationally_related_form', '00429060')], '00429060')
([('00507664', 'NO_OP', '00507664'), ('00507664', '¬_derivationally_related_form', '09284589'), ('09284589', '_derivationally_related_form', '10394786')], '09284589')
([('14001348', '¬_derivationally_related_form', '00725772'), ('00725772', 'NO_OP', '00725772'), ('00725772', '_derivationally_related_form', '14001348')], '00725772')
([('03968728', '¬_derivationally_related_form', '00465634'), ('00465634', '_derivationally_related_form', '03968728'), ('03968728', '¬_derivationally_related_form', '01487830')], '00465634')
([('00252020', '_derivationally_related_form', '01244178'), ('01244178', 'NO_OP', '01244178'), ('01244178', '_hypernym', '01393339')], '01393339')
([('01364184', '¬_derivationally_related_form', '07832902'), ('07832902', 'NO_OP', '07832902'), ('07832902', '_derivationally_related_form', '01364184')], '07832902')
([('00021065', '¬_derivationally_related_form', '03041491'), ('03041491', '¬_derivationally_related_form', '00021065'), ('00021065', '¬_derivationally_related_form', '02710766')], '03041491')
([('01826723', '¬_derivationally_related_form', '07511733'), ('07511733', 'NO_OP', '07511733'), ('07511733', '_derivationally_related_form', '01826723')], '07511733')
([('07487063', '¬_derivationally_related_form', '01805684'), ('01805684', 'NO_OP', '01805684'), ('01805684', '_derivationally_related_form', '07486628')], '01805684')
([('01144355', '¬_derivationally_related_form', '00678282'), ('00678282', '¬_derivationally_related_form', '01144355'), ('01144355', '¬_derivationally_related_form', '00678282')], '00678282')
([('13456567', '¬_derivationally_related_form', '00399074'), ('00399074', '_derivationally_related_form', '13456899'), ('13456899', '¬_derivationally_related_form', '00399368')], '00399074')
([('10080508', '¬_derivationally_related_form', '05966129'), ('05966129', '_derivationally_related_form', '10080508'), ('10080508', '¬_derivationally_related_form', '05971086')], '05966129')
([('05758059', '¬_derivationally_related_form', '02110220'), ('02110220', '¬_hypernym', '02128873'), ('02128873', '_derivationally_related_form', '10090498')], '02110220')
([('00230324', '¬_derivationally_related_form', '09757175'), ('09757175', '_derivationally_related_form', '00230324'), ('00230324', '¬_hypernym', '00230475')], '09757175')
([('00377686', '¬_derivationally_related_form', '00306723'), ('00306723', 'NO_OP', '00306723'), ('00306723', '_derivationally_related_form', '00377364')], '00306723')
([('08653706', '¬_derivationally_related_form', '01546768'), ('01546768', 'NO_OP', '01546768'), ('01546768', '_hypernym', '01494310')], '01546768')
([('02991122', '¬_derivationally_related_form', '02743547'), ('02743547', '¬_derivationally_related_form', '09812338'), ('09812338', '¬_hypernym', '10426749')], '09812338')
([('06372095', '_derivationally_related_form', '02996904'), ('02996904', '¬_derivationally_related_form', '06372095'), ('06372095', '¬_derivationally_related_form', '00624263')], '00624263')
([('02705201', 'NO_OP', '02705201'), ('02705201', '¬_derivationally_related_form', '02618468'), ('02618468', 'NO_OP', '02618468')], '02618468')
([('04895773', 'NO_OP', '04895773'), ('04895773', 'NO_OP', '04895773'), ('04895773', '¬_derivationally_related_form', '00687926')], '00687926')
([('09756400', '¬_derivationally_related_form', '11420376'), ('11420376', '_hypernym', '11418750'), ('11418750', '¬_hypernym', '11455901')], '11420376')
([('02698944', '¬_derivationally_related_form', '05217859'), ('05217859', '_derivationally_related_form', '02698944'), ('02698944', '¬_derivationally_related_form', '10418101')], '05217859')
([('02140781', '¬_derivationally_related_form', '00344040'), ('00344040', '_derivationally_related_form', '01345109'), ('01345109', '¬_derivationally_related_form', '04211356')], '00344040')
([('02398681', '¬_derivationally_related_form', '09840639'), ('09840639', 'NO_OP', '09840639'), ('09840639', 'NO_OP', '09840639')], '09840639')
([('02498716', '¬_derivationally_related_form', '13301328'), ('13301328', '¬_derivationally_related_form', '02498716'), ('02498716', 'NO_OP', '02498716')], '13301328')
([('02236842', '¬_derivationally_related_form', '04947186'), ('04947186', '_derivationally_related_form', '02236842'), ('02236842', 'NO_OP', '02236842')], '04947186')
([('01884577', 'NO_OP', '01884577'), ('01884577', '¬_derivationally_related_form', '04435870'), ('04435870', '¬_derivationally_related_form', '01884577')], '04435870')
([('01864865', '¬_derivationally_related_form', '00335988'), ('00335988', '¬_derivationally_related_form', '02243567'), ('02243567', '_derivationally_related_form', '00348008')], '00335988')
([('02243567', '¬_derivationally_related_form', '00348008'), ('00348008', '¬_derivationally_related_form', '01884974'), ('01884974', '_hypernym', '01831531')], '00348008')
([('01240514', '¬_hypernym', '01248597'), ('01248597', '¬_derivationally_related_form', '00150762'), ('00150762', '¬_derivationally_related_form', '01240514')], '00150762')
([('00310201', '¬_derivationally_related_form', '10596689'), ('10596689', '¬_derivationally_related_form', '01843055'), ('01843055', '_derivationally_related_form', '00311809')], '10596689')
([('01189604', 'NO_OP', '01189604'), ('01189604', '¬_derivationally_related_form', '01069980'), ('01069980', '¬_hypernym', '01070187')], '01069980')
([('02182851', '_hypernym', '02176268'), ('02176268', '¬_hypernym', '02182851'), ('02182851', '¬_derivationally_related_form', '00344699')], '00344699')
([('00253919', '¬_derivationally_related_form', '00062582'), ('00062582', 'NO_OP', '00062582'), ('00062582', '_derivationally_related_form', '00253919')], '00062582')
([('09772330', '¬_derivationally_related_form', '00413195'), ('00413195', '_derivationally_related_form', '09772330'), ('09772330', '_hypernym', '00007846')], '00413195')
([('02024143', '¬_derivationally_related_form', '05115804'), ('05115804', '_derivationally_related_form', '02026785'), ('02026785', '_synset_domain_topic_of', '06084469')], '05115804')
([('05790242', 'NO_OP', '05790242'), ('05790242', '¬_derivationally_related_form', '00676450'), ('00676450', '¬_derivationally_related_form', '10431625')], '00676450')
([('00889740', '¬_derivationally_related_form', '01061203'), ('01061203', '¬_derivationally_related_form', '00889740'), ('00889740', 'NO_OP', '00889740')], '01061203')
([('07567390', 'NO_OP', '07567390'), ('07567390', '¬_derivationally_related_form', '00237259'), ('00237259', '_derivationally_related_form', '07413899')], '00237259')
([('13536794', '¬_derivationally_related_form', '02838592'), ('02838592', '_derivationally_related_form', '13536794'), ('13536794', '¬_derivationally_related_form', '03925226')], '03925226')
([('02539359', '¬_derivationally_related_form', '00052374'), ('00052374', '_derivationally_related_form', '02539359'), ('02539359', '_derivationally_related_form', '00050652')], '00052374')
([('00414627', '¬_derivationally_related_form', '01252566'), ('01252566', '¬_derivationally_related_form', '00414627'), ('00414627', '_derivationally_related_form', '00168658')], '01252566')
([('00837675', '_hypernym', '00836788'), ('00836788', '¬_derivationally_related_form', '00005041'), ('00005041', '¬_hypernym', '01199009')], '01199009')
([('09918554', '¬_derivationally_related_form', '14427065'), ('14427065', '_derivationally_related_form', '09918554'), ('09918554', '_derivationally_related_form', '14427239')], '14427065')
([('06229853', '¬_derivationally_related_form', '02952975'), ('02952975', '_derivationally_related_form', '09889346'), ('09889346', '¬_derivationally_related_form', '02952975')], '02952975')
([('00300317', '¬_derivationally_related_form', '03003344'), ('03003344', '_derivationally_related_form', '08871007'), ('08871007', '_has_part', '08877208')], '03003344')
([('08399586', '¬_derivationally_related_form', '02727039'), ('02727039', '_derivationally_related_form', '08000304'), ('08000304', '¬_derivationally_related_form', '02727039')], '02727039')
([('05682570', '¬_derivationally_related_form', '00729378'), ('00729378', 'NO_OP', '00729378'), ('00729378', '¬_derivationally_related_form', '05682570')], '00729378')
([('03281145', '¬_derivationally_related_form', '01974062'), ('01974062', '¬_hypernym', '01975587'), ('01975587', '_hypernym', '01974062')], '01974062')
([('00929362', 'NO_OP', '00929362'), ('00929362', '¬_derivationally_related_form', '04679738'), ('04679738', '_hypernym', '04679549')], '04679738')
([('02853218', 'NO_OP', '02853218'), ('02853218', '¬_derivationally_related_form', '01126961'), ('01126961', '_derivationally_related_form', '02853218')], '01126961')
([('04795545', '¬_derivationally_related_form', '00485711'), ('00485711', '_derivationally_related_form', '04795545'), ('04795545', '¬_derivationally_related_form', '00485711')], '00485711')
([('00827782', '¬_derivationally_related_form', '02716767'), ('02716767', '¬_derivationally_related_form', '08264897'), ('08264897', '_derivationally_related_form', '02716767')], '02716767')
([('10577820', 'NO_OP', '10577820'), ('10577820', '¬_derivationally_related_form', '05976257'), ('05976257', '¬_derivationally_related_form', '10577820')], '05976257')
([('01776468', '¬_derivationally_related_form', '07497797'), ('07497797', 'NO_OP', '07497797'), ('07497797', '¬_derivationally_related_form', '01776468')], '07497797')
([('00624263', '¬_derivationally_related_form', '06366581'), ('06366581', 'NO_OP', '06366581'), ('06366581', '¬_derivationally_related_form', '00135285')], '06366581')
([('10685123', '_derivationally_related_form', '00653449'), ('00653449', '¬_derivationally_related_form', '10685123'), ('10685123', '¬_derivationally_related_form', '05779116')], '05779116')
([('03525074', '¬_derivationally_related_form', '01455184'), ('01455184', '¬_derivationally_related_form', '00116376'), ('00116376', '_derivationally_related_form', '01974062')], '01455184')
([('02627934', '¬_derivationally_related_form', '09367203'), ('09367203', '¬_derivationally_related_form', '01188725'), ('01188725', '¬_derivationally_related_form', '09367203')], '09367203')
([('02083237', '¬_derivationally_related_form', '14702703'), ('14702703', '¬_derivationally_related_form', '02083237'), ('02083237', '_hypernym', '02082690')], '14702703')
([('02384686', '¬_derivationally_related_form', '07186661'), ('07186661', '_derivationally_related_form', '02384686'), ('02384686', '_derivationally_related_form', '10150940')], '07186661')
([('13894434', '¬_derivationally_related_form', '00256369'), ('00256369', 'NO_OP', '00256369'), ('00256369', '_derivationally_related_form', '13894434')], '00256369')
([('10212780', '¬_derivationally_related_form', '01686132'), ('01686132', '¬_hypernym', '01688256'), ('01688256', '_derivationally_related_form', '03876519')], '01686132')
([('03231912', 'NO_OP', '03231912'), ('03231912', '¬_derivationally_related_form', '02071457'), ('02071457', 'NO_OP', '02071457')], '02071457')
([('00847478', '¬_derivationally_related_form', '14440137'), ('14440137', '_hypernym', '14439447'), ('14439447', '¬_hypernym', '14440137')], '14440137')
([('10521662', '¬_derivationally_related_form', '00967098'), ('00967098', '_derivationally_related_form', '07217924'), ('07217924', '¬_hypernym', '06467445')], '00967098')
([('06763681', '¬_derivationally_related_form', '01059123'), ('01059123', '¬_derivationally_related_form', '06763681'), ('06763681', '_derivationally_related_form', '01705257')], '01059123')
([('00530017', 'NO_OP', '00530017'), ('00530017', '¬_derivationally_related_form', '07436661'), ('07436661', '¬_derivationally_related_form', '00529759')], '07436661')
([('00660971', '¬_derivationally_related_form', '05736149'), ('05736149', '_derivationally_related_form', '00660971'), ('00660971', '¬_derivationally_related_form', '05736149')], '05736149')
([('07433973', '¬_derivationally_related_form', '00477665'), ('00477665', 'NO_OP', '00477665'), ('00477665', 'NO_OP', '00477665')], '00477665')
([('01117164', '¬_derivationally_related_form', '02545272'), ('02545272', '¬_derivationally_related_form', '00796315'), ('00796315', '_derivationally_related_form', '10072708')], '02545272')
([('00828779', 'NO_OP', '00828779'), ('00828779', '¬_derivationally_related_form', '04997472'), ('04997472', 'NO_OP', '04997472')], '04997472')
([('02567519', '¬_derivationally_related_form', '10507230'), ('10507230', '_hypernym', '09977660'), ('09977660', '¬_instance_hypernym', '11079544')], '10507230')
([('00467717', '¬_derivationally_related_form', '05924920'), ('05924920', '_derivationally_related_form', '00467717'), ('00467717', '¬_derivationally_related_form', '01158690')], '01158690')
([('00197744', '¬_derivationally_related_form', '01904182'), ('01904182', '¬_derivationally_related_form', '00197744'), ('00197744', '_derivationally_related_form', '11683556')], '01904182')
([('00574514', '¬_derivationally_related_form', '13461525'), ('13461525', 'NO_OP', '13461525'), ('13461525', 'NO_OP', '13461525')], '13461525')
([('00191142', '¬_derivationally_related_form', '00123170'), ('00123170', '_derivationally_related_form', '07296428'), ('07296428', '¬_hypernym', '07337390')], '00123170')
([('01172275', '¬_derivationally_related_form', '10034201'), ('10034201', '¬_hypernym', '10712690'), ('10712690', 'NO_OP', '10712690')], '10034201')
([('05723563', '¬_derivationally_related_form', '02119874'), ('02119874', '_derivationally_related_form', '05723563'), ('05723563', '¬_derivationally_related_form', '02121188')], '02119874')
([('00339463', '¬_derivationally_related_form', '00659112'), ('00659112', 'NO_OP', '00659112'), ('00659112', 'NO_OP', '00659112')], '00659112')
([('00326773', 'NO_OP', '00326773'), ('00326773', '¬_derivationally_related_form', '03459914'), ('03459914', '_derivationally_related_form', '00326773')], '03459914')
([('07453638', '¬_derivationally_related_form', '02390949'), ('02390949', '¬_derivationally_related_form', '07453638'), ('07453638', '¬_derivationally_related_form', '02391193')], '02390949')
([('00138956', '¬_derivationally_related_form', '02304648'), ('02304648', 'NO_OP', '02304648'), ('02304648', '_hypernym', '02205272')], '02304648')
([('03390983', '¬_derivationally_related_form', '01586850'), ('01586850', '¬_derivationally_related_form', '02875013'), ('02875013', '¬_derivationally_related_form', '01586850')], '01586850')
([('00297404', '¬_derivationally_related_form', '01881180'), ('01881180', '¬_hypernym', '01882081'), ('01882081', '_hypernym', '01881180')], '01881180')
([('01895757', '¬_derivationally_related_form', '04391276'), ('04391276', '_hypernym', '03959936'), ('03959936', '_hypernym', '04188643')], '04391276')
([('14521648', 'NO_OP', '14521648'), ('14521648', '¬_derivationally_related_form', '02157731'), ('02157731', '¬_derivationally_related_form', '14521648')], '02157731')
([('01017826', 'NO_OP', '01017826'), ('01017826', '¬_derivationally_related_form', '10001647'), ('10001647', '¬_derivationally_related_form', '00754942')], '10001647')
([('01298931', '¬_derivationally_related_form', '09873604'), ('09873604', '_derivationally_related_form', '01298931'), ('01298931', '¬_derivationally_related_form', '09873604')], '09873604')
([('01032127', '¬_derivationally_related_form', '06264812'), ('06264812', '_derivationally_related_form', '01032127'), ('01032127', '¬_derivationally_related_form', '06264812')], '06264812')
([('02551832', '¬_derivationally_related_form', '10553805'), ('10553805', '¬_derivationally_related_form', '02551144'), ('02551144', '_derivationally_related_form', '10553805')], '10553805')
([('02091410', '¬_derivationally_related_form', '00285889'), ('00285889', '¬_has_part', '00283568'), ('00283568', '_hypernym', '00283127')], '00285889')
([('01857392', '¬_derivationally_related_form', '01053617'), ('01053617', '_derivationally_related_form', '02637202'), ('02637202', '¬_member_of_domain_usage', '07073447')], '01053617')
([('01673472', '¬_derivationally_related_form', '13875571'), ('13875571', '¬_hypernym', '02827883'), ('02827883', '¬_hypernym', '03100897')], '13875571')
([('05556943', '¬_derivationally_related_form', '02733187'), ('02733187', 'NO_OP', '02733187'), ('02733187', '_derivationally_related_form', '05556943')], '02733187')
