FB15K-237, film_genre_FB_PPO_distance_22
([('/m/04jwjq', '/award/award_winning_work/awards_won./award/award_honor/award_winner', '/m/099ks0'), ('/m/099ks0', '/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film', '/m/01p3ty'), ('/m/01p3ty', '/film/film/genre', '/m/03q4nz')], '/m/03q4nz')
([('/m/0gy0l_', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0dmn0x'), ('/m/0dmn0x', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09vw2b7')], '/m/07s9rl0')
([('/m/08zrbl', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02rdxsh'), ('/m/02rdxsh', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0symg'), ('/m/0symg', '/film/film/genre', '/m/04xvlr')], '/m/04xvlr')
([('/m/0g4vmj8', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/099ck7'), ('/m/099ck7', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/020fcn'), ('/m/020fcn', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/034hzj', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02qyntr'), ('/m/02qyntr', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0j43swk'), ('/m/0j43swk', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/03shpq', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0cd2vh9'), ('/m/0cd2vh9', '/film/film/distributors./film/film_film_distributor_relationship/region', '/m/07ssc')], '/m/01jfsb')
([('/m/04y5j64', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/02z9hqn'), ('/m/02z9hqn', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02x0gk1')], '/m/07s9rl0')
([('/m/090s_0', '¬/media_common/netflix_genre/titles', '/m/01hmnh'), ('/m/01hmnh', '¬/film/film/genre', '/m/042g97'), ('/m/042g97', '¬/media_common/netflix_genre/titles', '/m/03k9fj')], '/m/03k9fj')
([('/m/02ptczs', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0gqyl'), ('/m/0gqyl', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/01q7h2'), ('/m/01q7h2', '/film/film/genre', '/m/02n4kr')], '/m/02n4kr')
([('/m/09tkzy', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02pqp12'), ('/m/02pqp12', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0p_th'), ('/m/0p_th', '¬/media_common/netflix_genre/titles', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/09dv8h', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '/media_common/netflix_genre/titles', '/m/01sxdy'), ('/m/01sxdy', '/film/film/genre', '/m/03npn')], '/m/04t36')
([('/m/0llcx', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0413cff'), ('/m/0413cff', '/film/film/genre', '/m/01jfsb')], '/m/01jfsb')
([('/m/0pv54', '¬/media_common/netflix_genre/titles', '/m/03mqtr'), ('/m/03mqtr', '/media_common/netflix_genre/titles', '/m/0n1s0'), ('/m/0n1s0', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/04dn09n')], '/m/03mqtr')
([('/m/01jmyj', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0ch6mp2'), ('/m/0ch6mp2', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/04s1zr'), ('/m/04s1zr', '/film/film/genre', '/m/0c3351')], '/m/0c3351')
([('/m/02r_pp', '/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/05css_'), ('/m/05css_', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/0900j5')], '/m/01jfsb')
([('/m/047qxs', '¬/film/film_subject/films', '/m/07s2s'), ('/m/07s2s', '¬/film/film/genre', '/m/09zf_q'), ('/m/09zf_q', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02ynfr')], '/m/07s2s')
([('/m/0by17xn', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/078mm1'), ('/m/078mm1', '/film/film/genre', '/m/02kdv5l')], '/m/01jfsb')
([('/m/05k2xy', '¬/media_common/netflix_genre/titles', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/02xs6_'), ('/m/02xs6_', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/01vw8k', 'NO_OP', '/m/01vw8k'), ('/m/01vw8k', '¬/media_common/netflix_genre/titles', '/m/03k9fj'), ('/m/03k9fj', '¬/film/film/genre', '/m/02k1pr')], '/m/03k9fj')
([('/m/03hfmm', '¬/media_common/netflix_genre/titles', '/m/04t36'), ('/m/04t36', '/media_common/netflix_genre/titles', '/m/0b1y_2'), ('/m/0b1y_2', '¬/film/actor/film./film/performance/film', '/m/02ktrs')], '/m/04t36')
([('/m/04svwx', '/film/film/personal_appearances./film/personal_film_appearance/person', '/m/02h8hr'), ('/m/02h8hr', '¬/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/045nc5'), ('/m/045nc5', '/tv/tv_program/genre', '/m/0jxy')], '/m/0jxy')
([('/m/07w8fz', '¬/media_common/netflix_genre/titles', '/m/017fp'), ('/m/017fp', '¬/film/film/genre', '/m/05dy7p'), ('/m/05dy7p', '¬/film/director/film', '/m/04sry')], '/m/017fp')
([('/m/025twgt', '¬/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for', '/m/02sg5v'), ('/m/02sg5v', '/film/film/genre', '/m/01jfsb'), ('/m/01jfsb', '¬/film/film/genre', '/m/02vw1w2')], '/m/01jfsb')
([('/m/0kvgnq', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0m313'), ('/m/0m313', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf')], '/m/07s9rl0')
([('/m/07ng9k', '/tv/tv_program/genre', '/m/06n90'), ('/m/06n90', '¬/film/film/genre', '/m/09fc83'), ('/m/09fc83', '/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type', '/m/0ckd1')], '/m/06n90')
([('/m/070g7', '/film/film/country', '/m/09c7w0'), ('/m/09c7w0', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/027s39y'), ('/m/027s39y', '/film/film/genre', '/m/06n90')], '/m/06n90')
([('/m/0bmch_x', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/05_5rjx'), ('/m/05_5rjx', '¬/film/actor/film./film/performance/film', '/m/01gkmx')], '/m/02n4kr')
([('/m/01jrbb', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/09tqxt'), ('/m/09tqxt', '/award/award_category/nominees./award/award_nomination/nominated_for', '/m/0dr3sl'), ('/m/0dr3sl', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/02yxbc', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0cw3yd'), ('/m/0cw3yd', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02z1nbg')], '/m/07s9rl0')
([('/m/072r5v', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/02r96rf'), ('/m/02r96rf', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/05nlx4'), ('/m/05nlx4', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/02q0v8n', '¬/media_common/netflix_genre/titles', '/m/0c3351'), ('/m/0c3351', '¬/film/film/genre', '/m/02qmsr'), ('/m/02qmsr', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_')], '/m/0c3351')
([('/m/0gc_c_', '/film/film/genre', '/m/05p553'), ('/m/05p553', '¬/film/film/genre', '/m/04tc1g'), ('/m/04tc1g', '/film/film/genre', '/m/03k9fj')], '/m/03k9fj')
([('/m/0c34mt', '¬/media_common/netflix_genre/titles', '/m/02n4kr'), ('/m/02n4kr', '¬/film/film/genre', '/m/01j5ql'), ('/m/01j5ql', '/film/film/production_companies', '/m/05nn2c')], '/m/02n4kr')
([('/m/04smdd', '/film/film/genre', '/m/0vgkd'), ('/m/0vgkd', '¬/film/film/genre', '/m/09qycb'), ('/m/09qycb', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/016yxn', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/film/film/genre', '/m/0435vm'), ('/m/0435vm', '¬/film/actor/film./film/performance/film', '/m/01wbg84')], '/m/07s9rl0')
([('/m/07_fj54', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/09zzb8'), ('/m/09zzb8', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/093l8p'), ('/m/093l8p', '/film/film/genre', '/m/05p553')], '/m/05p553')
([('/m/03nfnx', '¬/film/film/prequel', '/m/02qydsh'), ('/m/02qydsh', '/film/film/genre', '/m/05p553'), ('/m/05p553', '¬/film/film/genre', '/m/03nx8mj')], '/m/05p553')
([('/m/0kvb6p', '¬/media_common/netflix_genre/titles', '/m/06l3bl'), ('/m/06l3bl', '¬/film/film/genre', '/m/0dkv90'), ('/m/0dkv90', '¬/award/award_nominee/award_nominations./award/award_nomination/nominated_for', '/m/03_2y')], '/m/06l3bl')
([('/m/09rfh9', '¬/media_common/netflix_genre/titles', '/m/09blyk'), ('/m/09blyk', '/media_common/netflix_genre/titles', '/m/02c6d'), ('/m/02c6d', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0b90_r')], '/m/09blyk')
([('/m/0m63c', '/award/award_winning_work/awards_won./award/award_honor/award', '/m/0l8z1'), ('/m/0l8z1', '¬/award/award_winning_work/awards_won./award/award_honor/award', '/m/02zk08'), ('/m/02zk08', '/film/film/genre', '/m/04t36')], '/m/04t36')
([('/m/0czyxs', '/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/01vx2h'), ('/m/01vx2h', '¬/film/film/other_crew./film/film_crew_gig/film_crew_role', '/m/0642xf3'), ('/m/0642xf3', '/film/film/genre', '/m/02kdv5l')], '/m/02kdv5l')
([('/m/0gyy53', '¬/media_common/netflix_genre/titles', '/m/07s9rl0'), ('/m/07s9rl0', '¬/tv/tv_program/genre', '/m/027pfb2'), ('/m/027pfb2', '/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor', '/m/03c5f7l')], '/m/07s9rl0')
([('/m/0gt14', '/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/029j_'), ('/m/029j_', '¬/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium', '/m/0296rz'), ('/m/0296rz', '/film/film/genre', '/m/07s9rl0')], '/m/07s9rl0')
([('/m/034qmv', '¬/media_common/netflix_genre/titles', '/m/04t2t'), ('/m/04t2t', '¬/film/film/genre', '/m/061681'), ('/m/061681', '¬/award/award_category/nominees./award/award_nomination/nominated_for', '/m/02qyntr')], '/m/04t2t')
([('/m/07nnp_', 'NO_OP', '/m/07nnp_'), ('/m/07nnp_', '¬/media_common/netflix_genre/titles', '/m/0glj9q'), ('/m/0glj9q', '¬/film/film/genre', '/m/06kl78')], '/m/0glj9q')
([('/m/0ggbhy7', '¬/media_common/netflix_genre/titles', '/m/02qfv5d'), ('/m/02qfv5d', '/media_common/netflix_genre/titles', '/m/09p0ct'), ('/m/09p0ct', '/film/film/genre', '/m/01jfsb')], '/m/02qfv5d')
([('/m/0dtzkt', '¬/media_common/netflix_genre/titles', '/m/0jtdp'), ('/m/0jtdp', '¬/film/film/genre', '/m/01q7h2'), ('/m/01q7h2', '/film/film/written_by', '/m/0gs5q')], '/m/0jtdp')
