WN18RR, _similar_to_WN18_generic_PPO_simple_embedding_100
([('01017738', '¬_similar_to', '01020117'), ('01020117', 'NO_OP', '01020117'), ('01020117', 'NO_OP', '01020117')], '01020117')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', '_similar_to', '00535844')], '00535452')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', '¬_similar_to', '02513740')], '02515214')
([('01835276', '¬_similar_to', '01834304'), ('01834304', '_also_see', '00013160'), ('00013160', 'NO_OP', '00013160')], '01834304')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619')], '02166346')
([('01017738', '¬_similar_to', '01020117'), ('01020117', '_hypernym', '01018630'), ('01018630', '¬_hypernym', '01020117')], '01020117')
([('00394562', '¬_similar_to', '00400101'), ('00400101', 'NO_OP', '00400101'), ('00400101', 'NO_OP', '00400101')], '00400101')
([('01835276', '¬_similar_to', '01834304'), ('01834304', 'NO_OP', '01834304'), ('01834304', 'NO_OP', '01834304')], '01834304')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00167278', 'NO_OP', '00167278'), ('00167278', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00166146')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', '¬_similar_to', '01161635')], '01160031')
([('00065184', 'NO_OP', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('02504131', 'NO_OP', '02504131'), ('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '_derivationally_related_form', '13428159'), ('13428159', '¬_derivationally_related_form', '02112891')], '02112891')
([('02111684', 'NO_OP', '02111684'), ('02111684', 'NO_OP', '02111684'), ('02111684', '¬_similar_to', '02112891')], '02112891')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278'), ('00167278', 'NO_OP', '00167278')], '00167278')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00167278', '¬_similar_to', '00166146'), ('00166146', '_derivationally_related_form', '04686003'), ('04686003', '_derivationally_related_form', '00166146')], '00166146')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('01894758', '¬_similar_to', '01895630'), ('01895630', 'NO_OP', '01895630'), ('01895630', 'NO_OP', '01895630')], '01895630')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('01749320', 'NO_OP', '01749320'), ('01749320', 'NO_OP', '01749320'), ('01749320', '¬_similar_to', '01751353')], '01751353')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('01548694', 'NO_OP', '01548694'), ('01548694', '¬_similar_to', '01548193'), ('01548193', '¬_also_see', '02513269')], '01548193')
([('00064479', '¬_similar_to', '00065184'), ('00065184', '¬_similar_to', '00064479'), ('00064479', '¬_similar_to', '00065184')], '00065184')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266')], '01947266')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('02505141', 'NO_OP', '02505141'), ('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('02392878', '¬_similar_to', '02393086'), ('02393086', 'NO_OP', '02393086'), ('02393086', 'NO_OP', '02393086')], '02393086')
([('01548694', '¬_similar_to', '01548193'), ('01548193', '¬_also_see', '00360650'), ('00360650', 'NO_OP', '00360650')], '01548193')
([('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00732960', '¬_similar_to', '00733632'), ('00733632', '¬_similar_to', '00732960'), ('00732960', '¬_similar_to', '00733632')], '00733632')
([('01017738', 'NO_OP', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01020117')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', 'NO_OP', '02559862')], '02559862')
([('02111684', '¬_similar_to', '02112891'), ('02112891', '¬_derivationally_related_form', '13428159'), ('13428159', 'NO_OP', '13428159')], '02112891')
([('02168699', '¬_similar_to', '02166346'), ('02166346', 'NO_OP', '02166346'), ('02166346', '¬_also_see', '02244619')], '02166346')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('01548193', 'NO_OP', '01548193'), ('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('02515341', '¬_similar_to', '02517169'), ('02517169', 'NO_OP', '02517169'), ('02517169', '_member_meronym', '02517442')], '02517169')
([('00727564', '¬_similar_to', '00728826'), ('00728826', 'NO_OP', '00728826'), ('00728826', 'NO_OP', '00728826')], '00728826')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', 'NO_OP', '02166346')], '02166346')
([('02393086', '¬_similar_to', '02392878'), ('02392878', 'NO_OP', '02392878'), ('02392878', 'NO_OP', '02392878')], '02392878')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00535452', 'NO_OP', '00535452'), ('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452')], '00535844')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('02559180', '¬_similar_to', '02559862'), ('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180')], '02559862')
([('02168699', '¬_similar_to', '02166346'), ('02166346', '¬_also_see', '02244619'), ('02244619', '_also_see', '02166346')], '02166346')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146')], '00166146')
([('00779374', '¬_similar_to', '00780575'), ('00780575', 'NO_OP', '00780575'), ('00780575', 'NO_OP', '00780575')], '00780575')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('00536304', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00535844', 'NO_OP', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('00709625', 'NO_OP', '00709625'), ('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('00131018', '¬_similar_to', '00130778'), ('00130778', '¬_similar_to', '00131018'), ('00131018', '¬_similar_to', '00130778')], '00130778')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', '_also_see', '02244619')], '02166346')
([('00780575', '¬_similar_to', '00779374'), ('00779374', 'NO_OP', '00779374'), ('00779374', '_also_see', '00428404')], '00779374')
([('02168699', 'NO_OP', '02168699'), ('02168699', '¬_similar_to', '02166346'), ('02166346', '¬_also_see', '02244619')], '02166346')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('00166146', '¬_similar_to', '00168910'), ('00168910', '¬_similar_to', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00167278')
([('01115349', 'NO_OP', '01115349'), ('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02166346', 'NO_OP', '02166346'), ('02166346', '¬_similar_to', '02168699'), ('02168699', 'NO_OP', '02168699')], '02168699')
([('02513740', '¬_similar_to', '02515214'), ('02515214', 'NO_OP', '02515214'), ('02515214', 'NO_OP', '02515214')], '02515214')
([('00445169', '¬_similar_to', '00444519'), ('00444519', 'NO_OP', '00444519'), ('00444519', 'NO_OP', '00444519')], '00444519')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('00535452', '¬_similar_to', '00535844'), ('00535844', '¬_similar_to', '00535452'), ('00535452', '¬_similar_to', '00535844')], '00535844')
([('00131018', '¬_similar_to', '00130778'), ('00130778', 'NO_OP', '00130778'), ('00130778', 'NO_OP', '00130778')], '00130778')
([('02168699', '¬_similar_to', '02166346'), ('02166346', 'NO_OP', '02166346'), ('02166346', '_also_see', '02244619')], '02166346')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', 'NO_OP', '02515341')], '02515341')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00166146', 'NO_OP', '00166146'), ('00166146', 'NO_OP', '00166146'), ('00166146', '¬_similar_to', '00167278')], '00167278')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('00728826', '¬_similar_to', '00727564'), ('00727564', 'NO_OP', '00727564'), ('00727564', '¬_also_see', '01061489')], '00727564')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('01811172', '¬_similar_to', '01809655'), ('01809655', 'NO_OP', '01809655'), ('01809655', 'NO_OP', '01809655')], '01809655')
([('01749320', '¬_similar_to', '01751353'), ('01751353', 'NO_OP', '01751353'), ('01751353', 'NO_OP', '01751353')], '01751353')
([('00733632', '¬_similar_to', '00732960'), ('00732960', 'NO_OP', '00732960'), ('00732960', 'NO_OP', '00732960')], '00732960')
([('01548694', '¬_similar_to', '01548193'), ('01548193', 'NO_OP', '01548193'), ('01548193', 'NO_OP', '01548193')], '01548193')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('00536655', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01947266', '¬_similar_to', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573')], '01948573')
([('01160031', '¬_similar_to', '01161635'), ('01161635', 'NO_OP', '01161635'), ('01161635', 'NO_OP', '01161635')], '01161635')
([('02344381', '¬_similar_to', '02341266'), ('02341266', 'NO_OP', '02341266'), ('02341266', 'NO_OP', '02341266')], '02341266')
([('01161635', '¬_similar_to', '01160031'), ('01160031', '¬_similar_to', '01161635'), ('01161635', '¬_similar_to', '01160031')], '01160031')
([('00727564', 'NO_OP', '00727564'), ('00727564', '¬_similar_to', '00728826'), ('00728826', '_hypernym', '00636574')], '00728826')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', 'NO_OP', '00708017')], '00708017')
([('02515341', '¬_similar_to', '02517169'), ('02517169', '¬_similar_to', '02515341'), ('02515341', '¬_similar_to', '02517169')], '02517169')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_similar_to', '01834304'), ('01834304', '¬_similar_to', '01835276')], '01835276')
([('00168910', '¬_similar_to', '00166146'), ('00166146', '_similar_to', '00167278'), ('00167278', '¬_similar_to', '00166146')], '00166146')
([('01751353', '¬_similar_to', '01749320'), ('01749320', '¬_also_see', '00289365'), ('00289365', 'NO_OP', '00289365')], '01749320')
([('02504131', '¬_similar_to', '02505141'), ('02505141', 'NO_OP', '02505141'), ('02505141', 'NO_OP', '02505141')], '02505141')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('01834304', 'NO_OP', '01834304'), ('01834304', '¬_similar_to', '01835276'), ('01835276', '¬_hypernym', '01836087')], '01835276')
([('00709625', '¬_similar_to', '00708017'), ('00708017', 'NO_OP', '00708017'), ('00708017', '¬_similar_to', '00709625')], '00708017')
([('02505141', '¬_similar_to', '02504131'), ('02504131', 'NO_OP', '02504131'), ('02504131', 'NO_OP', '02504131')], '02504131')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('01948573', 'NO_OP', '01948573'), ('01948573', 'NO_OP', '01948573'), ('01948573', '¬_similar_to', '01947266')], '01947266')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_similar_to', '00444519'), ('00444519', '¬_similar_to', '00445169')], '00445169')
([('01020117', '¬_similar_to', '01017738'), ('01017738', '¬_similar_to', '01020117'), ('01020117', '¬_similar_to', '01017738')], '01017738')
([('01895630', 'NO_OP', '01895630'), ('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630')], '01894758')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', '_derivationally_related_form', '14563564')], '02513740')
([('02517169', '¬_similar_to', '02515341'), ('02515341', 'NO_OP', '02515341'), ('02515341', '_similar_to', '02517169')], '02515341')
([('01895630', '¬_similar_to', '01894758'), ('01894758', '¬_similar_to', '01895630'), ('01895630', '¬_similar_to', '01894758')], '01894758')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('00394562', 'NO_OP', '00394562'), ('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562')], '00400101')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
([('01252566', '¬_similar_to', '01251128'), ('01251128', 'NO_OP', '01251128'), ('01251128', 'NO_OP', '01251128')], '01251128')
([('00003553', '¬_similar_to', '00003356'), ('00003356', 'NO_OP', '00003356'), ('00003356', 'NO_OP', '00003356')], '00003356')
([('00386392', 'NO_OP', '00386392'), ('00386392', '¬_similar_to', '00392093'), ('00392093', 'NO_OP', '00392093')], '00392093')
([('01161635', '¬_similar_to', '01160031'), ('01160031', 'NO_OP', '01160031'), ('01160031', 'NO_OP', '01160031')], '01160031')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('02112891', 'NO_OP', '02112891'), ('02112891', '¬_similar_to', '02111684'), ('02111684', 'NO_OP', '02111684')], '02111684')
([('02341266', '¬_similar_to', '02344381'), ('02344381', 'NO_OP', '02344381'), ('02344381', 'NO_OP', '02344381')], '02344381')
([('02515214', '¬_similar_to', '02513740'), ('02513740', 'NO_OP', '02513740'), ('02513740', 'NO_OP', '02513740')], '02513740')
([('02559862', 'NO_OP', '02559862'), ('02559862', '¬_similar_to', '02559180'), ('02559180', 'NO_OP', '02559180')], '02559180')
([('00394562', '¬_similar_to', '00400101'), ('00400101', '¬_similar_to', '00394562'), ('00394562', '¬_similar_to', '00400101')], '00400101')
([('00320536', 'NO_OP', '00320536'), ('00320536', '¬_similar_to', '00319534'), ('00319534', 'NO_OP', '00319534')], '00319534')
([('00444519', '¬_similar_to', '00445169'), ('00445169', '¬_hypernym', '00445711'), ('00445711', '_hypernym', '00445169')], '00445169')
([('00963283', '¬_similar_to', '00962634'), ('00962634', 'NO_OP', '00962634'), ('00962634', 'NO_OP', '00962634')], '00962634')
([('00535844', '¬_similar_to', '00535452'), ('00535452', 'NO_OP', '00535452'), ('00535452', 'NO_OP', '00535452')], '00535452')
([('01548193', '¬_similar_to', '01548694'), ('01548694', 'NO_OP', '01548694'), ('01548694', 'NO_OP', '01548694')], '01548694')
([('00003356', '¬_similar_to', '00003553'), ('00003553', '¬_similar_to', '00003356'), ('00003356', '¬_similar_to', '00003553')], '00003553')
([('00065184', '¬_similar_to', '00064479'), ('00064479', 'NO_OP', '00064479'), ('00064479', 'NO_OP', '00064479')], '00064479')
([('00095873', '¬_similar_to', '00095280'), ('00095280', 'NO_OP', '00095280'), ('00095280', 'NO_OP', '00095280')], '00095280')
([('01115349', 'NO_OP', '01115349'), ('01115349', '¬_similar_to', '01116026'), ('01116026', 'NO_OP', '01116026')], '01116026')
([('00319534', '¬_similar_to', '00320536'), ('00320536', 'NO_OP', '00320536'), ('00320536', 'NO_OP', '00320536')], '00320536')
