WN18RR, _also_see_WN18_generic_PPO_simple_embedding_100
([('01116380', '¬_also_see', '02461723'), ('02461723', '¬_derivationally_related_form', '06756407'), ('06756407', '¬_derivationally_related_form', '00835903')], '02461723')
([('01782519', '_derivationally_related_form', '04828255'), ('04828255', '¬_derivationally_related_form', '01782519'), ('01782519', '¬_also_see', '02513740')], '02513740')
([('02274253', '¬_also_see', '02559180'), ('02559180', '¬_derivationally_related_form', '04790449'), ('04790449', 'NO_OP', '04790449')], '02559180')
([('01947266', '¬_also_see', '00849357'), ('00849357', '¬_also_see', '02392878'), ('02392878', '_also_see', '00849357')], '00849357')
([('00996448', '¬_also_see', '00647542'), ('00647542', '¬_also_see', '02079029'), ('02079029', '¬_also_see', '00647542')], '00647542')
([('02164402', '_also_see', '01497736'), ('01497736', 'NO_OP', '01497736'), ('01497736', '_also_see', '01279978')], '01279978')
([('01740892', '¬_also_see', '01922763'), ('01922763', '_also_see', '01740892'), ('01740892', '_also_see', '01246579')], '01922763')
([('00101800', '¬_also_see', '02098325'), ('02098325', '_also_see', '01112573'), ('01112573', '_derivationally_related_form', '04833458')], '02098325')
([('00744916', '¬_also_see', '01155354'), ('01155354', '_also_see', '00744916'), ('00744916', '¬_derivationally_related_form', '04709253')], '01155354')
([('00506299', '¬_also_see', '01507134'), ('01507134', '¬_also_see', '00506299'), ('00506299', '¬_also_see', '01507134')], '01507134')
([('01716491', 'NO_OP', '01716491'), ('01716491', '¬_also_see', '02399399'), ('02399399', '_also_see', '01716491')], '02399399')
([('00896555', '¬_also_see', '00103696'), ('00103696', 'NO_OP', '00103696'), ('00103696', '¬_also_see', '00896555')], '00103696')
([('02762981', '¬_derivationally_related_form', '13481883'), ('13481883', '¬_derivationally_related_form', '02762806'), ('02762806', 'NO_OP', '02762806')], '02762806')
([('00839619', '¬_also_see', '00510050'), ('00510050', '_also_see', '00839619'), ('00839619', '¬_also_see', '00834198')], '00510050')
([('00570590', '¬_also_see', '00186616'), ('00186616', 'NO_OP', '00186616'), ('00186616', '_also_see', '00570590')], '00186616')
([('01672607', '¬_also_see', '00485711'), ('00485711', '¬_derivationally_related_form', '04764741'), ('04764741', '_derivationally_related_form', '00492677')], '00485711')
([('02164402', '_derivationally_related_form', '14436438'), ('14436438', '¬_derivationally_related_form', '02164402'), ('02164402', '¬_also_see', '01279978')], '01279978')
([('02062670', 'NO_OP', '02062670'), ('02062670', '¬_also_see', '02507968'), ('02507968', '_derivationally_related_form', '04740173')], '02507968')
([('01628302', '_derivationally_related_form', '01789270'), ('01789270', '¬_derivationally_related_form', '01628302'), ('01628302', '¬_also_see', '01160031')], '01160031')
([('01675190', 'NO_OP', '01675190'), ('01675190', '¬_also_see', '00487653'), ('00487653', 'NO_OP', '00487653')], '00487653')
([('00103696', 'NO_OP', '00103696'), ('00103696', '¬_also_see', '00428404'), ('00428404', '¬_also_see', '00779374')], '00428404')
([('00571643', '_also_see', '02102796'), ('02102796', '_also_see', '00191603'), ('00191603', '_also_see', '02102796')], '00191603')
([('00849357', '¬_also_see', '02270342'), ('02270342', 'NO_OP', '02270342'), ('02270342', 'NO_OP', '02270342')], '02270342')
([('00013160', '¬_also_see', '01932973'), ('01932973', '¬_derivationally_related_form', '13954253'), ('13954253', '¬_hypernym', '13961642')], '01932973')
([('00510050', '¬_also_see', '02225510'), ('02225510', '_also_see', '00510050'), ('00510050', '¬_also_see', '00839619')], '02225510')
([('00644372', 'NO_OP', '00644372'), ('00644372', '¬_also_see', '01866535'), ('01866535', '¬_also_see', '01002377')], '01866535')
([('02393401', '¬_also_see', '01849288'), ('01849288', '¬_also_see', '02393401'), ('02393401', '¬_also_see', '01849288')], '01849288')
([('01612053', '¬_also_see', '01474513'), ('01474513', '¬_also_see', '02451113'), ('02451113', '_also_see', '02388145')], '02451113')
([('01366718', '¬_also_see', '01148283'), ('01148283', '¬_also_see', '00999817'), ('00999817', 'NO_OP', '00999817')], '01148283')
([('01959294', '¬_also_see', '02371718'), ('02371718', '¬_derivationally_related_form', '05064827'), ('05064827', '¬_derivationally_related_form', '00552619')], '02371718')
([('02095311', '¬_also_see', '01059400'), ('01059400', '_derivationally_related_form', '04777098'), ('04777098', '¬_derivationally_related_form', '01340439')], '01059400')
([('01849288', '¬_also_see', '02393401'), ('02393401', '¬_also_see', '00851103'), ('00851103', '_also_see', '02393401')], '02393401')
([('02306087', '_hypernym', '02281093'), ('02281093', '¬_derivationally_related_form', '13367070'), ('13367070', '¬_hypernym', '13366912')], '02281093')
([('01140514', '¬_also_see', '00063277'), ('00063277', '_derivationally_related_form', '05648459'), ('05648459', '_derivationally_related_form', '01140514')], '00063277')
([('01148283', '¬_also_see', '00588797'), ('00588797', '¬_derivationally_related_form', '14412882'), ('14412882', '_derivationally_related_form', '00588797')], '00588797')
([('00289082', 'NO_OP', '00289082'), ('00289082', '¬_also_see', '02274253'), ('02274253', '_also_see', '00289082')], '02274253')
([('00875712', '¬_also_see', '00033574'), ('00033574', '¬_also_see', '00875712'), ('00875712', '_derivationally_related_form', '04635953')], '00033574')
([('01129977', '_also_see', '02036578'), ('02036578', '_also_see', '01129977'), ('01129977', '¬_also_see', '01123148')], '01123148')
([('02399399', '¬_also_see', '01716491'), ('01716491', '_also_see', '00133851'), ('00133851', '¬_derivationally_related_form', '04996823')], '00133851')
([('01076793', '¬_also_see', '00561036'), ('00561036', 'NO_OP', '00561036'), ('00561036', '_derivationally_related_form', '04714440')], '00561036')
([('00900616', '¬_also_see', '00655779'), ('00655779', '_also_see', '00900616'), ('00900616', '¬_also_see', '01275562')], '00655779')
([('00986027', '¬_also_see', '02043898'), ('02043898', '_also_see', '00986027'), ('00986027', '¬_derivationally_related_form', '04999401')], '02043898')
([('01160031', '_also_see', '00227003'), ('00227003', '_also_see', '01160031'), ('01160031', '¬_also_see', '01711071')], '01711071')
([('00186616', '¬_also_see', '00570590'), ('00570590', '¬_also_see', '02102484'), ('02102484', '¬_also_see', '00190115')], '00570590')
([('00900616', '_also_see', '00903668'), ('00903668', '¬_also_see', '00900616'), ('00900616', '¬_also_see', '00655779')], '00655779')
([('02079029', '¬_also_see', '00647542'), ('00647542', '_also_see', '02079029'), ('02079029', 'NO_OP', '02079029')], '00647542')
([('01899360', '¬_also_see', '00311663'), ('00311663', '¬_also_see', '00754873'), ('00754873', '_derivationally_related_form', '00616153')], '00311663')
([('00851103', 'NO_OP', '00851103'), ('00851103', '¬_also_see', '02393401'), ('02393401', '_derivationally_related_form', '04818284')], '02393401')
([('02513269', '¬_also_see', '02036578'), ('02036578', '¬_also_see', '01369663'), ('01369663', '_also_see', '00956131')], '02036578')
([('02037272', 'NO_OP', '02037272'), ('02037272', '¬_also_see', '01549291'), ('01549291', '¬_also_see', '02035337')], '01549291')
([('00111129', '_derivationally_related_form', '05774129'), ('05774129', '_derivationally_related_form', '00111129'), ('00111129', '¬_also_see', '01430111')], '01430111')
([('00629997', '¬_also_see', '00627849'), ('00627849', '_also_see', '00629997'), ('00629997', 'NO_OP', '00629997')], '00627849')
([('02174896', '¬_also_see', '02166346'), ('02166346', '¬_also_see', '02245403'), ('02245403', '_derivationally_related_form', '04948241')], '02166346')
([('00571643', '¬_also_see', '02102796'), ('02102796', '_also_see', '00191603'), ('00191603', '_also_see', '02102796')], '00191603')
([('00834198', '_derivationally_related_form', '05199286'), ('05199286', '_hypernym', '05190804'), ('05190804', '¬_derivationally_related_form', '01825671')], '01825671')
([('00666058', '¬_also_see', '01640850'), ('01640850', '_also_see', '00666058'), ('00666058', '_derivationally_related_form', '05050379')], '01640850')
([('01904845', '¬_also_see', '00360650'), ('00360650', '_derivationally_related_form', '04849759'), ('04849759', '¬_hypernym', '04849972')], '00360650')
([('00533851', '¬_also_see', '00430191'), ('00430191', '¬_also_see', '00701479'), ('00701479', '_also_see', '00781168')], '00430191')
([('00525453', '¬_also_see', '01101391'), ('01101391', '¬_derivationally_related_form', '04764412'), ('04764412', '¬_derivationally_related_form', '01101391')], '01101391')
([('01129977', '¬_also_see', '02034828'), ('02034828', '_also_see', '01878466'), ('01878466', '_also_see', '00631391')], '02034828')
([('02102484', '_also_see', '02103481'), ('02103481', '_also_see', '02102484'), ('02102484', '¬_also_see', '00570590')], '00570590')
([('00638981', '¬_also_see', '02099019'), ('02099019', '_also_see', '00638981'), ('00638981', '¬_also_see', '01372049')], '01372049')
([('02062670', '¬_also_see', '02507968'), ('02507968', '_also_see', '02062670'), ('02062670', '_also_see', '00889831')], '02507968')
([('02019021', '¬_also_see', '01959294'), ('01959294', '_derivationally_related_form', '04767347'), ('04767347', '¬_hypernym', '04769049')], '01959294')
([('02043898', '¬_also_see', '00986027'), ('00986027', '¬_derivationally_related_form', '04999401'), ('04999401', 'NO_OP', '04999401')], '00986027')
([('00081671', '¬_also_see', '00262792'), ('00262792', '_also_see', '00249721'), ('00249721', 'NO_OP', '00249721')], '00249721')
([('01214265', '_also_see', '01312371'), ('01312371', '_hypernym', '00173338'), ('00173338', '¬_hypernym', '01434278')], '01434278')
([('01370590', '¬_also_see', '02037272'), ('02037272', '_also_see', '01370590'), ('01370590', '_also_see', '01227137')], '02037272')
([('00186616', '¬_also_see', '00190115'), ('00190115', '¬_also_see', '00186616'), ('00186616', '_also_see', '00091311')], '00190115')
([('00631391', '¬_also_see', '01878466'), ('01878466', '¬_derivationally_related_form', '04898437'), ('04898437', '_derivationally_related_form', '01878466')], '01878466')
([('00174379', '¬_also_see', '01918984'), ('01918984', 'NO_OP', '01918984'), ('01918984', 'NO_OP', '01918984')], '01918984')
([('00311663', '_also_see', '00754873'), ('00754873', '_also_see', '00311663'), ('00311663', '¬_also_see', '01899360')], '01899360')
([('00251809', '¬_also_see', '00156839'), ('00156839', '_also_see', '00788821'), ('00788821', '¬_also_see', '01612053')], '00156839')
([('01131043', '¬_also_see', '02037272'), ('02037272', '_also_see', '01370590'), ('01370590', '_also_see', '02035337')], '02035337')
([('01749320', '¬_also_see', '00289365'), ('00289365', '_also_see', '00681094'), ('00681094', '¬_also_see', '02273326')], '00289365')
([('00532892', '¬_also_see', '00428404'), ('00428404', '_derivationally_related_form', '04820258'), ('04820258', '¬_derivationally_related_form', '00697923')], '00428404')
([('02164402', 'NO_OP', '02164402'), ('02164402', '¬_derivationally_related_form', '05172596'), ('05172596', '¬_derivationally_related_form', '01279978')], '01279978')
([('00839619', '¬_also_see', '00834198'), ('00834198', '_also_see', '00838856'), ('00838856', '_also_see', '00834198')], '00834198')
([('00999817', '¬_also_see', '01148283'), ('01148283', '_also_see', '01366718'), ('01366718', 'NO_OP', '01366718')], '01148283')
([('01507402', '_derivationally_related_form', '07506382'), ('07506382', '¬_derivationally_related_form', '01507402'), ('01507402', '¬_also_see', '00247439')], '00247439')
([('01180695', '¬_also_see', '02577061'), ('02577061', '¬_also_see', '02056880'), ('02056880', '¬_also_see', '01782519')], '02577061')
([('02257141', 'NO_OP', '02257141'), ('02257141', '¬_also_see', '01074650'), ('01074650', '¬_derivationally_related_form', '04654337')], '01074650')
([('00724861', '¬_also_see', '02466111'), ('02466111', '¬_also_see', '00959731'), ('00959731', 'NO_OP', '00959731')], '02466111')
([('02161432', '¬_also_see', '01275562'), ('01275562', '_also_see', '00900616'), ('00900616', '_also_see', '00903668')], '01275562')
([('01463965', '_derivationally_related_form', '07546125'), ('07546125', '¬_derivationally_related_form', '01463965'), ('01463965', '¬_also_see', '02533313')], '02533313')
([('01612053', '¬_also_see', '00788821'), ('00788821', '¬_derivationally_related_form', '00878348'), ('00878348', 'NO_OP', '00878348')], '00788821')
([('02056880', '¬_also_see', '02577061'), ('02577061', '_also_see', '01180695'), ('01180695', '_also_see', '02577061')], '01180695')
([('01918984', '¬_also_see', '00174379'), ('00174379', '_also_see', '01748318'), ('01748318', '¬_also_see', '02517265')], '00174379')
([('02505716', '¬_also_see', '00583239'), ('00583239', '_also_see', '02290998'), ('02290998', '_derivationally_related_form', '04738641')], '00583239')
([('00995119', '¬_also_see', '00177186'), ('00177186', '_also_see', '00995119'), ('00995119', 'NO_OP', '00995119')], '00177186')
([('01460421', 'NO_OP', '01460421'), ('01460421', 'NO_OP', '01460421'), ('01460421', '¬_also_see', '01624633')], '01624633')
([('00849357', '¬_also_see', '02270342'), ('02270342', 'NO_OP', '02270342'), ('02270342', '¬_also_see', '00849357')], '02270342')
([('01368192', '_also_see', '00364479'), ('00364479', '_also_see', '01149494'), ('01149494', '_also_see', '01364008')], '01364008')
([('00561036', '¬_also_see', '01076793'), ('01076793', 'NO_OP', '01076793'), ('01076793', '¬_also_see', '02531422')], '01076793')
([('00696518', '¬_also_see', '02451113'), ('02451113', '_also_see', '02388145'), ('02388145', '¬_also_see', '02451113')], '02451113')
([('01476685', '¬_also_see', '01483324'), ('01483324', '¬_derivationally_related_form', '04666615'), ('04666615', '_hypernym', '04616059')], '01483324')
([('02399399', '¬_also_see', '01716491'), ('01716491', '¬_also_see', '00133851'), ('00133851', '¬_also_see', '02399399')], '00133851')
([('00645493', 'NO_OP', '00645493'), ('00645493', '¬_also_see', '00647070'), ('00647070', '¬_derivationally_related_form', '05698982')], '00647070')
([('00666058', 'NO_OP', '00666058'), ('00666058', '_also_see', '01640850'), ('01640850', '_also_see', '01535709')], '01535709')
([('00190115', '_also_see', '00570590'), ('00570590', '¬_also_see', '02102484'), ('02102484', '¬_derivationally_related_form', '05652926')], '02102484')
([('00156839', '¬_also_see', '00251809'), ('00251809', '_also_see', '00156839'), ('00156839', '¬_also_see', '00788821')], '00251809')
([('01740892', '¬_also_see', '01922763'), ('01922763', '_also_see', '00087152'), ('00087152', '_also_see', '01922763')], '01922763')
([('01922763', '¬_also_see', '01740892'), ('01740892', 'NO_OP', '01740892'), ('01740892', '_also_see', '02512922')], '01740892')
([('01509527', 'NO_OP', '01509527'), ('01509527', '¬_also_see', '01533120'), ('01533120', '_also_see', '01509527')], '01533120')
([('02395115', '¬_also_see', '01073822'), ('01073822', '¬_derivationally_related_form', '04993413'), ('04993413', '_derivationally_related_form', '01073822')], '01073822')
([('01704761', '¬_also_see', '00940437'), ('00940437', '¬_derivationally_related_form', '04822032'), ('04822032', '_derivationally_related_form', '00940437')], '00940437')
([('02035337', '_also_see', '01549291'), ('01549291', '¬_also_see', '02513740'), ('02513740', '¬_derivationally_related_form', '04852750')], '02513740')
([('02497141', 'NO_OP', '02497141'), ('02497141', '¬_also_see', '00835609'), ('00835609', '_also_see', '02497141')], '00835609')
([('01849288', '¬_also_see', '02393401'), ('02393401', 'NO_OP', '02393401'), ('02393401', '_also_see', '00851103')], '02393401')
([('00289082', '¬_also_see', '02274253'), ('02274253', '¬_also_see', '00289082'), ('00289082', '¬_also_see', '01752167')], '02274253')
([('00896555', '¬_also_see', '00103696'), ('00103696', '¬_also_see', '00896555'), ('00896555', '¬_also_see', '00103696')], '00103696')
([('02464693', '¬_also_see', '00958880'), ('00958880', '_also_see', '02464693'), ('02464693', '¬_also_see', '01996377')], '01996377')
([('02519555', '_derivationally_related_form', '00552253'), ('00552253', '¬_derivationally_related_form', '02519555'), ('02519555', '¬_also_see', '00583990')], '00583990')
([('02341266', '¬_also_see', '00227507'), ('00227507', 'NO_OP', '00227507'), ('00227507', '¬_member_of_domain_usage', '06693870')], '00227507')
([('00666058', 'NO_OP', '00666058'), ('00666058', '¬_also_see', '01535709'), ('01535709', '¬_also_see', '01640850')], '01535709')
([('01950798', '_derivationally_related_form', '00061290'), ('00061290', '_derivationally_related_form', '01955127'), ('01955127', '¬_derivationally_related_form', '06682794')], '01955127')
([('02164402', '¬_also_see', '01279978'), ('01279978', '¬_also_see', '01497736'), ('01497736', '_also_see', '01279978')], '01279978')
([('01140514', '¬_derivationally_related_form', '05648459'), ('05648459', '_derivationally_related_form', '00063277'), ('00063277', '_derivationally_related_form', '05648459')], '00063277')
([('00956131', '¬_also_see', '01943406'), ('01943406', '¬_also_see', '02498708'), ('02498708', 'NO_OP', '02498708')], '01943406')
([('02331262', '¬_also_see', '01865197'), ('01865197', '_also_see', '01001689'), ('01001689', '¬_also_see', '01824244')], '01865197')
([('00647542', '¬_also_see', '00996448'), ('00996448', '_derivationally_related_form', '05161967'), ('05161967', '_derivationally_related_form', '00996448')], '00996448')
([('00843146', '¬_also_see', '01022064'), ('01022064', '¬_derivationally_related_form', '05022457'), ('05022457', '_derivationally_related_form', '01022064')], '01022064')
([('02584981', '¬_also_see', '02500884'), ('02500884', '_derivationally_related_form', '02256109'), ('02256109', '¬_hypernym', '02546467')], '02500884')
([('01143279', '¬_also_see', '00976508'), ('00976508', 'NO_OP', '00976508'), ('00976508', '_also_see', '01143279')], '00976508')
([('00914421', '_derivationally_related_form', '04803430'), ('04803430', '¬_derivationally_related_form', '00914421'), ('00914421', '¬_also_see', '01749320')], '01749320')
([('02461723', '¬_also_see', '01116380'), ('01116380', '¬_also_see', '02461723'), ('02461723', '¬_derivationally_related_form', '13960464')], '01116380')
([('02099019', '¬_also_see', '01111016'), ('01111016', '¬_also_see', '02099019'), ('02099019', '¬_also_see', '00638981')], '00638981')
([('00226618', '¬_also_see', '01372049'), ('01372049', '¬_also_see', '00226618'), ('00226618', '¬_also_see', '01372049')], '01372049')
([('01474513', '_derivationally_related_form', '02443049'), ('02443049', '_derivationally_related_form', '01474513'), ('01474513', '¬_also_see', '01612053')], '01612053')
([('00721437', '_verb_group', '01637982'), ('01637982', '¬_derivationally_related_form', '00043195'), ('00043195', '¬_derivationally_related_form', '00598954')], '00598954')
([('00106456', '¬_also_see', '00016756'), ('00016756', '¬_derivationally_related_form', '05116953'), ('05116953', '¬_derivationally_related_form', '00016756')], '00016756')
([('02238462', '¬_also_see', '00911327'), ('00911327', '_also_see', '02238462'), ('02238462', '¬_also_see', '01960656')], '01960656')
([('00503982', 'NO_OP', '00503982'), ('00503982', '¬_also_see', '00889831'), ('00889831', '_derivationally_related_form', '04747899')], '00889831')
([('00021766', '¬_also_see', '01837744'), ('01837744', '_derivationally_related_form', '04821451'), ('04821451', '_hypernym', '04820258')], '01837744')
([('02040652', '¬_also_see', '02043898'), ('02043898', '¬_also_see', '00986027'), ('00986027', '_also_see', '02043898')], '02043898')
([('02056880', '_also_see', '01180695'), ('01180695', '_also_see', '02056880'), ('02056880', '¬_also_see', '02577061')], '02577061')
([('01143279', 'NO_OP', '01143279'), ('01143279', '¬_also_see', '00976508'), ('00976508', '_derivationally_related_form', '05058140')], '00976508')
([('01476685', '¬_derivationally_related_form', '05008227'), ('05008227', '¬_derivationally_related_form', '01476685'), ('01476685', '¬_also_see', '01483324')], '01483324')
([('00781168', 'NO_OP', '00781168'), ('00781168', '_also_see', '00701479'), ('00701479', '¬_also_see', '00430191')], '00430191')
([('02424254', 'NO_OP', '02424254'), ('02424254', '¬_also_see', '00419289'), ('00419289', '¬_also_see', '02424254')], '00419289')
([('01172889', '¬_also_see', '02559180'), ('02559180', '_also_see', '02274253'), ('02274253', '_also_see', '02559180')], '02559180')
([('01343918', '¬_also_see', '00921014'), ('00921014', 'NO_OP', '00921014'), ('00921014', '_also_see', '02131072')], '00921014')
([('01489722', '¬_also_see', '01646941'), ('01646941', '¬_also_see', '02100709'), ('02100709', '¬_also_see', '01646941')], '01646941')
([('01755627', 'NO_OP', '01755627'), ('01755627', '¬_also_see', '02291843'), ('02291843', '¬_also_see', '00583990')], '02291843')
([('00550777', '¬_derivationally_related_form', '04758181'), ('04758181', '¬_derivationally_related_form', '00550777'), ('00550777', '¬_also_see', '00740336')], '00740336')
([('00186616', '¬_also_see', '00570590'), ('00570590', '¬_also_see', '02102484'), ('02102484', 'NO_OP', '02102484')], '00570590')
([('00533851', '¬_also_see', '00430191'), ('00430191', '¬_also_see', '00701479'), ('00701479', '_derivationally_related_form', '04757864')], '00430191')
([('00077645', '_also_see', '00251809'), ('00251809', '_also_see', '00264776'), ('00264776', '_also_see', '00077645')], '00264776')
([('01781478', '¬_also_see', '02513269'), ('02513269', '¬_also_see', '01781478'), ('01781478', '¬_also_see', '02055062')], '02513269')
([('02685951', '_verb_group', '02727039'), ('02727039', '¬_derivationally_related_form', '08628921'), ('08628921', '¬_derivationally_related_form', '02685665')], '02685665')
([('01170243', '¬_also_see', '02037708'), ('02037708', '¬_also_see', '02321009'), ('02321009', '¬_also_see', '01825671')], '02037708')
([('02291843', '¬_also_see', '00583990'), ('00583990', '¬_also_see', '02291843'), ('02291843', 'NO_OP', '02291843')], '00583990')
([('01101391', 'NO_OP', '01101391'), ('01101391', 'NO_OP', '01101391'), ('01101391', '¬_also_see', '00525453')], '00525453')
([('01160031', '¬_also_see', '00227003'), ('00227003', '¬_also_see', '00224166'), ('00224166', 'NO_OP', '00224166')], '00227003')
([('01474513', 'NO_OP', '01474513'), ('01474513', '¬_also_see', '02451113'), ('02451113', '¬_also_see', '01612053')], '02451113')
([('00583239', 'NO_OP', '00583239'), ('00583239', '¬_also_see', '00958880'), ('00958880', '¬_derivationally_related_form', '04876985')], '00958880')
([('01129977', '¬_also_see', '01123148'), ('01123148', '¬_also_see', '01129977'), ('01129977', '_also_see', '02034828')], '01123148')
([('00853776', '¬_also_see', '01725712'), ('01725712', '¬_derivationally_related_form', '07480896'), ('07480896', '¬_hypernym', '07481375')], '01725712')
([('01366718', '¬_derivationally_related_form', '07527352'), ('07527352', '¬_derivationally_related_form', '01363613'), ('01363613', '¬_also_see', '01148283')], '01363613')
([('00607780', '¬_derivationally_related_form', '05761918'), ('05761918', '_derivationally_related_form', '00611256'), ('00611256', '¬_derivationally_related_form', '05761918')], '00611256')
([('01672607', '¬_also_see', '00485711'), ('00485711', '_derivationally_related_form', '04795545'), ('04795545', '¬_derivationally_related_form', '00485711')], '00485711')
([('02363358', '¬_also_see', '02105375'), ('02105375', 'NO_OP', '02105375'), ('02105375', '¬_also_see', '02363358')], '02105375')
([('02164402', '_derivationally_related_form', '14436438'), ('14436438', '¬_derivationally_related_form', '01279978'), ('01279978', '¬_derivationally_related_form', '05172596')], '01279978')
([('02531422', '¬_also_see', '00856860'), ('00856860', '¬_derivationally_related_form', '04629194'), ('04629194', '¬_hypernym', '04629604')], '00856860')
([('00763901', '_derivationally_related_form', '04871720'), ('04871720', '¬_derivationally_related_form', '00763901'), ('00763901', '¬_also_see', '01222360')], '01222360')
