WN18RR, _has_part_WN18_generic_PPO_simple_embedding_100
([('13652994', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650921'), ('13650921', '_has_part', '13650447')], '13650447')
([('09340024', '_member_meronym', '09396712'), ('09396712', 'NO_OP', '09396712'), ('09396712', '¬_member_meronym', '09340452')], '09340452')
([('00490569', 'NO_OP', '00490569'), ('00490569', '¬_synset_domain_topic_of', '06737112'), ('06737112', '_derivationally_related_form', '02300060')], '06737112')
([('03236423', '¬_derivationally_related_form', '01244516'), ('01244516', '_derivationally_related_form', '03236217'), ('03236217', 'NO_OP', '03236217')], '03236217')
([('03400231', '_hypernym', '03880531'), ('03880531', '¬_hypernym', '04138977'), ('04138977', '_has_part', '03485997')], '03485997')
([('08082236', '_derivationally_related_form', '09678009'), ('09678009', 'NO_OP', '09678009'), ('09678009', '¬_member_meronym', '08082602')], '08082602')
([('06449735', '_has_part', '06434368'), ('06434368', '_instance_hypernym', '06394865'), ('06394865', '¬_instance_hypernym', '06438995')], '06438995')
([('03446528', '_has_part', '02920369'), ('02920369', '_hypernym', '03501152'), ('03501152', '¬_hypernym', '02920369')], '03501152')
([('05509452', '_has_part', '05511061'), ('05511061', '_has_part', '05512337'), ('05512337', 'NO_OP', '05512337')], '05512337')
([('15126931', '_instance_hypernym', '15248020'), ('15248020', '_has_part', '15247518'), ('15247518', '¬_instance_hypernym', '15127307')], '15127307')
([('03494706', '_derivationally_related_form', '02442737'), ('02442737', '_derivationally_related_form', '04072551'), ('04072551', '¬_has_part', '02900160')], '02900160')
([('04567222', '_has_part', '08590172'), ('08590172', '_hypernym', '08589801'), ('08589801', '¬_hypernym', '08589351')], '08589351')
([('03054605', '_hypernym', '02866578'), ('02866578', '¬_hypernym', '03390327'), ('03390327', '_hypernym', '02866578')], '03390327')
([('05261566', 'NO_OP', '05261566'), ('05261566', '_hypernym', '05261404'), ('05261404', '¬_hypernym', '05262185')], '05262185')
([('11953339', '_has_part', '07731767'), ('07731767', '_hypernym', '07731587'), ('07731587', '_hypernym', '07723330')], '07731587')
([('08766988', '_has_part', '09376979'), ('09376979', '_instance_hypernym', '09411430'), ('09411430', '¬_instance_hypernym', '09418169')], '09418169')
([('05513529', '_has_part', '05518870'), ('05518870', '¬_has_part', '05519085'), ('05519085', '¬_has_part', '05513529')], '05519085')
([('03054605', '_hypernym', '02866578'), ('02866578', '¬_hypernym', '03390327'), ('03390327', '¬_has_part', '03054605')], '03390327')
([('08756735', '_member_meronym', '09699020'), ('09699020', '¬_derivationally_related_form', '03058754'), ('03058754', '¬_derivationally_related_form', '08756884')], '08756884')
([('13722340', '_hypernym', '13716878'), ('13716878', '¬_hypernym', '13722060'), ('13722060', 'NO_OP', '13722060')], '13722060')
([('03082979', '_has_part', '03493333'), ('03493333', 'NO_OP', '03493333'), ('03493333', '¬_hypernym', '03744276')], '03744276')
([('15203565', '_has_part', '15225249'), ('15225249', '¬_hypernym', '15226046'), ('15226046', '_hypernym', '15225249')], '15226046')
([('09275473', '_has_part', '08953324'), ('08953324', '_instance_hypernym', '08696931'), ('08696931', '¬_instance_hypernym', '08801678')], '08801678')
([('04107984', '_derivationally_related_form', '01543731'), ('01543731', '¬_derivationally_related_form', '03914919'), ('03914919', '¬_derivationally_related_form', '01543731')], '03914919')
([('05261566', '_hypernym', '05261404'), ('05261404', 'NO_OP', '05261404'), ('05261404', '¬_hypernym', '05262185')], '05262185')
([('13659760', '_hypernym', '13649268'), ('13649268', '¬_hypernym', '13659604'), ('13659604', '¬_has_part', '13659760')], '13659604')
([('15203565', '_has_part', '15225249'), ('15225249', '¬_hypernym', '15225929'), ('15225929', '_hypernym', '15225249')], '15225929')
([('11953339', '_has_part', '07731767'), ('07731767', '_hypernym', '07731587'), ('07731587', '_hypernym', '07723330')], '07731587')
([('01960459', '_derivationally_related_form', '01383511'), ('01383511', '_derivationally_related_form', '07786164'), ('07786164', '¬_has_part', '01960459')], '07786164')
([('09050730', '_has_part', '09137869'), ('09137869', '_instance_hypernym', '08655464'), ('08655464', '¬_instance_hypernym', '09090825')], '09090825')
([('13720600', '_hypernym', '13716084'), ('13716084', '¬_hypernym', '13720096'), ('13720096', 'NO_OP', '13720096')], '13720096')
([('15177866', '_has_part', '15214068'), ('15214068', '¬_hypernym', '15214419'), ('15214419', '_hypernym', '15214068')], '15214419')
([('08847694', '_has_part', '08995242'), ('08995242', '¬_has_part', '08993288'), ('08993288', '¬_has_part', '08910394')], '08993288')
([('09189411', '_member_of_domain_region', '08699654'), ('08699654', '_has_part', '09170294'), ('09170294', '¬_has_part', '08852389')], '08852389')
([('13661273', '_hypernym', '13604718'), ('13604718', '¬_hypernym', '13662703'), ('13662703', '¬_hypernym', '13664521')], '13664521')
([('08720481', '_has_part', '09272927'), ('09272927', '¬_has_part', '09196611'), ('09196611', '¬_has_part', '08720481')], '09196611')
([('08816236', '_has_part', '08816969'), ('08816969', '_has_part', '08817418'), ('08817418', '¬_has_part', '08816236')], '08817418')
([('11953339', '_has_part', '07731587'), ('07731587', '¬_hypernym', '07731767'), ('07731767', '¬_has_part', '11953339')], '07731767')
([('13850674', '_has_part', '11432508'), ('11432508', '_hypernym', '11431754'), ('11431754', '¬_hypernym', '11432758')], '11432758')
([('03467984', '_has_part', '02677718'), ('02677718', '¬_hypernym', '03469493'), ('03469493', 'NO_OP', '03469493')], '03469493')
([('13723470', '_hypernym', '13717155'), ('13717155', '¬_hypernym', '13723304'), ('13723304', '_hypernym', '13717155')], '13723304')
([('04170515', '_hypernym', '04304375'), ('04304375', '_hypernym', '03273061'), ('03273061', '¬_hypernym', '04304375')], '03273061')
([('05585383', '¬_hypernym', '05586446'), ('05586446', '_has_part', '05587288'), ('05587288', '_hypernym', '05585665')], '05585665')
([('05565696', '_hypernym', '05221895'), ('05221895', '¬_hypernym', '05565937'), ('05565937', 'NO_OP', '05565937')], '05565937')
([('09044862', '_has_part', '09159003'), ('09159003', '_has_part', '09373716'), ('09373716', '¬_has_part', '09109444')], '09109444')
([('13636989', 'NO_OP', '13636989'), ('13636989', '_hypernym', '13632961'), ('13632961', '¬_hypernym', '13636648')], '13636648')
([('13720600', '¬_has_part', '13720852'), ('13720852', '_has_part', '13720096'), ('13720096', '_hypernym', '13716084')], '13720096')
([('05513807', '¬_has_part', '05219724'), ('05219724', '_has_part', '05514905'), ('05514905', '_has_part', '05517406')], '05514905')
([('08906374', '_has_part', '09338712'), ('09338712', '¬_has_part', '09303647'), ('09303647', '_has_part', '09197945')], '09197945')
([('01965889', '¬_derivationally_related_form', '01140315'), ('01140315', '¬_derivationally_related_form', '07797641'), ('07797641', '_derivationally_related_form', '01140315')], '07797641')
([('08551420', 'NO_OP', '08551420'), ('08551420', '_hypernym', '08630985'), ('08630985', '¬_hypernym', '08551628')], '08551628')
([('08735705', '_has_part', '08703035'), ('08703035', '¬_instance_hypernym', '08737716'), ('08737716', '¬_member_meronym', '08176077')], '08737716')
([('09275473', '_has_part', '08696931'), ('08696931', '¬_instance_hypernym', '08992181'), ('08992181', 'NO_OP', '08992181')], '08992181')
([('05513807', '_has_part', '05514905'), ('05514905', '_has_part', '05526384'), ('05526384', '_has_part', '05526957')], '05526384')
([('08953151', 'NO_OP', '08953151'), ('08953151', '_derivationally_related_form', '09714120'), ('09714120', '¬_derivationally_related_form', '08953324')], '08953324')
([('13850674', '_has_part', '11432508'), ('11432508', '_hypernym', '11431754'), ('11431754', '¬_hypernym', '11432632')], '11432632')
([('15203565', '_has_part', '15225249'), ('15225249', '¬_hypernym', '15225929'), ('15225929', '¬_has_part', '15203565')], '15225929')
([('09050730', '_has_part', '09103943'), ('09103943', '¬_has_part', '09049599'), ('09049599', '_has_part', '09053185')], '09049599')
([('08813978', '_has_part', '09236423'), ('09236423', '_has_part', '09460888'), ('09460888', '¬_has_part', '09236423')], '09460888')
([('05560787', '_has_part', '05594367'), ('05594367', '_hypernym', '05594037'), ('05594037', 'NO_OP', '05594037')], '05594037')
([('05483890', '_hypernym', '05329735'), ('05329735', '¬_hypernym', '05484862'), ('05484862', 'NO_OP', '05484862')], '05484862')
([('04469003', '_hypernym', '04463983'), ('04463983', '¬_hypernym', '04048075'), ('04048075', '_has_part', '04463679')], '04463679')
([('08131530', '_has_part', '08395991'), ('08395991', '_hypernym', '08337324'), ('08337324', '¬_hypernym', '08396760')], '08396760')
([('09273447', '_has_part', '09479238'), ('09479238', '¬_has_part', '08858248'), ('08858248', '_has_part', '08887013')], '08887013')
([('05519085', '¬_has_part', '05513529'), ('05513529', '_has_part', '05518870'), ('05518870', 'NO_OP', '05518870')], '05518870')
([('13621190', '¬_has_part', '13621418'), ('13621418', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13621011')], '13621011')
([('08993288', '_has_part', '08994339'), ('08994339', '¬_has_part', '08995515'), ('08995515', 'NO_OP', '08995515')], '08995515')
([('00488225', '¬_synset_domain_topic_of', '01085337'), ('01085337', '¬_derivationally_related_form', '02246686'), ('02246686', '_derivationally_related_form', '07956887')], '01085337')
([('08967329', '¬_derivationally_related_form', '03084759'), ('03084759', '_derivationally_related_form', '08967484'), ('08967484', '_derivationally_related_form', '03084759')], '08967484')
([('03016953', 'NO_OP', '03016953'), ('03016953', '_hypernym', '03015254'), ('03015254', '_has_part', '03233905')], '03233905')
([('09051235', '_has_part', '09075842'), ('09075842', '_has_part', '09255921'), ('09255921', '¬_has_part', '09053185')], '09053185')
([('07064715', '¬_synset_domain_topic_of', '07086861'), ('07086861', '¬_has_part', '07064715'), ('07064715', '_hypernym', '07059255')], '07086861')
([('13621190', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13621011'), ('13621011', '¬_has_part', '13621190')], '13621011')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', '¬_has_part', '13611207')], '13611567')
([('13727209', 'NO_OP', '13727209'), ('13727209', '_hypernym', '13609507'), ('13609507', '¬_hypernym', '13726947')], '13726947')
([('05513807', '¬_has_part', '05219724'), ('05219724', '_has_part', '05514905'), ('05514905', '_has_part', '05517406')], '05514905')
([('13722522', '_hypernym', '13716878'), ('13716878', '¬_hypernym', '13722060'), ('13722060', '¬_has_part', '13722340')], '13722340')
([('09466280', '_member_meronym', '08271042'), ('08271042', '_member_meronym', '09444100'), ('09444100', '_hypernym', '09239740')], '09239740')
([('13652994', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13650447'), ('13650447', '¬_has_part', '13650921')], '13650447')
([('09323824', '_has_part', '09322701'), ('09322701', '_instance_hypernym', '09360122'), ('09360122', '¬_instance_hypernym', '09403581')], '09403581')
([('02743050', '_hypernym', '03974215'), ('03974215', '¬_has_part', '03908204'), ('03908204', '_has_part', '13902482')], '13902482')
([('09303647', '¬_has_part', '08906374'), ('08906374', '_has_part', '09266453'), ('09266453', '¬_has_part', '09303647')], '09266453')
([('05269901', '_hypernym', '05286536'), ('05286536', '_has_part', '05582305'), ('05582305', '_hypernym', '05263850')], '05582305')
([('13850674', '_has_part', '11433013'), ('11433013', '_hypernym', '11431754'), ('11431754', '¬_hypernym', '11432758')], '11432758')
([('02731629', '_hypernym', '02895606'), ('02895606', '¬_hypernym', '03868863'), ('03868863', 'NO_OP', '03868863')], '03868863')
([('07647870', 'NO_OP', '07647870'), ('07647870', '¬_has_part', '07644382'), ('07644382', '_has_part', '07650637')], '07650637')
([('03614007', '_member_meronym', '03613592'), ('03613592', 'NO_OP', '03613592'), ('03613592', '¬_has_part', '02677718')], '02677718')
([('15178841', '_has_part', '15217563'), ('15217563', '_hypernym', '15216966'), ('15216966', '¬_hypernym', '15218551')], '15218551')
([('09340024', 'NO_OP', '09340024'), ('09340024', '_member_meronym', '09396712'), ('09396712', '¬_member_meronym', '09340452')], '09340452')
([('07648267', '¬_has_part', '07644382'), ('07644382', '_has_part', '07650637'), ('07650637', 'NO_OP', '07650637')], '07650637')
([('15174218', '_has_part', '15211484'), ('15211484', 'NO_OP', '15211484'), ('15211484', '_hypernym', '15209706')], '15209706')
([('04538552', '_hypernym', '03525827'), ('03525827', '¬_hypernym', '03594277'), ('03594277', '¬_has_part', '03027250')], '03594277')
([('09275473', '_has_part', '08967868'), ('08967868', '_instance_hypernym', '08696931'), ('08696931', '¬_instance_hypernym', '08929922')], '08696931')
([('05513807', '¬_has_part', '05219724'), ('05219724', '_has_part', '05514905'), ('05514905', '_has_part', '05526384')], '05514905')
([('05989479', '¬_derivationally_related_form', '10706812'), ('10706812', '¬_derivationally_related_form', '05888929'), ('05888929', '¬_derivationally_related_form', '10706812')], '05888929')
([('08921850', '_has_part', '08923348'), ('08923348', '¬_has_part', '08920924'), ('08920924', '_has_part', '08924023')], '08924023')
([('08720481', '_has_part', '09196611'), ('09196611', '_has_part', '09272927'), ('09272927', '¬_has_part', '08720481')], '09272927')
([('13722340', '_hypernym', '13716878'), ('13716878', '¬_hypernym', '13722060'), ('13722060', '¬_has_part', '13722340')], '13722060')
([('15174218', '_has_part', '15213774'), ('15213774', '_hypernym', '15209706'), ('15209706', '¬_hypernym', '15210486')], '15210486')
([('00539951', '_has_part', '00541178'), ('00541178', '_hypernym', '00539121'), ('00539121', '¬_hypernym', '00541035')], '00541035')
([('13621190', 'NO_OP', '13621190'), ('13621190', '_hypernym', '13615557'), ('13615557', '¬_hypernym', '13621011')], '13621011')
([('01986806', '_hypernym', '01976146'), ('01976146', '¬_hypernym', '01982650'), ('01982650', '_has_part', '02585446')], '02585446')
([('08248157', '_hypernym', '08246613'), ('08246613', '¬_hypernym', '08249038'), ('08249038', '_has_part', '08216900')], '08216900')
([('05481095', '_has_part', '05500594'), ('05500594', '_hypernym', '05462674'), ('05462674', '¬_hypernym', '05495981')], '05495981')
([('03358726', '_hypernym', '02942699'), ('02942699', '_hypernym', '03926148'), ('03926148', '¬_hypernym', '03358172')], '03358172')
([('04018155', '_has_part', '03691459'), ('03691459', '¬_hypernym', '04390873'), ('04390873', '_hypernym', '03691459')], '04390873')
([('06875697', '¬_derivationally_related_form', '01039330'), ('01039330', '¬_derivationally_related_form', '06876144'), ('06876144', '_hypernym', '06876309')], '06876144')
([('05540121', '_hypernym', '05269901'), ('05269901', '¬_hypernym', '05332225'), ('05332225', '¬_has_part', '05285275')], '05285275')
([('05869584', '_hypernym', '05835747'), ('05835747', '¬_hypernym', '05867413'), ('05867413', '¬_derivationally_related_form', '01563005')], '05867413')
([('00499924', '_has_part', '00500449'), ('00500449', '¬_has_part', '00501080'), ('00501080', '_has_part', '00500280')], '00500280')
([('00973077', '_has_part', '00964343'), ('00964343', '¬_hypernym', '01237167'), ('01237167', '¬_has_part', '00973077')], '01237167')
([('02693070', '_hypernym', '02687992'), ('02687992', '_has_part', '04120842'), ('04120842', '¬_has_part', '02693070')], '04120842')
([('04538552', '_hypernym', '03525827'), ('03525827', '¬_hypernym', '03594277'), ('03594277', '¬_has_part', '04538552')], '03594277')
([('09189411', '_member_of_domain_region', '08999154'), ('08999154', 'NO_OP', '08999154'), ('08999154', '_has_part', '08762495')], '08999154')
([('15248020', '_hypernym', '15116283'), ('15116283', '¬_hypernym', '15247518'), ('15247518', '¬_instance_hypernym', '15126595')], '15247518')
([('08964099', '_has_part', '08964288'), ('08964288', '¬_has_part', '08843215'), ('08843215', '_has_part', '08964474')], '08964474')
([('06453849', '_has_part', '06441803'), ('06441803', '_instance_hypernym', '06455138'), ('06455138', '¬_instance_hypernym', '06442239')], '06455138')
([('03082979', '_has_part', '03493333'), ('03493333', '¬_hypernym', '03744276'), ('03744276', '_has_part', '04071876')], '03744276')
([('00490569', '¬_synset_domain_topic_of', '06737112'), ('06737112', '_hypernym', '06722453'), ('06722453', '¬_hypernym', '06738162')], '06737112')
([('08921850', '_has_part', '08926381'), ('08926381', '¬_has_part', '08920924'), ('08920924', '_has_part', '08926231')], '08926231')
([('03623556', '_has_part', '03474896'), ('03474896', '¬_has_part', '02763714'), ('02763714', '_has_part', '03974215')], '03974215')
([('03015254', '¬_hypernym', '03016953'), ('03016953', '_has_part', '03233905'), ('03233905', 'NO_OP', '03233905')], '03233905')
([('01301630', '_has_part', '01299735'), ('01299735', '_instance_hypernym', '00968155'), ('00968155', '¬_instance_hypernym', '01290435')], '01290435')
([('09194357', '¬_has_part', '09031653'), ('09031653', '_has_part', '09477567'), ('09477567', 'NO_OP', '09477567')], '09477567')
([('13649791', '¬_has_part', '13650045'), ('13650045', '_hypernym', '13603305'), ('13603305', '¬_hypernym', '13712428')], '13712428')
([('13720852', '_has_part', '13720096'), ('13720096', 'NO_OP', '13720096'), ('13720096', '¬_has_part', '13720600')], '13720600')
([('03027250', '_hypernym', '03525827'), ('03525827', 'NO_OP', '03525827'), ('03525827', '¬_hypernym', '03594277')], '03594277')
([('15128711', '_instance_hypernym', '15243730'), ('15243730', '¬_instance_hypernym', '15128997'), ('15128997', '¬_has_part', '15128711')], '15128997')
([('04373894', '_has_part', '03474896'), ('03474896', '¬_has_part', '02764044'), ('02764044', '_has_part', '02848216')], '02848216')
([('13725588', '_hypernym', '13717155'), ('13717155', 'NO_OP', '13717155'), ('13717155', '¬_hypernym', '13725457')], '13725457')
([('02811936', 'NO_OP', '02811936'), ('02811936', '_derivationally_related_form', '02335629'), ('02335629', '_derivationally_related_form', '03130340')], '03130340')
([('05310790', '_has_part', '01472638'), ('01472638', '¬_has_part', '01472502'), ('01472502', '_has_part', '01472939')], '01472939')
([('08916316', '_member_of_domain_region', '08916832'), ('08916832', '_instance_hypernym', '08524735'), ('08524735', '¬_instance_hypernym', '08924238')], '08916832')
([('08249038', '_hypernym', '08246613'), ('08246613', '¬_hypernym', '08216900'), ('08216900', '¬_has_part', '08248157')], '08216900')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', '_hypernym', '13600097')], '13611567')
([('07573696', '_has_part', '07580053'), ('07580053', 'NO_OP', '07580053'), ('07580053', '_hypernym', '07557434')], '07557434')
([('08553535', '_has_part', '08549480'), ('08549480', '_hypernym', '08549070'), ('08549070', '¬_hypernym', '08549733')], '08549733')
([('03015254', '¬_hypernym', '03016953'), ('03016953', '_has_part', '03233905'), ('03233905', '¬_has_part', '03016953')], '03233905')
([('07064715', '¬_synset_domain_topic_of', '07086861'), ('07086861', '_synset_domain_topic_of', '07064715'), ('07064715', '¬_hypernym', '07065149')], '07086861')
([('00973077', '_hypernym', '00952963'), ('00952963', '¬_hypernym', '00953559'), ('00953559', '¬_hypernym', '00958477')], '00953559')
([('08731606', '_has_part', '08956760'), ('08956760', '_has_part', '09350524'), ('09350524', '¬_has_part', '08715390')], '08715390')
([('13618849', '_hypernym', '13615235'), ('13615235', '¬_hypernym', '13618629'), ('13618629', 'NO_OP', '13618629')], '13618629')
([('13720600', '¬_has_part', '13720852'), ('13720852', '_has_part', '13720096'), ('13720096', '¬_has_part', '13720600')], '13720096')
([('09340024', '_member_meronym', '09396712'), ('09396712', '¬_member_meronym', '09340452'), ('09340452', '¬_has_part', '09340024')], '09340452')
([('08816969', 'NO_OP', '08816969'), ('08816969', '¬_has_part', '08816236'), ('08816236', '_has_part', '08817418')], '08817418')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', '¬_has_part', '13611207')], '13611567')
([('15203565', '_has_part', '15225797'), ('15225797', 'NO_OP', '15225797'), ('15225797', '_hypernym', '15225249')], '15225249')
([('14830364', '_synset_domain_topic_of', '06079620'), ('06079620', '¬_synset_domain_topic_of', '14964129'), ('14964129', '_hypernym', '14944888')], '14964129')
([('08191987', '_has_part', '03812541'), ('03812541', '_instance_hypernym', '08337324'), ('08337324', '¬_hypernym', '08193212')], '08193212')
([('08720481', '_has_part', '09272927'), ('09272927', '¬_has_part', '09196611'), ('09196611', '_has_part', '09341673')], '09196611')
([('05483890', '_hypernym', '05329735'), ('05329735', '¬_hypernym', '05484355'), ('05484355', '_has_part', '05484573')], '05484355')
([('02775483', 'NO_OP', '02775483'), ('02775483', '_hypernym', '03945615'), ('03945615', '¬_hypernym', '03006626')], '03006626')
([('09211266', '_has_part', '09211735'), ('09211735', '¬_has_part', '09292545'), ('09292545', '¬_has_part', '08831004')], '09292545')
([('08967329', '_derivationally_related_form', '03084759'), ('03084759', '_derivationally_related_form', '08967484'), ('08967484', '¬_derivationally_related_form', '03084759')], '08967484')
([('15174218', '_has_part', '15211189'), ('15211189', 'NO_OP', '15211189'), ('15211189', '_hypernym', '15209706')], '15209706')
([('08830456', '_has_part', '09445088'), ('09445088', '_has_part', '09342729'), ('09342729', '¬_has_part', '09445088')], '09342729')
([('06435394', '_has_part', '06435651'), ('06435651', '¬_has_part', '06453324'), ('06453324', '_has_part', '06435916')], '06435916')
([('05511061', '¬_has_part', '05509452'), ('05509452', '_has_part', '05512835'), ('05512835', '¬_has_part', '05511061')], '05512835')
([('00006484', '_has_part', '05445668'), ('05445668', 'NO_OP', '05445668'), ('05445668', '¬_hypernym', '05434927')], '05434927')
([('06453849', '_has_part', '06441803'), ('06441803', 'NO_OP', '06441803'), ('06441803', '_instance_hypernym', '06455138')], '06455138')
([('04494204', '_has_part', '03274796'), ('03274796', '¬_hypernym', '03458552'), ('03458552', 'NO_OP', '03458552')], '03458552')
([('09050730', '_has_part', '09103943'), ('09103943', '¬_member_meronym', '09050244'), ('09050244', '_member_meronym', '09148970')], '09148970')
([('03494706', '_hypernym', '04295081'), ('04295081', '¬_hypernym', '03503718'), ('03503718', '¬_hypernym', '02900160')], '02900160')
([('09307902', '_has_part', '09225146'), ('09225146', '¬_hypernym', '09376198'), ('09376198', 'NO_OP', '09376198')], '09376198')
([('00243918', '¬_synset_domain_topic_of', '02191766'), ('02191766', '¬_derivationally_related_form', '00248368'), ('00248368', '_hypernym', '00199130')], '00248368')
([('08720481', '_has_part', '09196611'), ('09196611', '_has_part', '09463721'), ('09463721', '¬_has_part', '08720481')], '09463721')
([('08920924', '_has_part', '08926381'), ('08926381', '¬_has_part', '08921850'), ('08921850', '_has_part', '08924238')], '08924238')
([('04543158', '¬_hypernym', '02970849'), ('02970849', '_has_part', '02765028'), ('02765028', '¬_has_part', '02970849')], '02765028')
([('15203565', '_has_part', '15225929'), ('15225929', 'NO_OP', '15225929'), ('15225929', '_hypernym', '15225249')], '15225249')
([('07194950', '¬_derivationally_related_form', '00787049'), ('00787049', '¬_derivationally_related_form', '07195630'), ('07195630', '_derivationally_related_form', '00787049')], '07195630')
([('05629381', '_has_part', '09248724'), ('09248724', '_synset_domain_topic_of', '07979425'), ('07979425', '¬_synset_domain_topic_of', '09449773')], '09449773')
([('02782778', '_hypernym', '04295881'), ('04295881', '_has_part', '04300741'), ('04300741', 'NO_OP', '04300741')], '04300741')
([('08916316', '_has_part', '08917503'), ('08917503', '_derivationally_related_form', '02690613'), ('02690613', '¬_derivationally_related_form', '08917881')], '08917881')
([('13628761', '_hypernym', '13601596'), ('13601596', '¬_hypernym', '13628056'), ('13628056', 'NO_OP', '13628056')], '13628056')
([('04295881', '¬_hypernym', '02782778'), ('02782778', '_has_part', '04300741'), ('04300741', '¬_has_part', '04295881')], '04300741')
([('09303647', '_has_part', '09346284'), ('09346284', '¬_has_part', '08906374'), ('08906374', '_has_part', '09323221')], '09323221')
([('15178841', '_has_part', '15217787'), ('15217787', '_hypernym', '15216966'), ('15216966', '¬_hypernym', '15218798')], '15218798')
([('04153751', '¬_hypernym', '02865665'), ('02865665', 'NO_OP', '02865665'), ('02865665', '_has_part', '03501288')], '03501288')
([('08921850', '_has_part', '08923884'), ('08923884', '¬_has_part', '08920924'), ('08920924', '_has_part', '08923586')], '08923586')
([('13611207', '_hypernym', '13600097'), ('13600097', '¬_hypernym', '13611567'), ('13611567', '_hypernym', '13600097')], '13611567')
