NELL-995, has_color_NELL_BASE_simple_embedding_250
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_surface'), ('concept_color_surface', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_bronze'), ('concept_color_bronze', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_hair', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_visualizablething_urine', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_sky', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_bronze'), ('concept_color_bronze', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_surface', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_grey'), ('concept_color_grey', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_rice'), ('concept_color_rice', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_sky', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_surface'), ('concept_color_surface', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_food_tofu', '¬concept:animaleatfood', 'concept_animal_chicken001'), ('concept_animal_chicken001', 'concept:animaleatfood', 'concept_bakedgood_toast'), ('concept_bakedgood_toast', 'concept:thinghascolor', 'concept_color_brown')], 'concept_color_brown')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_visualizablething_urine'), ('concept_visualizablething_urine', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_personalcareitem_butter', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_rice'), ('concept_color_rice', 'concept:thinghascolor', 'concept_color_brown')], 'concept_color_brown')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_landscapefeatures_water'), ('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_landscapefeatures_water'), ('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_surface', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_rice'), ('concept_color_rice', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_sky', 'concept:thinghascolor', 'concept_color_turquoise'), ('concept_color_turquoise', '¬concept:thinghascolor', 'concept_landscapefeatures_water'), ('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_clear_blue')], 'concept_color_clear_blue')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_bronze')], 'concept_color_bronze')
([('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_scarlet'), ('concept_color_scarlet', '¬concept:thinghascolor', 'concept_vegetable_green_leaves'), ('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_belly'), ('concept_color_belly', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_mixture', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_blue')], 'concept_color_blue')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_perceptionevent_light'), ('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_landscapefeatures_water', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_visualizableobject_sky'), ('concept_visualizableobject_sky', 'concept:thinghascolor', 'concept_color_scarlet')], 'concept_color_scarlet')
([('concept_color_sky', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_gold'), ('concept_color_gold', '¬concept:thinghascolor', 'concept_color_hair'), ('concept_color_hair', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_leaves'), ('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green')], 'concept_color_green')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_color_flesh'), ('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_red'), ('concept_color_red', '¬concept:thinghascolor', 'concept_visualizableattribute_foliage'), ('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_personalcareitem_butter', 'concept:thinghascolor', 'concept_color_brown'), ('concept_color_brown', '¬concept:thinghascolor', 'concept_color_rice'), ('concept_color_rice', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_sky', 'concept:thinghascolor', 'concept_color_shade'), ('concept_color_shade', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_rice', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_color_tail'), ('concept_color_tail', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_tail', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_color_belly'), ('concept_color_belly', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_geometricshape_sides', '¬concept:agriculturalproductcutintogeometricshape', 'concept_agriculturalproduct_butter'), ('concept_agriculturalproduct_butter', 'concept:agriculturalproductcutintogeometricshape', 'concept_geometricshape_side'), ('concept_geometricshape_side', 'concept:thinghascolor', 'concept_color_brown')], 'concept_color_brown')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_color_leaves', 'concept:thinghascolor', 'concept_color_crimson'), ('concept_color_crimson', '¬concept:thinghascolor', 'concept_visualizablething_face'), ('concept_visualizablething_face', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_color_surface', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_green'), ('concept_color_green', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_personalcareitem_skin'), ('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_vegetable_green_leaves', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_perceptionevent_light'), ('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_personalcareitem_skin', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_perceptionevent_light'), ('concept_perceptionevent_light', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_blood', 'concept:thinghascolor', 'concept_color_purple'), ('concept_color_purple', '¬concept:thinghascolor', 'concept_weapon_neck'), ('concept_weapon_neck', 'concept:thinghascolor', 'concept_color_red')], 'concept_color_red')
([('concept_visualizableattribute_foliage', 'concept:thinghascolor', 'concept_color_yellow'), ('concept_color_yellow', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_orange')], 'concept_color_orange')
([('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_beverage_solution'), ('concept_beverage_solution', 'concept:thinghascolor', 'concept_color_purple')], 'concept_color_purple')
([('concept_color_flesh', 'concept:thinghascolor', 'concept_color_orange'), ('concept_color_orange', '¬concept:thinghascolor', 'concept_visualizableobject_background'), ('concept_visualizableobject_background', 'concept:thinghascolor', 'concept_color_yellow')], 'concept_color_yellow')
([('concept_visualizablething_sea', 'concept:thinghascolor', 'concept_color_sky'), ('concept_color_sky', 'concept:thinghascolor', 'concept_color_blue'), ('concept_color_blue', '¬concept:thinghascolor', 'concept_personalcareitem_skin')], 'concept_color_blue')
