WN18RR, _member_meronym_WN18_generic_PPO_simple_embedding_100
([('08953324', '¬_has_part', '08953151'), ('08953151', '_has_part', '08953324'), ('08953324', '¬_derivationally_related_form', '09714120')], '09714120')
([('02083038', '_member_meronym', '02115335'), ('02115335', 'NO_OP', '02115335'), ('02115335', '_hypernym', '02083346')], '02083346')
([('08098499', '_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '08098346'), ('08098346', '_synset_domain_topic_of', '05977340')], '09848285')
([('12602850', '_member_meronym', '12603273'), ('12603273', '_hypernym', '12602980'), ('12602980', '¬_hypernym', '12603273')], '12602980')
([('08161068', '¬_derivationally_related_form', '02400760'), ('02400760', 'NO_OP', '02400760'), ('02400760', '¬_derivationally_related_form', '10760340')], '10760340')
([('02064154', '¬_member_meronym', '02062991'), ('02062991', '_member_meronym', '02063224'), ('02063224', '¬_hypernym', '02064338')], '02064338')
([('12792638', '_member_meronym', '12794568'), ('12794568', '_hypernym', '12793015'), ('12793015', '¬_hypernym', '12793494')], '12793494')
([('08960548', '_derivationally_related_form', '09721088'), ('09721088', '_derivationally_related_form', '08960548'), ('08960548', '¬_derivationally_related_form', '09721088')], '09721088')
([('08075647', '¬_derivationally_related_form', '10602470'), ('10602470', '_derivationally_related_form', '08075647'), ('08075647', 'NO_OP', '08075647')], '10602470')
([('12804866', '_member_meronym', '12805561'), ('12805561', '_hypernym', '12805146'), ('12805146', '¬_hypernym', '12805561')], '12805146')
([('11815194', '_member_meronym', '11816121'), ('11816121', '_hypernym', '11815491'), ('11815491', 'NO_OP', '11815491')], '11815491')
([('12796617', '_member_meronym', '12796849'), ('12796849', '¬_hypernym', '12797025'), ('12797025', '_hypernym', '12796849')], '12797025')
([('02401661', '_member_meronym', '02404573'), ('02404573', '¬_hypernym', '02404906'), ('02404906', '¬_member_meronym', '02401661')], '02404906')
([('02400139', '_member_meronym', '02418064'), ('02418064', '_hypernym', '02401031'), ('02401031', '¬_hypernym', '02410509')], '02401031')
([('02627686', '_member_meronym', '02628259'), ('02628259', '_hypernym', '02627835'), ('02627835', '_hypernym', '02623445')], '02627835')
([('12559842', '_member_meronym', '12560016'), ('12560016', '¬_hypernym', '12560420'), ('12560420', '¬_member_meronym', '12559842')], '12560420')
([('01633949', '_member_meronym', '01634092'), ('01634092', '_hypernym', '01626600'), ('01626600', '¬_hypernym', '01634392')], '01634392')
([('13031956', '_member_meronym', '13032381'), ('13032381', 'NO_OP', '13032381'), ('13032381', '_hypernym', '13032115')], '13032115')
([('08075647', '¬_derivationally_related_form', '10602470'), ('10602470', '¬_derivationally_related_form', '08075647'), ('08075647', '_hypernym', '08149781')], '10602470')
([('11651259', '_member_meronym', '11654667'), ('11654667', '_hypernym', '11554175'), ('11554175', '¬_hypernym', '11651731')], '11651731')
([('02586865', '¬_member_meronym', '02586382'), ('02586382', '_member_meronym', '02586543'), ('02586543', '¬_hypernym', '02587300')], '02587300')
([('08151490', '_derivationally_related_form', '09982370'), ('09982370', '¬_derivationally_related_form', '05948264'), ('05948264', '_derivationally_related_form', '09982370')], '09982370')
([('12342043', '_member_meronym', '12342299'), ('12342299', '¬_hypernym', '12342498'), ('12342498', '_hypernym', '12342299')], '12342498')
([('12456527', 'NO_OP', '12456527'), ('12456527', '_member_meronym', '12457091'), ('12457091', '_hypernym', '12456845')], '12456845')
([('12806455', '_member_meronym', '12808007'), ('12808007', 'NO_OP', '12808007'), ('12808007', '_hypernym', '12806732')], '12806732')
([('01782378', '¬_member_meronym', '01782050'), ('01782050', '_member_meronym', '01782209'), ('01782209', '¬_hypernym', '01782516')], '01782516')
([('08414381', 'NO_OP', '08414381'), ('08414381', '¬_derivationally_related_form', '10396106'), ('10396106', 'NO_OP', '10396106')], '10396106')
([('02282716', '¬_member_meronym', '02281552'), ('02281552', '_member_meronym', '02281787'), ('02281787', '¬_hypernym', '02282903')], '02282903')
([('12262327', '_member_meronym', '12263038'), ('12263038', '_hypernym', '12262553'), ('12262553', '¬_hypernym', '12263987')], '12263987')
([('08769645', '_derivationally_related_form', '09748408'), ('09748408', '¬_derivationally_related_form', '08769645'), ('08769645', '_derivationally_related_form', '09748408')], '09748408')
([('12900148', '_member_meronym', '12902021'), ('12902021', '_hypernym', '12900462'), ('12900462', '¬_hypernym', '12902021')], '12900462')
([('08098346', '_synset_domain_topic_of', '05977340'), ('05977340', '¬_synset_domain_topic_of', '08098346'), ('08098346', '¬_derivationally_related_form', '09848285')], '09848285')
([('12871074', '_member_meronym', '12871484'), ('12871484', '_hypernym', '12871272'), ('12871272', 'NO_OP', '12871272')], '12871272')
([('08212347', '_has_part', '08218393'), ('08218393', '_hypernym', '08242799'), ('08242799', 'NO_OP', '08242799')], '08242799')
([('12910141', '_member_meronym', '12910285'), ('12910285', '¬_hypernym', '12911079'), ('12911079', '¬_member_meronym', '12910141')], '12911079')
([('13187826', '_member_meronym', '13188767'), ('13188767', '_hypernym', '13188096'), ('13188096', 'NO_OP', '13188096')], '13188096')
([('12910141', '_member_meronym', '12911079'), ('12911079', '_hypernym', '12910285'), ('12910285', '¬_hypernym', '12911673')], '12910285')
([('08306959', '¬_derivationally_related_form', '02669806'), ('02669806', '¬_derivationally_related_form', '09872557'), ('09872557', 'NO_OP', '09872557')], '09872557')
([('02648456', '_member_meronym', '02648625'), ('02648625', '¬_hypernym', '02649218'), ('02649218', '¬_member_meronym', '02649082')], '02649082')
([('12852726', '_member_meronym', '12853706'), ('12853706', 'NO_OP', '12853706'), ('12853706', '_hypernym', '12853080')], '12853080')
([('12405209', '_member_meronym', '12406304'), ('12406304', '_hypernym', '12405714'), ('12405714', '¬_hypernym', '12406304')], '12405714')
([('08097222', '¬_derivationally_related_form', '09685398'), ('09685398', 'NO_OP', '09685398'), ('09685398', '_hypernym', '09684609')], '09685398')
([('09007723', '_member_meronym', '09707992'), ('09707992', 'NO_OP', '09707992'), ('09707992', '_hypernym', '09728403')], '09728403')
([('07956721', '_member_meronym', '04351233'), ('04351233', 'NO_OP', '04351233'), ('04351233', '_hypernym', '03963982')], '03963982')
([('11973888', '_member_meronym', '11974126'), ('11974126', '¬_hypernym', '11974888'), ('11974888', '¬_member_meronym', '11973888')], '11974888')
([('08098499', 'NO_OP', '08098499'), ('08098499', '¬_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '08098499')], '09848285')
([('08188638', '_derivationally_related_form', '09920771'), ('09920771', '_hypernym', '10599806'), ('10599806', '¬_hypernym', '10625546')], '09920771')
([('01652163', '¬_member_meronym', '01649948'), ('01649948', '_member_meronym', '01650167'), ('01650167', '¬_hypernym', '01652297')], '01652297')
([('12792638', '_member_meronym', '12794568'), ('12794568', '_hypernym', '12793015'), ('12793015', '¬_hypernym', '12793494')], '12793494')
([('02045024', '_member_meronym', '02047835'), ('02047835', '_hypernym', '01507175'), ('01507175', '¬_hypernym', '02048242')], '02048242')
([('01854223', '_member_meronym', '01855188'), ('01855188', 'NO_OP', '01855188'), ('01855188', '_hypernym', '01854415')], '01854415')
([('12140137', '_member_meronym', '12140358'), ('12140358', '¬_hypernym', '12140511'), ('12140511', '_hypernym', '12140358')], '12140511')
([('12260593', '_member_meronym', '12261359'), ('12261359', 'NO_OP', '12261359'), ('12261359', '_hypernym', '12260799')], '12260799')
([('12423565', '_member_meronym', '12462401'), ('12462401', '_hypernym', '11561228'), ('11561228', '¬_hypernym', '12440869')], '12440869')
([('08969291', '¬_derivationally_related_form', '03024420'), ('03024420', '_derivationally_related_form', '09723564'), ('09723564', 'NO_OP', '09723564')], '09723564')
([('01726960', '_member_meronym', '01738175'), ('01738175', '_hypernym', '01657723'), ('01657723', '¬_hypernym', '01730679')], '01730679')
([('12663554', '_member_meronym', '12664005'), ('12664005', 'NO_OP', '12664005'), ('12664005', '_hypernym', '12663804')], '12663804')
([('12917338', '_member_meronym', '12917901'), ('12917901', '¬_hypernym', '12921868'), ('12921868', '¬_member_meronym', '12917338')], '12921868')
([('01989701', 'NO_OP', '01989701'), ('01989701', '_member_meronym', '01989869'), ('01989869', '¬_hypernym', '01990007')], '01990007')
([('02354470', '_member_meronym', '02354781'), ('02354781', '_hypernym', '02353861'), ('02353861', '¬_hypernym', '02354621')], '02354621')
([('08098346', 'NO_OP', '08098346'), ('08098346', '¬_derivationally_related_form', '09848285'), ('09848285', '_hypernym', '10016103')], '09848285')
([('01676313', '_member_meronym', '01676755'), ('01676755', '¬_hypernym', '01680264'), ('01680264', '¬_member_meronym', '01680137')], '01680137')
([('08957212', '¬_derivationally_related_form', '09720033'), ('09720033', '¬_member_meronym', '08957212'), ('08957212', 'NO_OP', '08957212')], '09720033')
([('12474828', '_member_meronym', '12475242'), ('12475242', 'NO_OP', '12475242'), ('12475242', '_hypernym', '12475035')], '12475035')
([('02185694', '¬_member_meronym', '02185337'), ('02185337', '_member_meronym', '02185481'), ('02185481', '¬_hypernym', '02185814')], '02185814')
([('08385009', '¬_derivationally_related_form', '02485844'), ('02485844', '¬_verb_group', '02486232'), ('02486232', '_derivationally_related_form', '09992538')], '09992538')
([('11692952', '_member_meronym', '11697158'), ('11697158', '_hypernym', '11564258'), ('11564258', '¬_hypernym', '11693566')], '11693566')
([('02469588', '_member_meronym', '02496576'), ('02496576', '_member_meronym', '02496913'), ('02496913', '_hypernym', '02469914')], '02469914')
([('12663554', '_member_meronym', '12664005'), ('12664005', '_hypernym', '12663804'), ('12663804', '_has_part', '12664710')], '12663804')
([('08212347', 'NO_OP', '08212347'), ('08212347', '_has_part', '08218393'), ('08218393', '_hypernym', '08242799')], '08242799')
([('08385009', '_derivationally_related_form', '02486232'), ('02486232', 'NO_OP', '02486232'), ('02486232', '_derivationally_related_form', '09992538')], '09992538')
([('01472303', '_hypernym', '01471682'), ('01471682', '¬_hypernym', '01472502'), ('01472502', '¬_member_meronym', '01472303')], '01472502')
([('01755274', '_member_meronym', '01756508'), ('01756508', '_hypernym', '01754876'), ('01754876', '¬_hypernym', '01755740')], '01755740')
([('01936219', '_member_meronym', '01936391'), ('01936391', 'NO_OP', '01936391'), ('01936391', '¬_hypernym', '01936671')], '01936671')
([('13031956', '_member_meronym', '13032381'), ('13032381', '_hypernym', '13032115'), ('13032115', '¬_hypernym', '13032381')], '13032115')
([('12409016', '_member_meronym', '12409470'), ('12409470', '_hypernym', '12409231'), ('12409231', 'NO_OP', '12409231')], '12409231')
([('12724201', '_member_meronym', '12728322'), ('12728322', '_hypernym', '12724942'), ('12724942', '¬_hypernym', '12726902')], '12724942')
([('02120692', '_member_meronym', '02127808'), ('02127808', '_hypernym', '02120997'), ('02120997', '¬_hypernym', '02121620')], '02120997')
([('12707432', '_member_meronym', '12707781'), ('12707781', '¬_hypernym', '12709901'), ('12709901', '_has_part', '07747951')], '12709901')
([('12300625', '_member_meronym', '12301180'), ('12301180', '_hypernym', '12300840'), ('12300840', '¬_hypernym', '12301180')], '12300840')
([('12356668', '_member_meronym', '12357485'), ('12357485', '_hypernym', '12355760'), ('12355760', '¬_hypernym', '12357343')], '12357343')
([('12724201', '_member_meronym', '12729729'), ('12729729', '_hypernym', '12725521'), ('12725521', '_hypernym', '12724942')], '12724942')
([('12280886', '_member_meronym', '12282235'), ('12282235', '_hypernym', '12281241'), ('12281241', '¬_hypernym', '12282933')], '12282933')
([('12319687', '_member_meronym', '12320010'), ('12320010', '¬_hypernym', '12320414'), ('12320414', '_hypernym', '12320010')], '12320414')
([('02551824', '_member_meronym', '02657083'), ('02657083', '_member_meronym', '02657368'), ('02657368', '_hypernym', '02552171')], '02552171')
([('08098346', '¬_derivationally_related_form', '09848285'), ('09848285', '_hypernym', '10016103'), ('10016103', '¬_hypernym', '09684082')], '09848285')
([('08245172', '_derivationally_related_form', '08244062'), ('08244062', '_derivationally_related_form', '08245172'), ('08245172', '¬_hypernym', '08245549')], '08244062')
([('12724201', '_member_meronym', '12731029'), ('12731029', 'NO_OP', '12731029'), ('12731029', '_hypernym', '12725521')], '12725521')
([('02580991', '¬_member_meronym', '02575766'), ('02575766', '_member_meronym', '02580336'), ('02580336', '¬_hypernym', '02581108')], '02581108')
([('12260593', '_member_meronym', '12261808'), ('12261808', '_hypernym', '12260799'), ('12260799', '¬_hypernym', '12261359')], '12261359')
([('11815194', '_member_meronym', '11816336'), ('11816336', '_hypernym', '11815491'), ('11815491', 'NO_OP', '11815491')], '11815491')
([('08414381', '¬_derivationally_related_form', '10396106'), ('10396106', '_derivationally_related_form', '08414807'), ('08414807', 'NO_OP', '08414807')], '10396106')
([('12260593', '_member_meronym', '12260799'), ('12260799', '¬_hypernym', '12262018'), ('12262018', '¬_member_meronym', '12260593')], '12262018')
([('08960548', '¬_derivationally_related_form', '09721088'), ('09721088', '¬_member_meronym', '08960548'), ('08960548', 'NO_OP', '08960548')], '09721088')
([('08769645', '_derivationally_related_form', '09748408'), ('09748408', 'NO_OP', '09748408'), ('09748408', '¬_derivationally_related_form', '08769645')], '09748408')
([('08949093', '¬_derivationally_related_form', '09713108'), ('09713108', '_hypernym', '09686536'), ('09686536', '¬_hypernym', '09721444')], '09713108')
([('01834702', '_member_meronym', '01834918'), ('01834918', '¬_hypernym', '01835276'), ('01835276', '¬_member_meronym', '01835087')], '01835087')
([('08280124', '¬_derivationally_related_form', '09759069'), ('09759069', '¬_derivationally_related_form', '08280124'), ('08280124', '¬_derivationally_related_form', '09759501')], '09759501')
([('08151490', '_derivationally_related_form', '09982370'), ('09982370', '¬_derivationally_related_form', '05948264'), ('05948264', '¬_derivationally_related_form', '09982370')], '09982370')
([('08098346', '_synset_domain_topic_of', '05977340'), ('05977340', '¬_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '06243096')], '09848285')
([('08769645', '_derivationally_related_form', '09748408'), ('09748408', '¬_member_meronym', '08769645'), ('08769645', '_derivationally_related_form', '09748408')], '09748408')
([('08206460', '_derivationally_related_form', '10523341'), ('10523341', '¬_hypernym', '10772580'), ('10772580', '_synset_domain_topic_of', '08199025')], '10523341')
([('12410715', '_member_meronym', '12475450'), ('12475450', '_hypernym', '11556187'), ('11556187', '¬_hypernym', '12423565')], '12423565')
([('02181013', '_member_meronym', '02181235'), ('02181235', '¬_hypernym', '02181724'), ('02181724', '¬_member_meronym', '02181599')], '02181599')
([('12405209', '_member_meronym', '12407890'), ('12407890', '_hypernym', '12405714'), ('12405714', '¬_member_meronym', '12405209')], '12405714')
([('08161068', 'NO_OP', '08161068'), ('08161068', '¬_derivationally_related_form', '02400760'), ('02400760', '¬_derivationally_related_form', '10760340')], '10760340')
([('08385009', '_derivationally_related_form', '02485844'), ('02485844', '¬_derivationally_related_form', '09992538'), ('09992538', '_derivationally_related_form', '02485844')], '09992538')
([('02373843', '_member_meronym', '02389559'), ('02389559', '_hypernym', '02389346'), ('02389346', '¬_verb_group', '02389592')], '02389346')
([('12392943', '_member_meronym', '12393086'), ('12393086', '¬_hypernym', '12393269'), ('12393269', 'NO_OP', '12393269')], '12393269')
([('09103648', '_member_meronym', '09103377'), ('09103377', '¬_has_part', '09102016'), ('09102016', '_has_part', '09102883')], '09102883')
([('02250653', '_member_meronym', '02251233'), ('02251233', '_hypernym', '02250822'), ('02250822', '¬_hypernym', '02251067')], '02251067')
([('02281987', '¬_member_meronym', '02281552'), ('02281552', '_member_meronym', '02281787'), ('02281787', '¬_hypernym', '02282385')], '02282385')
([('12008017', '_member_meronym', '12009047'), ('12009047', '_hypernym', '12008749'), ('12008749', '_hypernym', '12008252')], '12008252')
([('01446283', '¬_member_meronym', '01437805'), ('01437805', '_member_meronym', '01438208'), ('01438208', '¬_hypernym', '01446589')], '01446589')
([('08098346', '_derivationally_related_form', '09848285'), ('09848285', '¬_member_meronym', '08098499'), ('08098499', '_hypernym', '08149781')], '09848285')
([('13177354', '_member_meronym', '13177529'), ('13177529', '¬_hypernym', '13177884'), ('13177884', 'NO_OP', '13177884')], '13177884')
([('12707432', '_member_meronym', '12709103'), ('12709103', '_hypernym', '12707781'), ('12707781', '¬_hypernym', '12708293')], '12707781')
([('08097072', '¬_derivationally_related_form', '09685564'), ('09685564', '_derivationally_related_form', '08097072'), ('08097072', '¬_derivationally_related_form', '09685564')], '09685564')
([('11862598', '_member_meronym', '11864114'), ('11864114', '_hypernym', '11862835'), ('11862835', '¬_hypernym', '11863242')], '11862835')
([('01693472', '_member_meronym', '01693995'), ('01693995', '_member_meronym', '01694311'), ('01694311', '_hypernym', '01693783')], '01693783')
([('01909111', '_member_meronym', '01909422'), ('01909422', '¬_hypernym', '01910252'), ('01910252', '_hypernym', '01909422')], '01910252')
([('12806455', '_member_meronym', '12807773'), ('12807773', 'NO_OP', '12807773'), ('12807773', '_hypernym', '12806732')], '12806732')
([('12792638', '_member_meronym', '12793494'), ('12793494', '_hypernym', '12793015'), ('12793015', '¬_hypernym', '12793886')], '12793886')
([('12260593', '_member_meronym', '12260799'), ('12260799', '¬_hypernym', '12261359'), ('12261359', 'NO_OP', '12261359')], '12261359')
([('08188638', '¬_derivationally_related_form', '09920771'), ('09920771', '_hypernym', '10599806'), ('10599806', '¬_hypernym', '09896401')], '09920771')
([('11726925', '_member_meronym', '11727091'), ('11727091', '¬_hypernym', '11727358'), ('11727358', 'NO_OP', '11727358')], '11727358')
([('12411710', '_member_meronym', '12412606'), ('12412606', '_hypernym', '12411922'), ('12411922', '¬_member_meronym', '12411710')], '12411922')
([('08075388', '_derivationally_related_form', '10621400'), ('10621400', '¬_derivationally_related_form', '08075388'), ('08075388', '_hypernym', '07974025')], '10621400')
([('08177030', '_member_meronym', '08929243'), ('08929243', '¬_member_meronym', '08172103'), ('08172103', '_member_meronym', '08705397')], '08705397')
([('01996392', '_member_meronym', '01997002'), ('01997002', '_member_meronym', '01997119'), ('01997119', '_hypernym', '01996585')], '01996585')
([('11862598', '_member_meronym', '11864114'), ('11864114', '_hypernym', '11862835'), ('11862835', '_hypernym', '11672400')], '11862835')
([('12852726', '_member_meronym', '12853706'), ('12853706', 'NO_OP', '12853706'), ('12853706', '_hypernym', '12853080')], '12853080')
([('01743223', '¬_member_meronym', '01741744'), ('01741744', '_member_meronym', '01741943'), ('01741943', '¬_hypernym', '01743605')], '01743605')
([('01822423', '_member_meronym', '01822773'), ('01822773', '_member_meronym', '01823013'), ('01823013', '_hypernym', '01822602')], '01822602')
([('12714550', '_member_meronym', '12714949'), ('12714949', '_hypernym', '12714755'), ('12714755', '_hypernym', '13104059')], '12714755')
([('12559842', '_member_meronym', '12560420'), ('12560420', 'NO_OP', '12560420'), ('12560420', '_hypernym', '12560016')], '12560016')
([('06825273', '_hypernym', '06825120'), ('06825120', '¬_hypernym', '06825399'), ('06825399', '¬_hypernym', '06826214')], '06825399')
([('08060694', '_derivationally_related_form', '10402417'), ('10402417', '_derivationally_related_form', '08060694'), ('08060694', 'NO_OP', '08060694')], '10402417')
([('02640093', '_member_meronym', '02640242'), ('02640242', '¬_hypernym', '02640857'), ('02640857', '¬_member_meronym', '02640453')], '02640453')
([('11719468', '_member_meronym', '11735325'), ('11735325', '_hypernym', '11571907'), ('11571907', '¬_hypernym', '11720088')], '11720088')
([('13149039', '_member_meronym', '13149296'), ('13149296', '¬_hypernym', '13149970'), ('13149970', '_hypernym', '13149296')], '13149970')
([('08960548', 'NO_OP', '08960548'), ('08960548', '¬_derivationally_related_form', '09721088'), ('09721088', 'NO_OP', '09721088')], '09721088')
([('12260593', '_member_meronym', '12260799'), ('12260799', '¬_hypernym', '12261571'), ('12261571', '¬_member_meronym', '12260593')], '12261571')
([('12900148', '_member_meronym', '12901724'), ('12901724', '_hypernym', '12900462'), ('12900462', '¬_hypernym', '12900783')], '12900462')
([('12922600', '_member_meronym', '12923108'), ('12923108', '_hypernym', '12922763'), ('12922763', 'NO_OP', '12922763')], '12922763')
([('12575089', '_member_meronym', '12575679'), ('12575679', '_hypernym', '12575322'), ('12575322', '_hypernym', '11747468')], '12575322')
([('09050244', '_member_meronym', '09059274'), ('09059274', '_has_part', '09419281'), ('09419281', '¬_has_part', '09105821')], '09105821')
([('02356108', 'NO_OP', '02356108'), ('02356108', '_member_meronym', '02355477'), ('02355477', '¬_hypernym', '02356381')], '02356381')
([('01502262', '_member_meronym', '02057478'), ('02057478', '_hypernym', '01342529'), ('01342529', '¬_hypernym', '01523908')], '01523908')
([('02066450', '_member_meronym', '02067941'), ('02067941', '_member_meronym', '02068206'), ('02068206', '_hypernym', '02066707')], '02066707')
([('01975312', '_member_meronym', '01975687'), ('01975687', '¬_hypernym', '01990800'), ('01990800', '¬_member_meronym', '01990627')], '01990627')
([('01981884', '¬_member_meronym', '01981543'), ('01981543', '_member_meronym', '01981702'), ('01981702', '¬_hypernym', '01982068')], '01982068')
([('12712820', '_member_meronym', '12713063'), ('12713063', '¬_hypernym', '12713358'), ('12713358', '_hypernym', '12713063')], '12713358')
([('08769645', 'NO_OP', '08769645'), ('08769645', '¬_derivationally_related_form', '09748408'), ('09748408', 'NO_OP', '09748408')], '09748408')
([('01822423', '_member_meronym', '01822602'), ('01822602', '¬_hypernym', '01823013'), ('01823013', '¬_member_meronym', '01822773')], '01822773')
([('12968882', '_member_meronym', '12969425'), ('12969425', '_hypernym', '12969131'), ('12969131', '¬_hypernym', '12969927')], '12969927')
([('11854760', '_member_meronym', '11855122'), ('11855122', '_hypernym', '11573660'), ('11573660', '¬_hypernym', '11856389')], '11856389')
([('01974399', '_member_meronym', '01974773'), ('01974773', '¬_hypernym', '01975687'), ('01975687', '¬_member_meronym', '01975312')], '01975312')
([('08212347', '_has_part', '08218393'), ('08218393', '_hypernym', '08242799'), ('08242799', '¬_hypernym', '08218393')], '08242799')
([('11647131', '_member_meronym', '11648039'), ('11648039', '_hypernym', '11647306'), ('11647306', '_hypernym', '13108841')], '11647306')
([('02341108', '_member_meronym', '02341475'), ('02341475', '_hypernym', '02339376'), ('02339376', '¬_hypernym', '02341288')], '02341288')
([('12401122', '_member_meronym', '12402051'), ('12402051', 'NO_OP', '12402051'), ('12402051', '_hypernym', '12401335')], '12401335')
([('12262327', '_member_meronym', '12263038'), ('12263038', 'NO_OP', '12263038'), ('12263038', '_hypernym', '12262553')], '12262553')
([('02230782', '_member_meronym', '02231052'), ('02231052', '¬_hypernym', '02231487'), ('02231487', '¬_member_meronym', '02231307')], '02231307')
([('08098346', '_derivationally_related_form', '09848285'), ('09848285', '¬_derivationally_related_form', '08098346'), ('08098346', 'NO_OP', '08098346')], '09848285')
([('12553314', 'NO_OP', '12553314'), ('12553314', '_member_meronym', '12553573'), ('12553573', '¬_hypernym', '12553742')], '12553742')
([('08097222', 'NO_OP', '08097222'), ('08097222', '_derivationally_related_form', '09685398'), ('09685398', '_derivationally_related_form', '08097222')], '09685398')
([('01726390', '_member_meronym', '01741744'), ('01741744', '_hypernym', '01656813'), ('01656813', '¬_hypernym', '01740283')], '01740283')
([('02181599', '¬_member_meronym', '02181013'), ('02181013', '_member_meronym', '02181235'), ('02181235', '¬_hypernym', '02181724')], '02181724')
([('02565728', '_member_meronym', '02566109'), ('02566109', '¬_hypernym', '02566834'), ('02566834', '¬_hypernym', '02568959')], '02566834')
([('08769645', '¬_derivationally_related_form', '09748408'), ('09748408', '_derivationally_related_form', '08769645'), ('08769645', '_derivationally_related_form', '09748408')], '09748408')
([('01782050', '_member_meronym', '01782378'), ('01782378', '_member_meronym', '01782516'), ('01782516', '_hypernym', '01782209')], '01782209')
([('11910835', '_member_meronym', '12659730'), ('12659730', '_member_meronym', '12682054'), ('12682054', '_hypernym', '11566230')], '11566230')
([('08953324', '_derivationally_related_form', '09714120'), ('09714120', '_derivationally_related_form', '08953151'), ('08953151', 'NO_OP', '08953151')], '09714120')
([('02601589', '_member_meronym', '02602059'), ('02602059', '_hypernym', '02601344'), ('02601344', '¬_hypernym', '02601767')], '02601767')
([('08949093', '¬_derivationally_related_form', '09713108'), ('09713108', '¬_member_meronym', '08949093'), ('08949093', '_has_part', '08951957')], '09713108')
([('08097222', '_derivationally_related_form', '09685398'), ('09685398', '¬_member_meronym', '08097222'), ('08097222', '_hypernym', '08149781')], '09685398')
([('12766241', '_member_meronym', '12767423'), ('12767423', '_hypernym', '13100156'), ('13100156', '¬_hypernym', '12766869')], '12766869')
([('08703454', '_derivationally_related_form', '03003928'), ('03003928', '_derivationally_related_form', '09689435'), ('09689435', '¬_member_meronym', '08703454')], '09689435')
([('08251303', '_derivationally_related_form', '02919275'), ('02919275', '¬_derivationally_related_form', '09958892'), ('09958892', '_hypernym', '09977660')], '09958892')
([('08329113', '_derivationally_related_form', '02454939'), ('02454939', '_derivationally_related_form', '10407552'), ('10407552', 'NO_OP', '10407552')], '10407552')
([('02016198', 'NO_OP', '02016198'), ('02016198', '_member_meronym', '02016358'), ('02016358', '¬_hypernym', '02016659')], '02016659')
([('08206460', '¬_derivationally_related_form', '10523341'), ('10523341', '¬_member_meronym', '08206460'), ('08206460', '_hypernym', '08199025')], '10523341')
([('12262327', '_member_meronym', '12262553'), ('12262553', '¬_hypernym', '12263738'), ('12263738', 'NO_OP', '12263738')], '12263738')
([('02600135', '_member_meronym', '02600298'), ('02600298', '¬_hypernym', '02600503'), ('02600503', 'NO_OP', '02600503')], '02600503')
([('08801099', 'NO_OP', '08801099'), ('08801099', '¬_has_part', '08800676'), ('08800676', '_member_meronym', '09696124')], '09696124')
([('12220994', '_member_meronym', '12221522'), ('12221522', 'NO_OP', '12221522'), ('12221522', '_hypernym', '12221191')], '12221191')
([('12521847', '_member_meronym', '12522678'), ('12522678', '_hypernym', '12522188'), ('12522188', '¬_hypernym', '12523475')], '12523475')
([('12318164', '_member_meronym', '12318965'), ('12318965', 'NO_OP', '12318965'), ('12318965', '_hypernym', '12318378')], '12318378')
