NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_rancid', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_alternative_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_arctic_monkeys', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hard_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_nightwish', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bloc_party', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_surf')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_burzum'), ('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hair_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_lynyrd_skynyrd', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_blues')], 'concept_musicgenre_rock')
([('concept_musicartist_metal_church', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicartistgenre', 'concept_musicartist_sabbath')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_heavy_metal')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_pop_punk'), ('concept_musicgenre_pop_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_proto_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_r_e_m_', 'concept:musicartistgenre', 'concept_musicgenre_alternative'), ('concept_musicgenre_alternative', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_famous_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_fozzy')], 'concept_musicgenre_metal')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_stooges', 'concept:musicartistgenre', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', '¬concept:musicartistgenre', 'concept_musicartist_white_stripes'), ('concept_musicartist_white_stripes', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_prog_metal'), ('concept_musicgenre_prog_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_rock'), ('concept_musicgenre_progressive_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog')], 'concept_musicgenre_progressive_rock')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_kinks', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_kiss'), ('concept_musicartist_kiss', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_hawkwind', 'concept:musicartistgenre', 'concept_musicgenre_space_rock'), ('concept_musicgenre_space_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_rock')
([('concept_musicartist_abba', 'concept:musicartistgenre', 'concept_musicgenre_swedish_pop'), ('concept_musicgenre_swedish_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_bush', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge_rock'), ('concept_musicgenre_grunge_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_space_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_limp_bizkit', 'concept:musicartistgenre', 'concept_musicgenre_nu'), ('concept_musicgenre_nu', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal'), ('concept_musicgenre_nu_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_nu_metal')
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_prog_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_discharge', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_pentangle', 'concept:musicartistgenre', 'concept_musicgenre_british_folk'), ('concept_musicgenre_british_folk', '¬concept:musicartistgenre', 'concept_musicartist_fairport_convention'), ('concept_musicartist_fairport_convention', 'concept:musicartistgenre', 'concept_musicgenre_folk')], 'concept_musicgenre_folk')
([('concept_musicartist_acdc', '¬concept:musicianinmusicartist', 'concept_musician_angus_young'), ('concept_musician_angus_young', 'concept:musicianinmusicartist', 'concept_musicartist_ac_dc'), ('concept_musicartist_ac_dc', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_him', 'concept:musicartistgenre', 'concept_musicgenre_finnish_rock'), ('concept_musicgenre_finnish_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_southern_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_stones')], 'concept_musicgenre_rock')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_progressive_metal'), ('concept_musicgenre_progressive_metal', 'NO_OP', 'concept_musicgenre_progressive_metal'), ('concept_musicgenre_progressive_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_progressive_rock')], 'concept_musicgenre_progressive_rock')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_dissection'), ('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_fourplay', 'concept:musicartistgenre', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'NO_OP', 'concept_musicgenre_contemporary_jazz'), ('concept_musicgenre_contemporary_jazz', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz')], 'concept_musicgenre_jazz')
([('concept_musicartist_dark_funeral', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_burzum')], 'concept_musicgenre_black_metal')
([('concept_musicartist_black_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_american_folk'), ('concept_musicgenre_american_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_poison', 'concept:musicartistgenre', 'concept_musicgenre_hair_metal'), ('concept_musicgenre_hair_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock')], 'concept_musicgenre_metal')
([('concept_musicartist_jimmy_eat_world', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_singer_songwriter')], 'concept_musicgenre_rock')
([('concept_musicartist_metal_church', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_nightwish', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_bon_jovi')], 'concept_musicgenre_rock')
([('concept_musicartist_zz_top', 'concept:musicartistgenre', 'concept_musicgenre_blues'), ('concept_musicgenre_blues', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_dave_matthews_band')], 'concept_musicgenre_rock')
([('concept_musicartist_outkast', 'concept:musicartistgenre', 'concept_musicgenre_rap'), ('concept_musicgenre_rap', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_hip_hop'), ('concept_musicgenre_hip_hop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rap')], 'concept_musicgenre_hip_hop')
([('concept_musicartist_slayer', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicartistgenre', 'concept_musicartist_motorhead'), ('concept_musicartist_motorhead', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz')], 'concept_musicgenre_metal')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_kiss')], 'concept_musicgenre_rock')
([('concept_musicartist_black_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_slayer')], 'concept_musicgenre_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicartistgenre', 'concept_musicartist_dimmu_borgir')], 'concept_musicgenre_black_metal')
([('concept_musicartist_nirvana', 'concept:musicartistgenre', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', '¬concept:musicartistgenre', 'concept_musicartist_pearl_jam')], 'concept_musicgenre_grunge')
([('concept_musicartist_descendents', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'NO_OP', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_punk_rock')
([('concept_musicartist_slipknot', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_journey', 'concept:musicartistgenre', 'concept_musicgenre_aor'), ('concept_musicgenre_aor', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_helloween', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_blind_guardian', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_fairport_convention', 'concept:musicartistgenre', 'concept_musicgenre_british_folk'), ('concept_musicgenre_british_folk', 'NO_OP', 'concept_musicgenre_british_folk'), ('concept_musicgenre_british_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_folk')
([('concept_musicartist_van_halen', 'concept:musicartistgenre', 'concept_musicgenre_hard_rock'), ('concept_musicgenre_hard_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_glam_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_the_beatles', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_pop')
([('concept_musicartist_guns_n_roses', '¬concept:musicianinmusicartist', 'concept_musician_slash'), ('concept_musician_slash', 'concept:musicianinmusicartist', 'concept_musicartist_guns_n__roses'), ('concept_musicartist_guns_n__roses', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_keane', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_r_b'), ('concept_musicgenre_r_b', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_slayer', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal'), ('concept_musicgenre_thrash_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_the_ramones', 'concept:musicartistgenre', 'concept_musicgenre_punk_rock'), ('concept_musicgenre_punk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_third_day', 'concept:musicartistgenre', 'concept_musicgenre_christian_rock'), ('concept_musicgenre_christian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_n80s')], 'concept_musicgenre_rock')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_dokken')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_motley_crue')], 'concept_musicgenre_metal')
([('concept_musicartist_crass', 'concept:musicartistgenre', 'concept_musicgenre_anarchist_punk'), ('concept_musicgenre_anarchist_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'NO_OP', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_fall_out_boy', 'concept:musicartistgenre', 'concept_musicgenre_emo'), ('concept_musicgenre_emo', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_psychedelic_rock')], 'concept_musicgenre_rock')
